region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;0.064438;0.06444;-0.69101;0.55127;-0.527711;-0.52771;-1.38554;0.09178;-0.325150;-0.32515;-0.90659;0.12291;0.281141;NULL;NULL;NULL;0.001496;NULL;NULL;NULL;-0.096343;-0.09634;-1.36948;0.60813;1.000000;NULL;NULL;NULL;0.101346;NULL;NULL;NULL;0.134732;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-1.608994;NULL;NULL;NULL;-1.884226;NULL;NULL;NULL
Амурская область;0.064933;NULL;NULL;NULL;-0.357059;NULL;NULL;NULL;-0.081589;-0.08159;-1.10421;0.53699;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Архангельская область;-0.770084;-0.77008;NULL;NULL;0.293346;NULL;NULL;NULL;-0.268174;-0.26817;-1.09232;0.30352;1.000000;NULL;NULL;NULL;0.556674;NULL;NULL;NULL;0.601789;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Астраханская область;0.278280;0.27828;-0.30252;0.65349;0.433029;0.43303;-0.22076;0.79692;0.330104;0.33010;-0.08553;0.62289;0.351323;NULL;NULL;NULL;-0.081658;NULL;NULL;NULL;0.068484;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-5.228861;NULL;NULL;NULL;-5.148005;NULL;NULL;NULL
Белгородская область;0.108767;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.531817;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Брянская область;-2.125021;-2.12502;NULL;NULL;0.414809;NULL;NULL;NULL;-0.981854;-0.98185;NULL;NULL;-19.312635;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-3.612710;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Владимирская область;0.028394;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.506852;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Волгоградская область;0.013331;0.01333;-0.47343;0.37830;0.305078;0.30508;-0.12836;0.60935;0.133955;0.13395;-0.18724;0.39083;0.437168;NULL;NULL;NULL;0.817536;NULL;NULL;NULL;0.662778;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Вологодская область;0.379468;NULL;NULL;NULL;0.511636;NULL;NULL;NULL;0.425842;NULL;NULL;NULL;-4.300380;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.647524;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Воронежская область;-0.149234;-0.14923;-0.89546;0.36870;0.007226;0.00723;-0.74722;0.50373;-0.090087;-0.09009;-0.60084;0.29782;-0.452232;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.572515;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
