data_point;region;gender;age_group;count_zab;count_hosp;count_severe;count_death
2021.11.B_26-08-2022;Алтайский край;M;0-9;1338;80;5;0
2021.11.B_26-08-2022;Алтайский край;M;20-29;1546;62;12;2
2021.11.B_26-08-2022;Алтайский край;F;30-39;4528;331;52;9
2021.11.B_26-08-2022;Амурская область;M;30-39;1467;118;20;1
2021.11.B_26-08-2022;Амурская область;F;0-9;602;31;4;1
2021.11.B_26-08-2022;Амурская область;F;60-69;1705;712;223;82
2021.11.B_26-08-2022;Архангельская область;M;20-29;417;25;0;0
2021.11.B_26-08-2022;Архангельская область;F;30-39;1355;86;5;1
2021.11.B_26-08-2022;Архангельская область;F;50-59;1118;245;27;13
2021.11.B_26-08-2022;Архангельская область;F;70-79;850;424;106;87
2021.11.B_26-08-2022;Белгородская область;M;40-49;963;154;25;13
2021.11.B_26-08-2022;Белгородская область;M;70-79;475;229;93;71
2021.11.B_26-08-2022;Брянская область;M;30-39;1072;70;8;3
2021.11.B_26-08-2022;Брянская область;F;0-9;269;23;1;0
2021.11.B_26-08-2022;Брянская область;F;окт.19;320;8;0;0
2021.11.B_26-08-2022;Брянская область;F;60-69;1553;537;119;93
2021.11.B_26-08-2022;Владимирская область;F;30-39;2071;86;21;4
2021.11.B_26-08-2022;Волгоградская область;M;70-79;836;534;167;78
2021.11.B_26-08-2022;Вологодская область;M;30-39;1744;84;13;8
2021.11.B_26-08-2022;Вологодская область;F;0-9;509;41;1;0
2021.11.B_26-08-2022;Вологодская область;F;20-29;914;51;1;1
2021.11.B_26-08-2022;Вологодская область;F;60-69;2204;650;150;64
2021.11.B_26-08-2022;г. Москва;F;70-79;6991;1625;1193;678
2021.11.B_26-08-2022;г. Санкт-Петербург;M;окт.19;2586;132;7;1
2021.11.B_26-08-2022;г. Севастополь;M;40-49;601;100;11;4
2021.11.B_26-08-2022;Еврейская автономная область;M;окт.19;54;6;0;0
2021.11.B_26-08-2022;Еврейская автономная область;M;30-39;98;15;0;0
2021.11.B_26-08-2022;Еврейская автономная область;M;50-59;123;46;4;2
2021.11.B_26-08-2022;Еврейская автономная область;F;20-29;79;9;1;0
2021.11.B_26-08-2022;Еврейская автономная область;F;60-69;179;95;7;6
2021.11.B_26-08-2022;Еврейская автономная область;F;80+;70;58;24;27
2021.11.B_26-08-2022;Забайкальский край;M;0-9;868;75;4;0
2021.11.B_26-08-2022;Забайкальский край;M;60-69;1162;545;112;68
2021.11.B_26-08-2022;Забайкальский край;M;70-79;535;339;81;50
2021.11.B_26-08-2022;Забайкальский край;F;80+;600;436;146;113
2021.11.B_26-08-2022;Ивановская область;M;80+;179;119;38;48
2021.11.B_26-08-2022;Ивановская область;F;40-49;1230;151;18;3
2021.11.B_26-08-2022;Ивановская область;F;70-79;1009;551;139;114
2021.11.B_26-08-2022;Иркутская область;F;окт.19;2401;109;7;0
2021.11.B_26-08-2022;Иркутская область;F;50-59;4366;929;119;47
2021.11.B_26-08-2022;Кабардино-Балкарская Республика;M;0-9;263;44;16;0
2021.11.B_26-08-2022;Кабардино-Балкарская Республика;M;20-29;273;22;4;0
2021.11.B_26-08-2022;Кабардино-Балкарская Республика;M;60-69;498;250;89;30
2021.11.B_26-08-2022;Калининградская область;M;20-29;368;25;0;0
2021.11.B_26-08-2022;Калининградская область;F;40-49;1000;142;16;6
2021.11.B_26-08-2022;Калининградская область;F;50-59;866;216;25;15
2021.11.B_26-08-2022;Калининградская область;F;70-79;662;417;83;59
2021.11.B_26-08-2022;Камчатский край;M;50-59;88;30;5;2
2021.11.B_26-08-2022;Камчатский край;M;70-79;40;25;4;2
2021.11.B_26-08-2022;Камчатский край;F;80+;43;27;5;5
2021.11.B_26-08-2022;Карачаево-Черкесская Республика;M;40-49;385;74;7;3
2021.11.B_26-08-2022;Карачаево-Черкесская Республика;F;30-39;650;61;4;1
2021.11.B_26-08-2022;Алтайский край;M;30-39;3352;247;43;8
2021.11.B_26-08-2022;Алтайский край;M;50-59;2567;572;148;43
2021.11.B_26-08-2022;Алтайский край;F;0-9;1200;59;7;0
2021.11.B_26-08-2022;Алтайский край;F;окт.19;1685;47;4;1
2021.11.B_26-08-2022;Алтайский край;F;80+;1580;1029;503;403
2021.11.B_26-08-2022;Амурская область;M;окт.19;797;39;2;0
2021.11.B_26-08-2022;Амурская область;M;60-69;1015;422;138;64
2021.11.B_26-08-2022;Амурская область;F;40-49;1756;209;32;6
2021.11.B_26-08-2022;Архангельская область;M;70-79;421;224;77;69
2021.11.B_26-08-2022;Архангельская область;F;20-29;573;46;4;2
2021.11.B_26-08-2022;Астраханская область;M;50-59;610;177;35;16
2021.11.B_26-08-2022;Астраханская область;F;80+;374;239;105;95
2021.11.B_26-08-2022;Белгородская область;M;60-69;1018;368;110;79
2021.11.B_26-08-2022;Белгородская область;F;70-79;849;402;129;98
2021.11.B_26-08-2022;Владимирская область;M;30-39;1691;120;7;2
2021.11.B_26-08-2022;Волгоградская область;M;20-29;754;56;4;1
2021.11.B_26-08-2022;Волгоградская область;M;80+;374;287;154;108
2021.11.B_26-08-2022;Волгоградская область;F;40-49;2061;371;62;7
2021.11.B_26-08-2022;Вологодская область;M;20-29;702;16;1;0
2021.11.B_26-08-2022;Вологодская область;M;80+;240;151;85;86
2021.11.B_26-08-2022;Вологодская область;F;40-49;1969;129;11;4
