data_point;vaccine;region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
2021.11_01-07-2022;AllVaccines;Амурская область;-8.723538;0.48410;0.46214;0.50530;-4.907367;0.37168;0.32695;0.41397;-7.444553;0.46367;0.44422;0.48254;-5.058951;0.67853;0.63445;0.71830;-2.634686;0.61340;0.56684;0.65606;-3.737164;0.69913;0.67233;0.72421;-4.917235;0.68605;0.58068;0.76931;-1.500629;0.73403;0.67121;0.78754;-2.478793;0.77905;0.73778;0.81526;-2.516847;0.81341;0.61630;0.92274;-0.737651;0.81518;0.74334;0.87133;-1.118097;0.86547;0.81807;0.90327
2021.11_01-07-2022;AllVaccines;Вологодская область;-3.077383;0.43416;0.40921;0.45826;-4.231289;0.42982;0.39402;0.46388;-3.381453;0.43248;0.41211;0.45227;-1.733872;0.62061;0.55361;0.67960;-2.264064;0.64423;0.60115;0.68367;-1.821383;0.63455;0.59857;0.66802;-1.275135;0.68427;0.50731;0.80846;-0.783173;0.80564;0.75011;0.85165;-0.669919;0.78370;0.73032;0.82893;-0.475168;0.79528;0.56444;0.92091;-0.420454;0.84518;0.78613;0.89156;-0.250090;0.83808;0.78131;0.88345
2021.11_01-07-2022;AllVaccines;Калужская область;-7.267873;0.34987;0.31606;0.38228;-3.419788;0.47232;0.43160;0.51073;-5.676664;0.40183;0.37631;0.42651;-5.116804;0.51901;0.43794;0.59051;-1.726029;0.67454;0.62882;0.71595;-2.856689;0.65448;0.61802;0.68823;-6.193316;0.43436;0.17368;0.62384;-0.944125;0.76789;0.69575;0.82678;-1.929573;0.73754;0.67337;0.79188;-7.969166;0.29472;-0.26432;0.62949;-0.741617;0.79207;0.71366;0.85375;-1.476340;0.77814;0.70720;0.83565
2021.11_01-07-2022;AllVaccines;Красноярский край;-10.938752;0.30286;0.28432;0.32099;-6.300052;0.38180;0.35624;0.40653;-9.292894;0.33646;0.32171;0.35095;-5.251392;0.63496;0.60007;0.66743;-3.570521;0.61295;0.58581;0.63870;-4.405633;0.65152;0.63200;0.67024;-3.850621;0.71676;0.64158;0.77932;-1.977684;0.74784;0.71062;0.78141;-2.601909;0.76780;0.73837;0.79471;-2.881976;0.77332;0.65158;0.86020;-1.476544;0.79028;0.75017;0.82549;-1.879069;0.81440;0.78154;0.84351
2021.11_01-07-2022;AllVaccines;Мурманская область;-7.308172;0.50621;0.47290;0.53774;-5.140913;0.40781;0.34460;0.46602;-6.592129;0.49349;0.46489;0.52081;-3.164429;0.75249;0.69769;0.79937;-3.054024;0.60905;0.54118;0.66898;-3.161755;0.72235;0.68515;0.75609;-2.685294;0.78097;0.60504;0.89011;-1.597566;0.74951;0.64124;0.83164;-1.888634;0.80728;0.73707;0.86260;-1.479198;NULL;NULL;NULL;-1.383795;0.77012;0.64894;0.85755;-1.462075;0.83574;0.75558;0.89481
2021.11_01-07-2022;AllVaccines;Псковская область;-10.183294;0.33160;0.29012;0.37103;-5.228391;0.35548;0.29619;0.41069;-8.115704;0.34180;0.30826;0.37398;-5.788041;0.59429;0.49245;0.67943;-2.328126;0.65560;0.58960;0.71333;-3.658928;0.66360;0.61359;0.70854;-2.842700;0.77033;0.53150;0.90444;-1.372777;0.75446;0.62153;0.84969;-2.012043;0.78251;0.68317;0.85695;-0.372393;NULL;NULL;NULL;-0.578413;0.83666;0.73449;0.90728;-0.800966;0.86996;0.79459;0.92333
2021.11_01-07-2022;AllVaccines;Республика Калмыкия;-11.693101;-0.13379;-0.27749;-0.00429;-3.973277;0.29012;0.15421;0.40712;-8.231260;0.01203;-0.09060;0.10626;-5.774753;0.39486;0.20711;0.54561;-2.581097;0.48884;0.34488;0.60618;-4.591695;0.40155;0.28064;0.50568;-3.997769;0.55358;0.14125;0.79420;-0.386697;0.80206;0.65674;0.89640;-1.784915;0.70195;0.54258;0.81597;-5.663691;NULL;NULL;NULL;-0.057801;0.84901;0.66103;0.94715;-1.170227;0.76773;0.53090;0.90279
2021.11_01-07-2022;AllVaccines;Республика Северная Осетия - Алания;-13.874568;0.14358;0.07140;0.21105;-8.433777;0.17499;0.06093;0.27829;-11.485525;0.20939;0.15361;0.26219;-12.342728;0.23178;0.02197;0.40338;-6.465994;0.34708;0.18456;0.48437;-7.407163;0.46764;0.37362;0.55051;-18.952320;-0.14878;-0.99041;0.36530;-4.744346;0.49764;0.22701;0.69208;-6.185764;0.54498;0.36677;0.68263;-11.295547;0.29207;-0.32553;0.65339;-3.420546;0.61341;0.38789;0.77247;-3.960869;0.68587;0.54569;0.79160
2021.11_01-07-2022;AllVaccines;Еврейская автономная область;-12.773823;0.22265;0.10217;0.32965;-5.376708;0.42024;0.28871;0.53168;-9.692751;0.29077;0.20175;0.37160;-10.819806;0.33293;0.06039;0.53840;-3.953559;0.54963;0.40347;0.66652;-7.211676;0.45533;0.32203;0.56726;-9.464528;NULL;NULL;NULL;-1.101510;0.80893;0.59729;0.92579;-2.981270;0.73593;0.50507;0.87625;-4.426051;NULL;NULL;NULL;-0.438367;NULL;NULL;NULL;-1.396135;0.84107;0.64667;0.94407
2021.11_01-07-2022;AllVaccines;Ивановская область;-15.006154;0.11907;0.07643;0.15997;-3.768801;0.36641;0.31768;0.41237;-9.554843;0.22077;0.18942;0.25109;-9.908070;0.39965;0.30796;0.48109;-1.825443;0.62461;0.57351;0.67102;-4.287645;0.60963;0.57113;0.64542;-13.610880;0.19586;-0.18785;0.46755;-0.705999;0.77334;0.69285;0.83751;-2.608116;0.73362;0.66393;0.79202;-14.102002;0.16883;-0.59568;0.59295;-0.209969;0.83924;0.76958;0.89261;-1.184658;0.83871;0.78075;0.88483
