data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total;ve_death_total;cil_death_total;cih_death_total
2021.12_13-10-2022;Алтайский край;105_165_days;AllVaccines;-0.03398;-0.08321;0.01301;0.32406;0.22226;0.41254;0.54473;0.34262;0.6847;0.63118;0.20577;0.82873;-0.08942;-0.17654;-0.00875;0.29689;0.20097;0.38129;0.53118;0.39771;0.63508;0.76295;0.62644;0.84958;-0.01158;-0.05245;0.02769;0.45663;0.403;0.50544;0.6664;0.58989;0.72863;0.82634;0.74356;0.88239
2021.12_13-10-2022;Алтайский край;105_165_days;CoviVac;0.09599;-0.34924;0.3943;0.24243;-1.35101;0.75589;-0.26195;-7.98194;0.8227;-3.63125;-32.19036;0.35377;-0.64459;-2.95233;0.31568;-0.88616;-4.85072;0.39194;-0.67989;-10.9336;0.76352;NULL;NULL;NULL;0.07898;-0.3257;0.36013;0.33821;-0.47366;0.70281;0.30526;-1.77995;0.82638;0.32256;-3.8142;0.90467
2021.12_13-10-2022;Алтайский край;105_165_days;EpiVacCorona;-0.41943;-0.82921;-0.10145;0.0496;-1.11817;0.57356;-0.58484;-5.3602;0.60509;NULL;NULL;NULL;-0.6175;-1.5373;-0.03114;-0.62714;-2.02652;0.1252;-0.73948;-3.64091;0.34802;0.24415;-4.37178;0.89365;-0.41044;-0.75918;-0.13083;0.00868;-0.61922;0.3931;-0.17129;-1.61055;0.47447;0.62012;-1.69961;0.94654
2021.12_13-10-2022;Алтайский край;105_165_days;SputnikLite;0.40571;0.34015;0.46476;0.47177;0.29648;0.60338;0.78354;0.42025;0.91918;0.6021;-0.61265;0.90182;0.71391;0.63037;0.77856;0.86155;0.77012;0.91661;0.95079;0.80307;0.98771;0.95718;0.69567;0.99397;0.49854;0.44765;0.54474;0.7413;0.66839;0.79818;0.923;0.82838;0.96545;0.92492;0.76679;0.97583
2021.12_13-10-2022;Алтайский край;105_165_days;SputnikV;-0.22756;-0.29206;-0.16628;0.24182;0.11014;0.35402;0.45993;0.18346;0.64279;0.68046;0.13192;0.88237;-0.45871;-0.58227;-0.3448;0.04989;-0.08761;0.17;0.36326;0.17022;0.5114;0.67573;0.47584;0.7994;-0.24072;-0.29552;-0.18825;0.31986;0.24597;0.38651;0.56235;0.45317;0.64973;0.78363;0.66654;0.85961
2021.12_13-10-2022;Алтайский край;165_195_days;AllVaccines;0.65252;0.61461;0.6867;0.67864;0.57555;0.75669;0.71782;0.45338;0.85433;0.88737;0.19284;0.98428;0.33035;0.24985;0.40222;0.53267;0.43742;0.6118;0.62208;0.47152;0.72975;0.79551;0.6293;0.88719;0.56032;0.52539;0.59269;0.62906;0.56715;0.68211;0.69186;0.58444;0.77151;0.83796;0.71363;0.90831
2021.12_13-10-2022;Алтайский край;165_195_days;CoviVac;-2.94259;-5.25968;-1.48319;-3.40732;-12.67744;-0.42018;NULL;NULL;NULL;NULL;NULL;NULL;-2.18016;-6.64267;-0.32328;-1.43091;-8.72318;0.39224;NULL;NULL;NULL;NULL;NULL;NULL;-2.64677;-4.48905;-1.42281;-1.75359;-5.61809;-0.14569;NULL;NULL;NULL;NULL;NULL;NULL
2021.12_13-10-2022;Алтайский край;165_195_days;EpiVacCorona;-2.4045;-3.56214;-1.54061;-3.06162;-7.13359;-1.02823;-1.53046;-17.01049;0.64447;NULL;NULL;NULL;-5.36627;-7.91656;-3.5454;-6.16162;-10.11306;-3.61518;-3.77605;-10.49165;-0.98497;-2.32217;-12.30544;0.1705;-3.17448;-4.20665;-2.34693;-4.14517;-6.45849;-2.54934;-2.46666;-6.72644;-0.5554;-1.25106;-8.01395;0.43784
2021.12_13-10-2022;Алтайский край;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.12_13-10-2022;Алтайский край;165_195_days;SputnikV;0.70383;0.66826;0.73559;0.74116;0.64595;0.81077;0.74158;0.4794;0.87172;0.88365;0.16615;0.98376;0.40604;0.32959;0.47376;0.61686;0.52936;0.68809;0.67085;0.52748;0.77072;0.82981;0.67175;0.91176;0.61726;0.58426;0.64765;0.69582;0.63876;0.74387;0.72695;0.62349;0.80198;0.86128;0.74134;0.92561
