data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total;ve_death_total;cil_death_total;cih_death_total
2022.02_01-07-2022;Алтайский край;105_165_days;AllVaccines;NULL;NULL;NULL;0.30045;0.17736;0.40513;0.17541;-0.27273;0.46575;0.01962;-1.2637;0.57541;-0.0703;-0.11103;-0.03106;0.40503;0.33588;0.46699;0.61674;0.51079;0.69975;0.78757;0.66917;0.86359;NULL;NULL;NULL;0.36049;0.29951;0.41617;0.54775;0.44011;0.63469;0.7407;0.61435;0.82565
2022.02_01-07-2022;Алтайский край;105_165_days;CoviVac;NULL;NULL;NULL;-0.47505;-3.57647;0.52458;NULL;NULL;NULL;NULL;NULL;NULL;-1.24142;-2.51449;-0.4295;-0.86487;-4.78376;0.39871;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.07595;-1.22064;0.61548;NULL;NULL;NULL;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;105_165_days;EpiVacCorona;NULL;NULL;NULL;-0.6285;-2.91596;0.32277;-7.14139;-24.38653;-1.61092;NULL;NULL;NULL;-0.45998;-1.00685;-0.06214;-0.01198;-1.43222;0.57894;-1.00994;-5.23792;0.35237;NULL;NULL;NULL;NULL;NULL;NULL;0.03199;-0.86108;0.49651;-1.16642;-4.21039;0.09923;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;105_165_days;SputnikLite;NULL;NULL;NULL;0.1992;0.00457;0.35577;-0.0345;-0.80336;0.40655;-0.02619;-2.26251;0.67722;-0.04454;-0.09512;0.00371;0.43962;0.35271;0.51486;0.67456;0.54305;0.76822;0.7114;0.52692;0.82394;NULL;NULL;NULL;0.30455;0.21557;0.38343;0.53539;0.3777;0.65313;0.62798;0.40707;0.76659
2022.02_01-07-2022;Алтайский край;105_165_days;SputnikV;NULL;NULL;NULL;0.3904;0.22293;0.52178;0.39857;-0.21398;0.70204;-0.33499;-2.66252;0.51339;-0.08579;-0.15094;-0.02433;0.32376;0.20079;0.42781;0.49548;0.28432;0.64434;0.85302;0.64606;0.93897;NULL;NULL;NULL;0.40372;0.31552;0.48055;0.55079;0.38334;0.67277;0.81268;0.6244;0.90658
2022.02_01-07-2022;Алтайский край;165_195_days;AllVaccines;NULL;NULL;NULL;0.41848;0.31961;0.50299;0.51622;0.2108;0.70344;0.51018;-0.34381;0.82146;-0.39077;-0.45584;-0.3286;0.45003;0.35425;0.53161;0.68253;0.53572;0.78291;0.80128;0.61688;0.89693;NULL;NULL;NULL;0.59941;0.55198;0.64181;0.78663;0.71139;0.84225;0.87871;0.7857;0.93135
2022.02_01-07-2022;Алтайский край;165_195_days;CoviVac;NULL;NULL;NULL;0.18503;-1.52852;0.73733;-3.51548;-17.13861;-0.1241;NULL;NULL;NULL;-0.51154;-1.66188;0.14168;-0.99166;-5.17699;0.35783;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.45403;-0.31205;0.77281;0.12109;-2.51662;0.78033;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;165_195_days;EpiVacCorona;NULL;NULL;NULL;-0.13419;-1.38156;0.45986;NULL;NULL;NULL;NULL;NULL;NULL;-0.82345;-1.33026;-0.42687;-0.65129;-1.9834;0.08602;0.00772;-2.97066;0.75203;NULL;NULL;NULL;NULL;NULL;NULL;0.01198;-0.5901;0.38608;0.53287;-0.86905;0.88325;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;165_195_days;SputnikLite;NULL;NULL;NULL;0.46446;0.27347;0.60525;0.57995;-0.12657;0.84338;0.08269;-2.74277;0.77518;-0.63882;-0.81647;-0.47854;0.4865;0.21952;0.66215;0.76888;0.2827;0.92553;NULL;NULL;NULL;NULL;NULL;NULL;0.68581;0.59743;0.75479;0.88018;0.73298;0.94623;0.91798;0.67161;0.97952
2022.02_01-07-2022;Алтайский край;165_195_days;SputnikV;NULL;NULL;NULL;0.38658;0.26202;0.49012;0.44387;0.03055;0.68098;0.44834;-0.75385;0.82648;-0.31925;-0.38902;-0.25299;0.46754;0.36204;0.5556;0.65025;0.47676;0.76621;0.75329;0.52435;0.87203;NULL;NULL;NULL;0.56863;0.50916;0.6209;0.73934;0.63761;0.81252;0.83737;0.70538;0.91023
2022.02_01-07-2022;Алтайский край;21_45_days;AllVaccines;NULL;NULL;NULL;0.32363;0.12617;0.47646;0.72446;0.1408;0.91163;NULL;NULL;NULL;0.25496;0.20742;0.29964;0.60954;0.52642;0.67808;0.70612;0.56035;0.80356;0.88533;0.72385;0.95238;NULL;NULL;NULL;0.49596;0.4117;0.56814;0.68083;0.5301;0.78321;0.8748;0.69856;0.948
2022.02_01-07-2022;Алтайский край;21_45_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.31413;-1.62799;0.34286;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;21_45_days;EpiVacCorona;NULL;NULL;NULL;-0.5952;-2.83589;0.33662;NULL;NULL;NULL;NULL;NULL;NULL;-0.11667;-0.46577;0.14928;-0.81258;-1.96065;-0.1097;-0.87363;-3.507;0.22111;-0.41439;-4.66368;0.64679;NULL;NULL;NULL;-0.79072;-1.7771;-0.15469;-0.80108;-3.33172;0.25113;-0.4801;-4.92619;0.63034
2022.02_01-07-2022;Алтайский край;21_45_days;SputnikLite;NULL;NULL;NULL;0.37535;0.13196;0.5505;NULL;NULL;NULL;NULL;NULL;NULL;0.23767;0.17739;0.29354;0.73129;0.64085;0.79896;0.80722;0.64109;0.89646;0.92744;0.70945;0.98188;NULL;NULL;NULL;0.61412;0.51972;0.68996;0.80928;0.64501;0.89753;0.92182;0.68699;0.98047
2022.02_01-07-2022;Алтайский край;21_45_days;SputnikV;NULL;NULL;NULL;0.22001;-0.19847;0.49236;0.07755;-1.8764;0.70417;NULL;NULL;NULL;0.31703;0.23535;0.38999;0.46839;0.28719;0.60352;0.57083;0.22362;0.76276;0.77962;0.31545;0.92905;NULL;NULL;NULL;0.34965;0.16989;0.49049;0.47752;0.09865;0.69714;0.753;0.23287;0.92047
2022.02_01-07-2022;Алтайский край;45_75_days;AllVaccines;NULL;NULL;NULL;0.39817;0.28006;0.49691;0.80943;0.53876;0.92126;0.66818;-0.35387;0.91867;0.28793;0.25825;0.31643;0.49379;0.43572;0.54589;0.69764;0.61195;0.76441;0.79722;0.6933;0.86593;NULL;NULL;NULL;0.39983;0.34135;0.45311;0.65991;0.56694;0.73292;0.75556;0.63354;0.83695
2022.02_01-07-2022;Алтайский край;45_75_days;CoviVac;NULL;NULL;NULL;-0.12905;-2.50299;0.6361;NULL;NULL;NULL;NULL;NULL;NULL;-0.14964;-0.90718;0.30701;-0.21172;-2.75807;0.6093;-3.01246;-11.45278;-0.29287;NULL;NULL;NULL;NULL;NULL;NULL;0.30864;-0.66145;0.71231;-0.67025;-4.18292;0.46175;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;45_75_days;EpiVacCorona;NULL;NULL;NULL;-0.31237;-1.26338;0.23905;-0.67127;-5.71348;0.58395;NULL;NULL;NULL;-0.04743;-0.25593;0.12646;-0.27485;-0.86059;0.12649;-0.24923;-1.50187;0.37624;-0.47571;-2.55373;0.3872;NULL;NULL;NULL;-0.20704;-0.65326;0.11875;-0.12024;-1.15606;0.41795;-0.27994;-2.08178;0.46841
2022.02_01-07-2022;Алтайский край;45_75_days;SputnikLite;NULL;NULL;NULL;0.44892;0.2101;0.61553;NULL;NULL;NULL;NULL;NULL;NULL;0.25666;0.20643;0.30371;0.55274;0.45848;0.63058;0.78085;0.64148;0.86604;0.92285;0.76036;0.97516;NULL;NULL;NULL;0.41267;0.30421;0.50421;0.72441;0.5493;0.83148;0.8943;0.67171;0.96597
2022.02_01-07-2022;Алтайский край;45_75_days;SputnikV;NULL;NULL;NULL;0.40345;0.25753;0.52069;0.7672;0.37562;0.9132;0.4916;-1.07436;0.8754;0.30673;0.26919;0.34235;0.47141;0.39373;0.53913;0.6747;0.55495;0.76223;0.74009;0.58008;0.83912;NULL;NULL;NULL;0.41138;0.33874;0.47604;0.65877;0.53845;0.74772;0.70727;0.53345;0.81634
2022.02_01-07-2022;Алтайский край;75_90_days;AllVaccines;NULL;NULL;NULL;0.2158;0.0353;0.36252;0.44859;-0.11301;0.72682;0.40602;-1.42353;0.85442;0.15526;0.11091;0.19739;0.45917;0.37529;0.53178;0.67649;0.54793;0.76849;0.70374;0.52136;0.81662;NULL;NULL;NULL;0.34488;0.26244;0.41811;0.61429;0.47646;0.71584;0.66108;0.45982;0.78735
2022.02_01-07-2022;Алтайский край;75_90_days;CoviVac;NULL;NULL;NULL;-1.06505;-3.96573;0.14122;NULL;NULL;NULL;NULL;NULL;NULL;-0.69419;-1.57338;-0.11538;-1.02942;-3.87757;0.15561;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.34616;-1.58811;0.29982;NULL;NULL;NULL;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;75_90_days;EpiVacCorona;NULL;NULL;NULL;-0.0322;-0.86629;0.42912;-0.55473;-5.24532;0.61296;NULL;NULL;NULL;-0.11309;-0.31648;0.05888;-0.15624;-0.68749;0.20776;0.29307;-0.70052;0.70612;0.19866;-1.4891;0.74202;NULL;NULL;NULL;-0.05686;-0.4597;0.23481;0.31158;-0.53412;0.69108;0.29247;-1.19742;0.77219
