data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total;ve_death_total;cil_death_total;cih_death_total
2022.02_01-07-2022;Алтайский край;105_165_days;AllVaccines;-0.08739;-0.11289;-0.06248;0.30033;0.17721;0.40502;0.17561;-0.27241;0.46588;0.01987;-1.26313;0.57552;-0.07078;-0.11153;-0.03153;0.40489;0.33572;0.46686;0.61665;0.51067;0.69968;0.78752;0.66909;0.86356;-0.07942;-0.10089;-0.05837;0.36066;0.29969;0.41631;0.54769;0.44004;0.63465;0.74066;0.6143;0.82563
2022.02_01-07-2022;Алтайский край;105_165_days;CoviVac;-0.75156;-1.095;-0.46442;-0.47536;-3.57745;0.52448;NULL;NULL;NULL;NULL;NULL;NULL;-1.24169;-2.51491;-0.42967;-0.86473;-4.78333;0.39875;NULL;NULL;NULL;NULL;NULL;NULL;-0.86025;-1.19823;-0.57423;0.07612;-1.22023;0.61555;NULL;NULL;NULL;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;105_165_days;EpiVacCorona;-0.48828;-0.74316;-0.27066;-0.62869;-2.91643;0.32269;-7.13908;-24.37933;-1.61018;NULL;NULL;NULL;-0.46021;-1.00716;-0.0623;-0.01194;-1.43212;0.57896;-1.00986;-5.23767;0.35239;NULL;NULL;NULL;-0.49849;-0.72701;-0.3002;0.03212;-0.86084;0.49657;-1.16692;-4.21159;0.09902;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;105_165_days;SputnikLite;-0.02417;-0.05901;0.00953;0.19882;0.00411;0.35547;-0.03455;-0.80345;0.40652;-0.02624;-2.26266;0.67721;-0.0449;-0.09551;0.00336;0.43954;0.35262;0.51479;0.67451;0.54298;0.76818;0.71136;0.52685;0.82391;-0.01544;-0.04354;0.01191;0.30497;0.21605;0.38381;0.5355;0.37785;0.65321;0.62807;0.40721;0.76664
2022.02_01-07-2022;Алтайский край;105_165_days;SputnikV;-0.11521;-0.15102;-0.08051;0.39035;0.22285;0.52174;0.39876;-0.21359;0.70213;-0.33457;-2.66135;0.51355;-0.08589;-0.15104;-0.02442;0.32383;0.20088;0.42787;0.49554;0.28439;0.64438;0.85304;0.6461;0.93897;-0.11883;-0.15035;-0.08818;0.40381;0.31563;0.48063;0.5507;0.38321;0.6727;0.81264;0.62432;0.90656
2022.02_01-07-2022;Алтайский край;165_195_days;AllVaccines;-0.37575;-0.40242;-0.34959;0.41832;0.31941;0.50285;0.51629;0.21091;0.70348;0.51025;-0.34361;0.82149;-0.39151;-0.45663;-0.32931;0.44985;0.35403;0.53145;0.68242;0.53557;0.78284;0.80122;0.61675;0.89689;-0.42133;-0.44655;-0.39654;0.59951;0.55209;0.6419;0.78661;0.71136;0.84223;0.87869;0.78567;0.93134
2022.02_01-07-2022;Алтайский край;165_195_days;CoviVac;-0.90574;-1.16546;-0.67717;0.18491;-1.52889;0.73729;-3.51432;-17.13395;-0.12381;NULL;NULL;NULL;-0.51246;-1.6635;0.14115;-0.99248;-5.17955;0.35756;NULL;NULL;NULL;NULL;NULL;NULL;-0.96816;-1.22987;-0.73717;0.4544;-0.31116;0.77296;0.12137;-2.5155;0.7804;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;165_195_days;EpiVacCorona;-0.49254;-0.66863;-0.33503;-0.13477;-1.38278;0.45958;NULL;NULL;NULL;NULL;NULL;NULL;-0.82453;-1.33164;-0.42772;-0.65195;-1.98458;0.08566;0.00733;-2.97224;0.75193;NULL;NULL;NULL;-0.58164;-0.75087;-0.42877;0.0125;-0.58925;0.38641;0.53295;-0.86873;0.88327;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;165_195_days;SputnikLite;-0.47394;-0.5228;-0.42665;0.46437;0.27334;0.60518;0.58005;-0.12629;0.84342;0.08291;-2.74187;0.77523;-0.6394;-0.81711;-0.47906;0.48641;0.2194;0.66209;0.76884;0.28259;0.92552;NULL;NULL;NULL;-0.55295;-0.60183;-0.50556;0.6859;0.59755;0.75486;0.88017;0.73296;0.94623;0.91798;0.67159;0.97951
2022.02_01-07-2022;Алтайский край;165_195_days;SputnikV;-0.27599;-0.30596;-0.24671;0.38644;0.26186;0.49;0.44398;0.03075;0.68104;0.44845;-0.7535;0.82652;-0.31918;-0.38894;-0.25291;0.46768;0.3622;0.55571;0.65034;0.4769;0.76627;0.75335;0.52448;0.87207;-0.3177;-0.34582;-0.29018;0.56879;0.50934;0.62104;0.73935;0.63761;0.81252;0.83737;0.70539;0.91023
