data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total;ve_death_total;cil_death_total;cih_death_total
2022.02_01-07-2022;г. Москва;105_165_days;AllVaccines;0.11057;0.09207;0.12869;0.31839;0.16892;0.44099;0.53656;0.38771;0.64922;0.24612;-0.42211;0.60036;-0.11164;-0.13603;-0.08777;0.62036;0.57278;0.66264;0.66876;0.62312;0.70886;0.77122;0.71554;0.816;0.00539;-0.0095;0.02007;0.45818;0.40025;0.51051;0.55118;0.49532;0.60085;0.66304;0.58554;0.72604
2022.02_01-07-2022;г. Москва;105_165_days;CoviVac;-0.71061;-0.86376;-0.57004;-0.42732;-2.18018;0.3594;0.01705;-2.05066;0.68328;NULL;NULL;NULL;-1.02338;-1.44579;-0.67393;-0.55176;-2.25616;0.26049;0.5334;-0.86603;0.88333;0.06157;-2.75376;0.7654;-0.72631;-0.86669;-0.59648;0.10719;-0.57266;0.49314;0.66697;0.1125;0.87504;0.60394;-0.58423;0.90098
2022.02_01-07-2022;г. Москва;105_165_days;EpiVacCorona;-0.40119;-0.71896;-0.14217;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.9162;-1.34081;-0.56861;-0.16979;-1.81131;0.51325;-0.23198;-1.96082;0.48738;0.00932;-2.96277;0.75233;-0.63167;-0.88322;-0.41372;-0.18572;-1.84937;0.50658;-0.32797;-2.1913;0.4474;-0.26332;-4.05324;0.68416
2022.02_01-07-2022;г. Москва;105_165_days;SputnikLite;0.217;0.19;0.24309;0.43369;0.20554;0.59631;0.47245;0.20398;0.65037;-0.33442;-1.83373;0.37162;-0.0967;-0.12799;-0.06627;0.64476;0.58218;0.69797;0.7378;0.68206;0.78377;0.82013;0.7502;0.87048;0.03812;0.0172;0.0586;0.4531;0.36669;0.52771;0.57441;0.4929;0.64281;0.66632;0.54769;0.75384
2022.02_01-07-2022;г. Москва;105_165_days;SputnikV;0.07541;0.05038;0.09978;0.22796;0.01037;0.39771;0.55608;0.35078;0.69646;0.4624;-0.44564;0.80008;-0.09056;-0.12672;-0.05555;0.57543;0.49467;0.64329;0.54891;0.46341;0.62078;0.68086;0.57308;0.76143;0.01098;-0.00966;0.0312;0.45605;0.3725;0.52847;0.50596;0.42118;0.57832;0.63265;0.51301;0.72289
2022.02_01-07-2022;г. Москва;165_195_days;AllVaccines;0.04965;0.03384;0.0652;0.34608;0.22861;0.44567;0.56451;0.45036;0.65495;0.66768;0.2943;0.84351;-0.26953;-0.30737;-0.23278;0.44056;0.35212;0.51693;0.57769;0.49829;0.64452;0.69935;0.59905;0.77456;0.00105;-0.0134;0.0153;0.57293;0.52352;0.61722;0.70791;0.6645;0.7457;0.82207;0.76664;0.86434
2022.02_01-07-2022;г. Москва;165_195_days;CoviVac;-0.9074;-1.04143;-0.78218;-0.99414;-2.51629;-0.1309;0.31505;-1.12579;0.7793;NULL;NULL;NULL;-1.41286;-1.91918;-0.99436;-1.93697;-4.3057;-0.62576;0.15738;-1.61318;0.7283;NULL;NULL;NULL;-0.91059;-1.03682;-0.79219;-0.21136;-0.8406;0.20276;0.69221;0.26033;0.87192;NULL;NULL;NULL
2022.02_01-07-2022;г. Москва;165_195_days;EpiVacCorona;-0.73199;-1.05296;-0.4612;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.75713;-1.37783;-0.29846;-1.45342;-4.89622;-0.02087;-0.54986;-3.8065;0.50025;-1.07777;-7.31119;0.48057;-0.71482;-0.98962;-0.47798;-0.33932;-2.21848;0.44266;0.10021;-1.79041;0.70986;-0.42698;-4.70784;0.64325
2022.02_01-07-2022;г. Москва;165_195_days;SputnikLite;0.41943;0.3802;0.45618;0.29613;-0.16938;0.57633;0.54823;0.05097;0.78494;-0.05734;-3.25503;0.73726;-0.38867;-0.51013;-0.27698;0.73494;0.49038;0.86214;0.81398;0.58579;0.91646;0.87536;0.50144;0.96884;0.26339;0.2244;0.30042;0.68383;0.52398;0.79;0.81545;0.6749;0.89523;0.89033;0.65979;0.96465
2022.02_01-07-2022;г. Москва;165_195_days;SputnikV;0.04121;0.02429;0.05784;0.37421;0.25079;0.4773;0.55119;0.42606;0.64903;0.67087;0.25904;0.8538;-0.23146;-0.27108;-0.19307;0.43695;0.34174;0.51839;0.54901;0.46096;0.62268;0.66986;0.55697;0.75399;0.00133;-0.01406;0.01649;0.57778;0.52497;0.62472;0.69056;0.64244;0.73221;0.80587;0.74336;0.85315
