data_point,region,age_group,count_zab,count_hosp,count_severe,count_death
2021.11.B_26-08-2022,Московская область,18+,75940,13730,3522,1997
2021.11.B_26-08-2022,Московская область,20-29,7510,309,45,3
2021.11.B_26-08-2022,Московская область,30-39,17802,1009,168,28
2021.11.B_26-08-2022,Московская область,40-49,15025,1623,371,78
2021.11.B_26-08-2022,Московская область,50-59,12289,2206,550,183
2021.11.B_26-08-2022,Московская область,60-69,13102,3803,998,480
2021.11.B_26-08-2022,Московская область,70-79,6614,2797,765,552
2021.11.B_26-08-2022,Московская область,80+,3598,1983,625,673
2021.11.B_26-08-2022,РФ,18+,1492066,365478,88908,57764
2021.11.B_26-08-2022,РФ,20-29,145658,10280,736,151
2021.11.B_26-08-2022,РФ,30-39,310252,26971,2878,685
2021.11.B_26-08-2022,РФ,40-49,274827,35895,5282,1754
2021.11.B_26-08-2022,РФ,50-59,243246,55971,10511,4200
2021.11.B_26-08-2022,РФ,60-69,283369,106287,24762,13667
2021.11.B_26-08-2022,РФ,70-79,148288,76119,22122,16021
2021.11.B_26-08-2022,РФ,80+,86426,53955,22617,21286
2021.11.B_26-08-2022,г. Санкт-Петербург,18+,69408,13167,3461,2292
2021.11.B_26-08-2022,г. Санкт-Петербург,20-29,9130,651,39,9
2021.11.B_26-08-2022,г. Санкт-Петербург,30-39,16504,1217,132,30
2021.11.B_26-08-2022,г. Санкт-Петербург,40-49,13011,1420,209,63
2021.11.B_26-08-2022,г. Санкт-Петербург,50-59,10270,1735,335,130
2021.11.B_26-08-2022,г. Санкт-Петербург,60-69,10233,2937,730,413
2021.11.B_26-08-2022,г. Санкт-Петербург,70-79,6198,2702,845,591
2021.11.B_26-08-2022,г. Санкт-Петербург,80+,4062,2505,1171,1056
2021.12.B_13-10-2022,Московская область,18+,57019,10285,2326,1500
2021.12.B_13-10-2022,Московская область,20-29,5575,216,43,4
2021.12.B_13-10-2022,Московская область,30-39,13189,846,141,20
2021.12.B_13-10-2022,Московская область,40-49,11401,1163,186,42
2021.12.B_13-10-2022,Московская область,50-59,9332,1755,358,100
2021.12.B_13-10-2022,Московская область,60-69,9907,2838,639,325
2021.12.B_13-10-2022,Московская область,70-79,4893,1986,524,405
2021.12.B_13-10-2022,Московская область,80+,2722,1481,435,604
2021.12.B_13-10-2022,РФ,18+,815040,216704,56953,35862
2021.12.B_13-10-2022,РФ,20-29,79198,6181,471,77
2021.12.B_13-10-2022,РФ,30-39,165945,15794,1855,448
2021.12.B_13-10-2022,РФ,40-49,147230,20639,3255,1036
2021.12.B_13-10-2022,РФ,50-59,131527,32041,6408,2466
2021.12.B_13-10-2022,РФ,60-69,154705,62050,15401,8123
2021.12.B_13-10-2022,РФ,70-79,84883,46048,14504,10129
2021.12.B_13-10-2022,РФ,80+,51552,33951,15059,13583
2021.12.B_13-10-2022,г. Санкт-Петербург,18+,56123,12076,3349,2276
2021.12.B_13-10-2022,г. Санкт-Петербург,20-29,6756,700,25,6
2021.12.B_13-10-2022,г. Санкт-Петербург,30-39,12878,1066,106,28
2021.12.B_13-10-2022,г. Санкт-Петербург,40-49,10451,1232,205,78
2021.12.B_13-10-2022,г. Санкт-Петербург,50-59,8441,1569,308,148
2021.12.B_13-10-2022,г. Санкт-Петербург,60-69,8548,2617,676,376
2021.12.B_13-10-2022,г. Санкт-Петербург,70-79,5367,2503,837,584
2021.12.B_13-10-2022,г. Санкт-Петербург,80+,3682,2389,1192,1056
2022.01.B_13-10-2022,Московская область,18+,170777,10824,3427,1441
2022.01.B_13-10-2022,Московская область,20-29,21373,413,52,4
2022.01.B_13-10-2022,Московская область,30-39,44439,957,203,19
