data_point;region;vac_interval_group;vaccine;count_vac_zab_18_59;count_vac_hosp_18_59;count_vac_severe_18_59;count_vac_death_18_59;count_vac_zab_60;count_vac_hosp_60;count_vac_severe_60;count_vac_death_60;count_vac_zab_total;count_vac_hosp_total;count_vac_severe_total;count_vac_death_total;count_zab_18_59;count_hosp_18_59;count_severe_18_59;count_death_18_59;count_zab_60;count_hosp_60;count_severe_60;count_death_60;count_zab_total;count_hosp_total;count_severe_total;count_death_total
2021.11_01-07-2022;Алтайский край;21_45_days;AllVaccines;6728;556;102;18;2982;910;228;103;9710;1466;330;121;26177;3029;631;149;13881;6323;2293;1355;40058;9352;2924;1504
2021.11_01-07-2022;Алтайский край;21_45_days;CoviVac;91;14;2;0;34;5;2;1;125;19;4;1;26177;3029;631;149;13881;6323;2293;1355;40058;9352;2924;1504
2021.11_01-07-2022;Алтайский край;21_45_days;EpiVacCorona;281;57;15;3;172;93;31;13;453;150;46;16;26177;3029;631;149;13881;6323;2293;1355;40058;9352;2924;1504
2021.11_01-07-2022;Алтайский край;21_45_days;SputnikLite;1260;112;20;6;365;84;22;9;1625;196;42;15;26177;3029;631;149;13881;6323;2293;1355;40058;9352;2924;1504
2021.11_01-07-2022;Алтайский край;21_45_days;SputnikV;5096;373;65;9;2411;728;173;80;7507;1101;238;89;26177;3029;631;149;13881;6323;2293;1355;40058;9352;2924;1504
2021.11_01-07-2022;Амурская область;21_45_days;AllVaccines;3014;279;53;7;1018;337;90;35;4032;616;143;42;11112;1482;287;59;4791;2367;878;476;15903;3849;1165;535
2021.11_01-07-2022;Амурская область;21_45_days;CoviVac;43;10;0;0;13;3;1;1;56;13;1;1;11112;1482;287;59;4791;2367;878;476;15903;3849;1165;535
2021.11_01-07-2022;Амурская область;21_45_days;EpiVacCorona;76;18;1;0;29;20;8;3;105;38;9;3;11112;1482;287;59;4791;2367;878;476;15903;3849;1165;535
2021.11_01-07-2022;Амурская область;21_45_days;SputnikLite;450;42;8;0;197;65;18;6;647;107;26;6;11112;1482;287;59;4791;2367;878;476;15903;3849;1165;535
2021.11_01-07-2022;Амурская область;21_45_days;SputnikV;2445;209;44;7;779;249;63;25;3224;458;107;32;11112;1482;287;59;4791;2367;878;476;15903;3849;1165;535
2021.11_01-07-2022;Архангельская область;21_45_days;AllVaccines;2067;192;10;2;1071;340;39;35;3138;532;49;37;8082;1034;105;38;4436;2071;582;490;12518;3105;687;528
2021.11_01-07-2022;Архангельская область;21_45_days;CoviVac;44;4;0;0;1;0;0;0;45;4;0;0;8082;1034;105;38;4436;2071;582;490;12518;3105;687;528
2021.11_01-07-2022;Архангельская область;21_45_days;EpiVacCorona;58;17;0;0;25;15;3;5;83;32;3;5;8082;1034;105;38;4436;2071;582;490;12518;3105;687;528
2021.11_01-07-2022;Архангельская область;21_45_days;SputnikLite;473;41;4;0;150;46;4;3;623;87;8;3;8082;1034;105;38;4436;2071;582;490;12518;3105;687;528
2021.11_01-07-2022;Архангельская область;21_45_days;SputnikV;1492;130;6;2;895;279;32;27;2387;409;38;29;8082;1034;105;38;4436;2071;582;490;12518;3105;687;528
