data_point,region,age_group,vac_interval_group,vaccine,count_vac_zab,count_vac_hosp,count_vac_severe,count_vac_death
2021.11.B_26-08-2022,Московская область,18+,105_165_days,AllVaccines,13466,1611,426,108
2021.11.B_26-08-2022,Московская область,18+,105_165_days,CoviVac,346,65,13,2
2021.11.B_26-08-2022,Московская область,18+,105_165_days,EpiVacCorona,574,130,34,9
2021.11.B_26-08-2022,Московская область,18+,105_165_days,SputnikLite,9,2,0,0
2021.11.B_26-08-2022,Московская область,18+,105_165_days,SputnikV,12537,1414,379,97
2021.11.B_26-08-2022,Московская область,18+,165_195_days,AllVaccines,2557,401,110,40
2021.11.B_26-08-2022,Московская область,18+,165_195_days,CoviVac,98,28,6,3
2021.11.B_26-08-2022,Московская область,18+,165_195_days,EpiVacCorona,101,26,9,2
2021.11.B_26-08-2022,Московская область,18+,165_195_days,SputnikV,2358,347,95,35
2021.11.B_26-08-2022,Московская область,18+,21_45_days,AllVaccines,1149,150,41,11
2021.11.B_26-08-2022,Московская область,18+,21_45_days,CoviVac,36,6,2,0
2021.11.B_26-08-2022,Московская область,18+,21_45_days,EpiVacCorona,19,8,2,1
2021.11.B_26-08-2022,Московская область,18+,21_45_days,SputnikLite,436,48,14,4
2021.11.B_26-08-2022,Московская область,18+,21_45_days,SputnikV,658,88,23,6
2021.11.B_26-08-2022,Московская область,18+,45_75_days,AllVaccines,2234,290,96,32
2021.11.B_26-08-2022,Московская область,18+,45_75_days,CoviVac,60,7,4,4
2021.11.B_26-08-2022,Московская область,18+,45_75_days,EpiVacCorona,55,15,4,3
2021.11.B_26-08-2022,Московская область,18+,45_75_days,SputnikLite,251,27,8,2
2021.11.B_26-08-2022,Московская область,18+,45_75_days,SputnikV,1868,241,80,23
2021.11.B_26-08-2022,Московская область,18+,75_90_days,AllVaccines,2356,296,82,23
2021.11.B_26-08-2022,Московская область,18+,75_90_days,CoviVac,97,12,6,0
2021.11.B_26-08-2022,Московская область,18+,75_90_days,EpiVacCorona,48,7,1,2
2021.11.B_26-08-2022,Московская область,18+,75_90_days,SputnikLite,95,10,4,1
2021.11.B_26-08-2022,Московская область,18+,75_90_days,SputnikV,2116,267,71,20
2021.11.B_26-08-2022,Московская область,18+,90_105_days,AllVaccines,4380,509,128,41
2021.11.B_26-08-2022,Московская область,18+,90_105_days,CoviVac,45,9,2,0
2021.11.B_26-08-2022,Московская область,18+,90_105_days,EpiVacCorona,22,6,1,1
2021.11.B_26-08-2022,Московская область,18+,90_105_days,SputnikLite,64,12,2,0
2021.11.B_26-08-2022,Московская область,18+,90_105_days,SputnikV,4249,482,123,40
2021.11.B_26-08-2022,Московская область,20-29,105_165_days,AllVaccines,1529,46,5,0
2021.11.B_26-08-2022,Московская область,20-29,105_165_days,CoviVac,31,1,0,0
2021.11.B_26-08-2022,Московская область,20-29,105_165_days,EpiVacCorona,34,2,0,0
2021.11.B_26-08-2022,Московская область,20-29,105_165_days,SputnikV,1464,43,5,0
2021.11.B_26-08-2022,Московская область,20-29,165_195_days,AllVaccines,146,8,0,0
2021.11.B_26-08-2022,Московская область,20-29,165_195_days,CoviVac,3,1,0,0
2021.11.B_26-08-2022,Московская область,20-29,165_195_days,SputnikV,143,7,0,0
2021.11.B_26-08-2022,Московская область,20-29,21_45_days,AllVaccines,92,8,1,0
2021.11.B_26-08-2022,Московская область,20-29,21_45_days,CoviVac,5,0,0,0
2021.11.B_26-08-2022,Московская область,20-29,21_45_days,EpiVacCorona,3,2,1,0
2021.11.B_26-08-2022,Московская область,20-29,21_45_days,SputnikLite,20,0,0,0
2021.11.B_26-08-2022,Московская область,20-29,21_45_days,SputnikV,64,6,0,0
2021.11.B_26-08-2022,Московская область,20-29,45_75_days,AllVaccines,249,10,2,0
2021.11.B_26-08-2022,Московская область,20-29,45_75_days,CoviVac,8,0,0,0
2021.11.B_26-08-2022,Московская область,20-29,45_75_days,EpiVacCorona,4,0,0,0
2021.11.B_26-08-2022,Московская область,20-29,45_75_days,SputnikLite,16,0,0,0
2021.11.B_26-08-2022,Московская область,20-29,45_75_days,SputnikV,221,10,2,0
2021.11.B_26-08-2022,Московская область,20-29,75_90_days,AllVaccines,301,14,2,1
