data_point,region,age_group,vac_interval_group,vaccine,count_vac_zab,count_vac_hosp,count_vac_severe,count_vac_death
2021.11_01-07-2022,Московская область,18+,21_45_days,AllVaccines,26427,3269,890,255
2021.11_01-07-2022,Московская область,18+,21_45_days,CoviVac,690,127,33,9
2021.11_01-07-2022,Московская область,18+,21_45_days,EpiVacCorona,821,192,51,18
2021.11_01-07-2022,Московская область,18+,21_45_days,SputnikLite,860,98,28,7
2021.11_01-07-2022,Московская область,18+,21_45_days,SputnikV,24056,2852,778,221
2021.11_01-07-2022,Московская область,18-59,21_45_days,AllVaccines,20996,1864,435,84
2021.11_01-07-2022,Московская область,18-59,21_45_days,CoviVac,509,73,10,0
2021.11_01-07-2022,Московская область,18-59,21_45_days,EpiVacCorona,502,70,12,1
2021.11_01-07-2022,Московская область,18-59,21_45_days,SputnikLite,485,27,6,1
2021.11_01-07-2022,Московская область,18-59,21_45_days,SputnikV,19500,1694,407,82
2021.11_01-07-2022,Московская область,60+,21_45_days,AllVaccines,5431,1405,455,171
2021.11_01-07-2022,Московская область,60+,21_45_days,CoviVac,181,54,23,9
2021.11_01-07-2022,Московская область,60+,21_45_days,EpiVacCorona,319,122,39,17
2021.11_01-07-2022,Московская область,60+,21_45_days,SputnikLite,375,71,22,6
2021.11_01-07-2022,Московская область,60+,21_45_days,SputnikV,4556,1158,371,139
2021.11_01-07-2022,РФ,18+,21_45_days,AllVaccines,404089,66767,11926,5527
2021.11_01-07-2022,РФ,18+,21_45_days,CoviVac,9023,1578,283,89
2021.11_01-07-2022,РФ,18+,21_45_days,EpiVacCorona,24682,7789,1831,963
2021.11_01-07-2022,РФ,18+,21_45_days,SputnikLite,58069,9032,1386,615
2021.11_01-07-2022,РФ,18+,21_45_days,SputnikV,312315,48368,8426,3860
2021.11_01-07-2022,РФ,18-59,21_45_days,AllVaccines,292620,29821,4131,1078
2021.11_01-07-2022,РФ,18-59,21_45_days,CoviVac,7537,992,129,19
2021.11_01-07-2022,РФ,18-59,21_45_days,EpiVacCorona,14946,2839,448,116
2021.11_01-07-2022,РФ,18-59,21_45_days,SputnikLite,42782,4469,567,182
2021.11_01-07-2022,РФ,18-59,21_45_days,SputnikV,227355,21521,2987,761
2021.11_01-07-2022,РФ,60+,21_45_days,AllVaccines,111469,36946,7795,4449
2021.11_01-07-2022,РФ,60+,21_45_days,CoviVac,1486,586,154,70
2021.11_01-07-2022,РФ,60+,21_45_days,EpiVacCorona,9736,4950,1383,847
2021.11_01-07-2022,РФ,60+,21_45_days,SputnikLite,15287,4563,819,433
2021.11_01-07-2022,РФ,60+,21_45_days,SputnikV,84960,26847,5439,3099
2021.11_01-07-2022,г. Санкт-Петербург,18+,21_45_days,AllVaccines,15959,1839,328,158
2021.11_01-07-2022,г. Санкт-Петербург,18+,21_45_days,CoviVac,816,97,14,5
2021.11_01-07-2022,г. Санкт-Петербург,18+,21_45_days,EpiVacCorona,743,265,53,32
2021.11_01-07-2022,г. Санкт-Петербург,18+,21_45_days,SputnikLite,3628,389,68,27
2021.11_01-07-2022,г. Санкт-Петербург,18+,21_45_days,SputnikV,10772,1088,193,94
2021.11_01-07-2022,г. Санкт-Петербург,18-59,21_45_days,AllVaccines,11961,866,108,31
2021.11_01-07-2022,г. Санкт-Петербург,18-59,21_45_days,CoviVac,757,78,11,3
2021.11_01-07-2022,г. Санкт-Петербург,18-59,21_45_days,EpiVacCorona,363,80,7,1
2021.11_01-07-2022,г. Санкт-Петербург,18-59,21_45_days,SputnikLite,2912,232,33,11
2021.11_01-07-2022,г. Санкт-Петербург,18-59,21_45_days,SputnikV,7929,476,57,16
2021.11_01-07-2022,г. Санкт-Петербург,60+,21_45_days,AllVaccines,3998,973,220,127
2021.11_01-07-2022,г. Санкт-Петербург,60+,21_45_days,CoviVac,59,19,3,2
2021.11_01-07-2022,г. Санкт-Петербург,60+,21_45_days,EpiVacCorona,380,185,46,31
2021.11_01-07-2022,г. Санкт-Петербург,60+,21_45_days,SputnikLite,716,157,35,16
2021.11_01-07-2022,г. Санкт-Петербург,60+,21_45_days,SputnikV,2843,612,136,78
2021.12_13-10-2022,Московская область,18+,105_165_days,AllVaccines,13996,1467,414,114
2021.12_13-10-2022,Московская область,18+,105_165_days,CoviVac,281,37,7,1
2021.12_13-10-2022,Московская область,18+,105_165_days,EpiVacCorona,322,59,22,7
2021.12_13-10-2022,Московская область,18+,105_165_days,SputnikLite,164,21,4,2
2021.12_13-10-2022,Московская область,18+,105_165_days,SputnikV,13229,1350,381,104
2021.12_13-10-2022,Московская область,18+,165_195_days,AllVaccines,2004,332,103,31
2021.12_13-10-2022,Московская область,18+,165_195_days,CoviVac,120,18,8,3
2021.12_13-10-2022,Московская область,18+,165_195_days,EpiVacCorona,241,69,29,11
2021.12_13-10-2022,Московская область,18+,165_195_days,SputnikV,1643,245,66,17
2021.12_13-10-2022,Московская область,18+,21_45_days,AllVaccines,1742,245,70,28
2021.12_13-10-2022,Московская область,18+,21_45_days,CoviVac,48,8,0,0
2021.12_13-10-2022,Московская область,18+,21_45_days,EpiVacCorona,61,24,6,4
2021.12_13-10-2022,Московская область,18+,21_45_days,SputnikLite,486,60,13,6
2021.12_13-10-2022,Московская область,18+,21_45_days,SputnikV,1147,153,51,18
2021.12_13-10-2022,Московская область,18+,45_75_days,AllVaccines,1375,221,63,26
2021.12_13-10-2022,Московская область,18+,45_75_days,CoviVac,49,10,4,0
2021.12_13-10-2022,Московская область,18+,45_75_days,EpiVacCorona,21,5,5,3
2021.12_13-10-2022,Московская область,18+,45_75_days,SputnikLite,557,83,19,6
2021.12_13-10-2022,Московская область,18+,45_75_days,SputnikV,748,123,35,17
2021.12_13-10-2022,Московская область,18+,75_90_days,AllVaccines,700,81,28,5
2021.12_13-10-2022,Московская область,18+,75_90_days,CoviVac,26,4,1,0
2021.12_13-10-2022,Московская область,18+,75_90_days,EpiVacCorona,14,4,1,0
2021.12_13-10-2022,Московская область,18+,75_90_days,SputnikLite,122,10,2,2
