data_point,region,age_group,vac_interval_group,vaccine,count_vac_zab,count_vac_hosp,count_vac_severe,count_vac_death
2021.11_11-11-2022,Алтайский край,18+,21_195_days,AllVaccines,9714,1466,330,121
2021.11_11-11-2022,Алтайский край,18+,21_195_days,CoviVac,125,19,4,1
2021.11_11-11-2022,Алтайский край,18+,21_195_days,EpiVacCorona,453,150,46,16
2021.11_11-11-2022,Алтайский край,18+,21_195_days,SputnikLite,1627,196,42,15
2021.11_11-11-2022,Алтайский край,18+,21_195_days,SputnikV,7509,1101,238,89
2021.11_11-11-2022,Алтайский край,18-59,21_195_days,AllVaccines,6671,544,97,17
2021.11_11-11-2022,Алтайский край,18-59,21_195_days,CoviVac,90,14,2,0
2021.11_11-11-2022,Алтайский край,18-59,21_195_days,EpiVacCorona,280,57,15,3
2021.11_11-11-2022,Алтайский край,18-59,21_195_days,SputnikLite,1247,109,19,6
2021.11_11-11-2022,Алтайский край,18-59,21_195_days,SputnikV,5054,364,61,8
2021.11_11-11-2022,Алтайский край,60+,21_195_days,AllVaccines,3043,922,233,104
2021.11_11-11-2022,Алтайский край,60+,21_195_days,CoviVac,35,5,2,1
2021.11_11-11-2022,Алтайский край,60+,21_195_days,EpiVacCorona,173,93,31,13
2021.11_11-11-2022,Алтайский край,60+,21_195_days,SputnikLite,380,87,23,9
2021.11_11-11-2022,Алтайский край,60+,21_195_days,SputnikV,2455,737,177,81
2021.11_11-11-2022,Амурская область,18+,21_195_days,AllVaccines,4040,616,143,42
2021.11_11-11-2022,Амурская область,18+,21_195_days,CoviVac,56,13,1,1
2021.11_11-11-2022,Амурская область,18+,21_195_days,EpiVacCorona,105,38,9,3
2021.11_11-11-2022,Амурская область,18+,21_195_days,SputnikLite,648,107,26,6
2021.11_11-11-2022,Амурская область,18+,21_195_days,SputnikV,3231,458,107,32
2021.11_11-11-2022,Амурская область,18-59,21_195_days,AllVaccines,2990,275,52,7
2021.11_11-11-2022,Амурская область,18-59,21_195_days,CoviVac,43,10,0,0
2021.11_11-11-2022,Амурская область,18-59,21_195_days,EpiVacCorona,75,18,1,0
2021.11_11-11-2022,Амурская область,18-59,21_195_days,SputnikLite,444,41,7,0
2021.11_11-11-2022,Амурская область,18-59,21_195_days,SputnikV,2428,206,44,7
2021.11_11-11-2022,Амурская область,60+,21_195_days,AllVaccines,1050,341,91,35
2021.11_11-11-2022,Амурская область,60+,21_195_days,CoviVac,13,3,1,1
2021.11_11-11-2022,Амурская область,60+,21_195_days,EpiVacCorona,30,20,8,3
2021.11_11-11-2022,Амурская область,60+,21_195_days,SputnikLite,204,66,19,6
2021.11_11-11-2022,Амурская область,60+,21_195_days,SputnikV,803,252,63,25
