data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59
2022.07_16-08-2022;Алтайский край;105_165_days;AllVaccines;-0.19064;-0.46129;0.02988;0.74847;0.21356;0.91955
2022.07_16-08-2022;Алтайский край;105_165_days;CoviVac;-0.91679;-4.94992;0.3825;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;105_165_days;EpiVacCorona;0.30732;-1.15015;0.77685;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;105_165_days;SputnikLite;-0.22114;-0.62335;0.08142;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;105_165_days;SputnikV;-0.25365;-0.68136;0.06526;0.41473;-0.82993;0.81281
2022.07_16-08-2022;Алтайский край;165_195_days;AllVaccines;0.00386;-0.28204;0.226;-0.03753;-1.02384;0.46811
2022.07_16-08-2022;Алтайский край;165_195_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;165_195_days;EpiVacCorona;-0.37551;-3.26972;0.55687;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;165_195_days;SputnikLite;0.00306;-0.35016;0.26388;-0.0129;-1.28174;0.55036
2022.07_16-08-2022;Алтайский край;165_195_days;SputnikV;-0.08979;-0.71347;0.30688;-0.68134;-3.52346;0.37506
2022.07_16-08-2022;Алтайский край;21_45_days;AllVaccines;-0.81554;-2.28553;-0.00325;-3.86444;-12.08724;-0.80808
2022.07_16-08-2022;Алтайский край;21_45_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;21_45_days;EpiVacCorona;-1.92864;-6.81337;-0.09772;-9.73353;-42.21004;-1.66625
2022.07_16-08-2022;Алтайский край;21_45_days;SputnikLite;-6.43908;-22.09166;-1.39653;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;21_45_days;SputnikV;-0.45888;-2.25253;0.34563;-4.3661;-15.77782;-0.71625
2022.07_16-08-2022;Алтайский край;45_75_days;AllVaccines;0.07668;-1.05851;0.58586;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;45_75_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;45_75_days;EpiVacCorona;-2.0162;-11.07114;0.24634;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;45_75_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;45_75_days;SputnikV;-0.00867;-1.42689;0.58077;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;75_90_days;AllVaccines;-0.1171;-1.68778;0.53571;-3.93406;-14.427;-0.57807
2022.07_16-08-2022;Алтайский край;75_90_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;75_90_days;EpiVacCorona;-2.6276;-13.51802;0.09357;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;75_90_days;SputnikLite;-2.47608;-12.91161;0.13143;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;75_90_days;SputnikV;0.03257;-2.00301;0.68834;-6.13123;-21.29675;-1.2808
2022.07_16-08-2022;Алтайский край;90_105_days;AllVaccines;-0.44636;-1.89756;0.27803;-1.64335;-9.64136;0.34338
2022.07_16-08-2022;Алтайский край;90_105_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;90_105_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;90_105_days;SputnikLite;-2.53515;-13.14799;0.11668;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;90_105_days;SputnikV;-0.81191;-2.80731;0.13771;-2.78703;-14.24548;0.05929
