data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total
2022.07_16-08-2022;г. Москва;105_165_days;AllVaccines;0.08969;0.03465;0.14158;0.10021;-0.48147;0.4535;0.32515;-0.26457;0.63986;NULL;NULL;NULL;-0.24927;-0.36003;-0.14752;0.06455;-0.3934;0.37199;0.14767;-0.24994;0.4188;0.24661;-0.52045;0.6267;-9e-05;-0.04958;0.04706;0.13125;-0.19043;0.36601;0.25768;-0.03386;0.46701
2022.07_16-08-2022;г. Москва;105_165_days;CoviVac;-0.56238;-1.16636;-0.12679;-5.21585;-23.92788;-0.54994;NULL;NULL;NULL;NULL;NULL;NULL;-1.21278;-4.89665;0.16963;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.60404;-1.19571;-0.17181;-2.07199;-11.29685;0.23256;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;105_165_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-2.57116;-13.28059;0.10696;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.02039;-3.08009;0.74481;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;105_165_days;SputnikLite;0.20554;0.12972;0.27475;-0.34304;-1.44242;0.26149;0.12053;-0.96998;0.60737;NULL;NULL;NULL;-0.1436;-0.30109;-0.00517;-0.0636;-0.84019;0.38526;-0.10832;-0.81698;0.32394;-0.24686;-1.79755;0.44428;0.11446;0.04598;0.17802;-0.08484;-0.63878;0.28186;0.05747;-0.45064;0.38761
2022.07_16-08-2022;г. Москва;105_165_days;SputnikV;-0.00027;-0.0809;0.07434;0.45736;-0.30991;0.7752;0.34169;-0.59074;0.72756;NULL;NULL;NULL;-0.33;-0.48655;-0.18995;0.09182;-0.5713;0.47509;0.29336;-0.24895;0.60019;0.47293;-0.64334;0.83096;-0.08909;-0.16064;-0.02195;0.29222;-0.14228;0.56145;0.36548;-0.03889;0.61245
2022.07_16-08-2022;г. Москва;165_195_days;AllVaccines;0.00776;-0.05077;0.06302;0.00819;-0.60971;0.3889;0.30145;-0.30898;0.62721;NULL;NULL;NULL;-0.20837;-0.31718;-0.10855;-0.12909;-0.62643;0.21617;0.43797;0.10383;0.64752;0.34357;-0.38886;0.68974;-0.05094;-0.10233;-0.00195;-0.02887;-0.3812;0.23358;0.43355;0.17071;0.61308
2022.07_16-08-2022;г. Москва;165_195_days;CoviVac;-1.35455;-2.22322;-0.71999;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1.70458;-5.49892;-0.12553;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1.37982;-2.20931;-0.76472;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;165_195_days;EpiVacCorona;-3.84972;-11.92241;-0.82008;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-6.91938;-23.55775;-1.55384;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-3.96791;-10.05853;-1.23177;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;165_195_days;SputnikLite;0.03528;-0.03254;0.09866;0.11488;-0.60965;0.51329;0.42039;-0.2983;0.74124;NULL;NULL;NULL;-0.23487;-0.36395;-0.11801;0.12667;-0.4123;0.45996;0.4831;0.0864;0.70754;0.2212;-0.74738;0.65289;-0.03778;-0.09768;0.01885;0.17071;-0.21431;0.43366;0.50632;0.20338;0.69406
2022.07_16-08-2022;г. Москва;165_195_days;SputnikV;0.00421;-0.11169;0.10802;-0.56344;-2.29799;0.25884;-0.34891;-2.25947;0.44176;NULL;NULL;NULL;-0.10583;-0.31182;0.06782;-0.97518;-2.35106;-0.16421;0.17321;-0.73923;0.60696;0.29365;-1.83718;0.82415;-0.02446;-0.12391;0.06618;-0.7025;-1.64835;-0.09446;0.11371;-0.60441;0.5104
