data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59
2022.07_16-08-2022;г. Москва;105_165_days;AllVaccines;0.08969;0.03465;0.14158
2022.07_16-08-2022;г. Москва;105_165_days;CoviVac;-0.56238;-1.16636;-0.12679
2022.07_16-08-2022;г. Москва;105_165_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;105_165_days;SputnikLite;0.20554;0.12972;0.27475
2022.07_16-08-2022;г. Москва;105_165_days;SputnikV;-0.00027;-0.0809;0.07434
2022.07_16-08-2022;г. Москва;165_195_days;AllVaccines;0.00776;-0.05077;0.06302
2022.07_16-08-2022;г. Москва;165_195_days;CoviVac;-1.35455;-2.22322;-0.71999
2022.07_16-08-2022;г. Москва;165_195_days;EpiVacCorona;-3.84972;-11.92241;-0.82008
2022.07_16-08-2022;г. Москва;165_195_days;SputnikLite;0.03528;-0.03254;0.09866
2022.07_16-08-2022;г. Москва;165_195_days;SputnikV;0.00421;-0.11169;0.10802
2022.07_16-08-2022;г. Москва;21_45_days;AllVaccines;0.12588;-0.13093;0.32438
2022.07_16-08-2022;г. Москва;21_45_days;CoviVac;-1.47039;-4.49912;-0.10978
2022.07_16-08-2022;г. Москва;21_45_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;21_45_days;SputnikLite;0.23601;-0.83564;0.68203
2022.07_16-08-2022;г. Москва;21_45_days;SputnikV;0.14457;-0.13207;0.35361
2022.07_16-08-2022;г. Москва;45_75_days;AllVaccines;0.21069;-0.03605;0.39867
2022.07_16-08-2022;г. Москва;45_75_days;CoviVac;-0.78409;-3.28662;0.25746
2022.07_16-08-2022;г. Москва;45_75_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;45_75_days;SputnikLite;0.58151;-0.11509;0.84294
2022.07_16-08-2022;г. Москва;45_75_days;SputnikV;0.15741;-0.12874;0.37101
2022.07_16-08-2022;г. Москва;75_90_days;AllVaccines;0.30797;0.02641;0.5081
2022.07_16-08-2022;г. Москва;75_90_days;CoviVac;-2.17402;-5.65834;-0.51305
2022.07_16-08-2022;г. Москва;75_90_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;75_90_days;SputnikLite;0.5833;-0.11032;0.84361
2022.07_16-08-2022;г. Москва;75_90_days;SputnikV;0.32963;-0.0003;0.55074
2022.07_16-08-2022;г. Москва;90_105_days;AllVaccines;0.00547;-0.28117;0.22798
2022.07_16-08-2022;г. Москва;90_105_days;CoviVac;-2.03109;-6.28277;-0.26154
2022.07_16-08-2022;г. Москва;90_105_days;EpiVacCorona;-47.76488;-193.98462;-11.1959
2022.07_16-08-2022;г. Москва;90_105_days;SputnikLite;0.58228;0.07014;0.81235
2022.07_16-08-2022;г. Москва;90_105_days;SputnikV;-0.12941;-0.49046;0.14418
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;AllVaccines;0.18926;0.11262;0.25927
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;CoviVac;-0.64766;-1.65126;-0.02396
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;EpiVacCorona;0.42772;-0.27406;0.74294
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;SputnikLite;0.15568;0.02376;0.26977
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;SputnikV;0.2123;0.11414;0.29958
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;AllVaccines;0.28352;0.2148;0.34623
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;CoviVac;-0.8709;-2.9252;0.10826
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;EpiVacCorona;-0.05555;-1.34995;0.52587
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;SputnikLite;0.28246;0.18715;0.3666
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;SputnikV;0.2835;0.17983;0.37407
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;AllVaccines;-0.07212;-0.39073;0.1735
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;CoviVac;-0.94461;-3.67281;0.19074
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;SputnikLite;-0.0862;-0.77356;0.33477
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;SputnikV;-0.06326;-0.46195;0.2267
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;AllVaccines;0.08321;-0.20699;0.30364
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;CoviVac;-0.00282;-2.10973;0.67661
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;EpiVacCorona;-1.4367;-6.55616;0.21422
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;SputnikLite;0.24387;-0.40565;0.59326
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;SputnikV;0.0043;-0.36905;0.27584
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;AllVaccines;0.15483;-0.2418;0.42478
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;CoviVac;-0.31409;-4.25465;0.67137
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;SputnikLite;-0.10531;-1.12481;0.42502
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;SputnikV;0.17393;-0.32923;0.48663
2022.07_16-08-2022;г. Санкт-Петербург;90_105_days;AllVaccines;-0.00261;-0.38444;0.27392
2022.07_16-08-2022;г. Санкт-Петербург;90_105_days;CoviVac;-0.11829;-3.4717;0.72034
2022.07_16-08-2022;г. Санкт-Петербург;90_105_days;EpiVacCorona;-1.89185;-7.96757;0.06744
2022.07_16-08-2022;г. Санкт-Петербург;90_105_days;SputnikLite;-0.03958;-0.87767;0.42443
2022.07_16-08-2022;г. Санкт-Петербург;90_105_days;SputnikV;-0.02147;-0.52455;0.3156
2022.07_16-08-2022;г. Севастополь;105_165_days;AllVaccines;-0.24184;-1.12056;0.27276
2022.07_16-08-2022;г. Севастополь;105_165_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;105_165_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;105_165_days;SputnikLite;-0.03524;-1.32106;0.53826
2022.07_16-08-2022;г. Севастополь;105_165_days;SputnikV;-0.72207;-2.33934;0.11194
2022.07_16-08-2022;г. Севастополь;165_195_days;AllVaccines;-0.26545;-1.03458;0.21293
2022.07_16-08-2022;г. Севастополь;165_195_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;165_195_days;EpiVacCorona;-12.3894;-52.75897;-2.33481
2022.07_16-08-2022;г. Севастополь;165_195_days;SputnikLite;-0.1454;-1.08887;0.37194
2022.07_16-08-2022;г. Севастополь;165_195_days;SputnikV;-0.57094;-2.32115;0.25693
2022.07_16-08-2022;г. Севастополь;21_45_days;AllVaccines;0.10378;-2.59836;0.77678
2022.07_16-08-2022;г. Севастополь;21_45_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;21_45_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;21_45_days;SputnikV;-0.12468;-3.51563;0.71988
2022.07_16-08-2022;г. Севастополь;45_75_days;AllVaccines;-0.44033;-2.86028;0.46259
2022.07_16-08-2022;г. Севастополь;45_75_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;45_75_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;45_75_days;SputnikLite;-0.63284;-4.08844;0.47603
2022.07_16-08-2022;г. Севастополь;45_75_days;SputnikV;-1.17931;-7.75002;0.45721
2022.07_16-08-2022;г. Севастополь;75_90_days;AllVaccines;-0.80674;-4.63036;0.42023
2022.07_16-08-2022;г. Севастополь;75_90_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;75_90_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;75_90_days;SputnikLite;-1.38022;-6.4175;0.2362
2022.07_16-08-2022;г. Севастополь;75_90_days;SputnikV;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;90_105_days;AllVaccines;-0.09282;-3.38771;0.72782
2022.07_16-08-2022;г. Севастополь;90_105_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;90_105_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;90_105_days;SputnikLite;-0.88904;-6.58457;0.52951
2022.07_16-08-2022;г. Севастополь;90_105_days;SputnikV;NULL;NULL;NULL
