data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total;ve_death_total;cil_death_total;cih_death_total
2021.11_01-07-2022;Алтайский край;105_165_days;AllVaccines;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;105_165_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;105_165_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;105_165_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;105_165_days;SputnikV;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;165_195_days;AllVaccines;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;165_195_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;165_195_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;165_195_days;SputnikV;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;21_45_days;AllVaccines;-13.28806;-13.68967;-12.89743;-8.30474;-9.20066;-7.48752;-7.05566;-8.94921;-5.52249;-5.03543;-8.76721;-2.72946;-6.60543;-6.91977;-6.30356;-3.67711;-4.01719;-3.36008;-2.08278;-2.5337;-1.6894;-1.3099;-1.82137;-0.89115;-10.47162;-10.73678;-10.21246;-5.66968;-6.05193;-5.30815;-3.57617;-4.1308;-3.0815;-2.16467;-2.80822;-1.62987
2021.11_01-07-2022;Алтайский край;21_45_days;CoviVac;-17.86154;-22.14608;-14.37011;-25.61511;-43.20319;-15.02518;-24.54711;-78.42463;-7.21729;NULL;NULL;NULL;-22.63503;-31.93193;-15.9627;-7.88081;-18.77513;-2.98828;-11.24893;-37.00623;-2.94768;-12.82116;-54.31929;-2.45313;-18.50354;-22.2308;-15.37431;-12.24705;-19.5427;-7.54242;-9.58766;-24.45624;-3.40358;-7.23046;-31.93881;-1.05655
2021.11_01-07-2022;Алтайский край;21_45_days;EpiVacCorona;-45.91258;-51.75369;-40.71821;-83.09718;-108.05244;-63.85262;-111.07299;-183.09827;-67.22636;-117.83602;-319.90528;-43.00675;-46.97944;-54.7414;-40.29833;-56.37104;-69.3311;-45.79916;-52.80623;-75.27219;-36.95762;-38.69012;-66.19835;-22.44262;-46.39577;-50.98963;-42.20782;-66.85232;-78.6894;-56.77351;-66.54306;-89.1055;-49.63026;-46.26729;-75.24012;-28.30474
2021.11_01-07-2022;Алтайский край;21_45_days;SputnikLite;-2.46505;-2.66674;-2.27447;-1.65316;-2.20166;-1.19864;-1.35702;-2.6415;-0.52562;-2.37507;-6.20844;-0.58025;-0.11759;-0.23986;-0.00738;0.43767;0.30346;0.54602;0.58186;0.36947;0.72271;0.69317;0.42843;0.83529;-1.4015;-1.52368;-1.28524;-0.22141;-0.40656;-0.06064;0.15281;-0.14486;0.37309;0.38966;0.00112;0.62707
2021.11_01-07-2022;Алтайский край;21_45_days;SputnikV;-26.14501;-26.98828;-25.32715;-14.81441;-16.62243;-13.1919;-12.11419;-15.92263;-9.16284;-7.07665;-14.34328;-3.25152;-18.42326;-19.29502;-17.58894;-11.03581;-12.00148;-10.14187;-6.58383;-7.85147;-5.49774;-4.872;-6.35062;-3.69081;-23.25114;-23.86738;-22.65018;-13.04386;-13.95502;-12.18822;-8.35864;-9.68244;-7.19888;-5.69194;-7.2811;-4.40774
2021.11_01-07-2022;Алтайский край;45_75_days;AllVaccines;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;45_75_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;45_75_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;45_75_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;45_75_days;SputnikV;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;75_90_days;AllVaccines;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;Алтайский край;75_90_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
