region,age_group,population
Московская область,18+,6022536
Московская область,20-29,762776
Московская область,30-39,1421818
Московская область,40-49,1193750
Московская область,50-59,969721
Московская область,60-69,927355
Московская область,70-79,461405
Московская область,80+,285711
РФ,18+,116637725
РФ,20-29,15880926
РФ,30-39,25423081
РФ,40-49,21633580
РФ,50-59,19375669
РФ,60-69,19335787
РФ,70-79,9124842
РФ,80+,5863840
г. Санкт-Петербург,18+,4331916
г. Санкт-Петербург,20-29,540291
г. Санкт-Петербург,30-39,1011496
г. Санкт-Петербург,40-49,788172
г. Санкт-Петербург,50-59,685655
г. Санкт-Петербург,60-69,669563
г. Санкт-Петербург,70-79,371799
г. Санкт-Петербург,80+,264940
