data_point,region,vac_interval_group,age_group,vaccine,vac_count
2021.11_01-07-2022,Московская область,105_165_days,18+,AllVaccines,1422636
2021.11_01-07-2022,Московская область,105_165_days,18+,CoviVac,22331
2021.11_01-07-2022,Московская область,105_165_days,18+,EpiVacCorona,35660
2021.11_01-07-2022,Московская область,105_165_days,18+,SputnikLite,2644
2021.11_01-07-2022,Московская область,105_165_days,18+,SputnikV,1362001
2021.11_01-07-2022,Московская область,105_165_days,18-59,AllVaccines,1206241
2021.11_01-07-2022,Московская область,105_165_days,18-59,CoviVac,18139
2021.11_01-07-2022,Московская область,105_165_days,18-59,EpiVacCorona,23988
2021.11_01-07-2022,Московская область,105_165_days,18-59,SputnikLite,2435
2021.11_01-07-2022,Московская область,105_165_days,18-59,SputnikV,1161679
2021.11_01-07-2022,Московская область,105_165_days,60+,AllVaccines,216395
2021.11_01-07-2022,Московская область,105_165_days,60+,CoviVac,4192
2021.11_01-07-2022,Московская область,105_165_days,60+,EpiVacCorona,11672
2021.11_01-07-2022,Московская область,105_165_days,60+,SputnikLite,209
2021.11_01-07-2022,Московская область,105_165_days,60+,SputnikV,200322
2021.11_01-07-2022,Московская область,165_195_days,18+,AllVaccines,257880
2021.11_01-07-2022,Московская область,165_195_days,18+,CoviVac,4766
2021.11_01-07-2022,Московская область,165_195_days,18+,EpiVacCorona,5176
2021.11_01-07-2022,Московская область,165_195_days,18+,SputnikLite,11
2021.11_01-07-2022,Московская область,165_195_days,18+,SputnikV,247927
2021.11_01-07-2022,Московская область,165_195_days,18-59,AllVaccines,163609
2021.11_01-07-2022,Московская область,165_195_days,18-59,CoviVac,3330
2021.11_01-07-2022,Московская область,165_195_days,18-59,EpiVacCorona,2422
2021.11_01-07-2022,Московская область,165_195_days,18-59,SputnikLite,9
2021.11_01-07-2022,Московская область,165_195_days,18-59,SputnikV,157848
2021.11_01-07-2022,Московская область,165_195_days,60+,AllVaccines,94271
2021.11_01-07-2022,Московская область,165_195_days,60+,CoviVac,1436
2021.11_01-07-2022,Московская область,165_195_days,60+,EpiVacCorona,2754
2021.11_01-07-2022,Московская область,165_195_days,60+,SputnikLite,2
2021.11_01-07-2022,Московская область,165_195_days,60+,SputnikV,90079
2021.11_01-07-2022,Московская область,21_45_days,18+,AllVaccines,202242
2021.11_01-07-2022,Московская область,21_45_days,18+,CoviVac,2998
2021.11_01-07-2022,Московская область,21_45_days,18+,EpiVacCorona,1807
2021.11_01-07-2022,Московская область,21_45_days,18+,SputnikLite,90188
2021.11_01-07-2022,Московская область,21_45_days,18+,SputnikV,107249
2021.11_01-07-2022,Московская область,21_45_days,18-59,AllVaccines,131300
2021.11_01-07-2022,Московская область,21_45_days,18-59,CoviVac,2188
2021.11_01-07-2022,Московская область,21_45_days,18-59,EpiVacCorona,1075
2021.11_01-07-2022,Московская область,21_45_days,18-59,SputnikLite,44179
2021.11_01-07-2022,Московская область,21_45_days,18-59,SputnikV,83858
2021.11_01-07-2022,Московская область,21_45_days,60+,AllVaccines,70942
2021.11_01-07-2022,Московская область,21_45_days,60+,CoviVac,810
2021.11_01-07-2022,Московская область,21_45_days,60+,EpiVacCorona,732
2021.11_01-07-2022,Московская область,21_45_days,60+,SputnikLite,46009
2021.11_01-07-2022,Московская область,21_45_days,60+,SputnikV,23391
2021.11_01-07-2022,Московская область,45_75_days,18+,AllVaccines,283457
2021.11_01-07-2022,Московская область,45_75_days,18+,CoviVac,4484
2021.11_01-07-2022,Московская область,45_75_days,18+,EpiVacCorona,4378
2021.11_01-07-2022,Московская область,45_75_days,18+,SputnikLite,54822
2021.11_01-07-2022,Московская область,45_75_days,18+,SputnikV,219773
2021.11_01-07-2022,Московская область,45_75_days,18-59,AllVaccines,211857
2021.11_01-07-2022,Московская область,45_75_days,18-59,CoviVac,3462
