data_point;region;vac_interval_group;vaccine;vac_count_18_59;vac_count_60;vac_count_total;nas_age_18_59;nas_age_60;nas_age_adult_total
2021.11_01-07-2022;Алтайский край;105_165_days;AllVaccines;128206;62600;190806;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;105_165_days;CoviVac;1606;698;2304;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;105_165_days;EpiVacCorona;4320;2383;6703;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;105_165_days;SputnikLite;551;54;605;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;105_165_days;SputnikV;121729;59465;181194;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;165_195_days;AllVaccines;34642;44213;78855;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;165_195_days;CoviVac;2;0;2;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;165_195_days;EpiVacCorona;1354;1131;2485;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;165_195_days;SputnikLite;6;0;6;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;165_195_days;SputnikV;33280;43082;76362;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;21_45_days;AllVaccines;29340;19816;49156;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;21_45_days;CoviVac;232;61;293;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;21_45_days;EpiVacCorona;288;150;438;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;21_45_days;SputnikLite;17864;13495;31359;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;21_45_days;SputnikV;10956;6110;17066;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;45_75_days;AllVaccines;67586;24191;91777;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;45_75_days;CoviVac;997;99;1096;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;45_75_days;EpiVacCorona;1414;324;1738;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;45_75_days;SputnikLite;19788;11392;31180;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;45_75_days;SputnikV;45387;12376;57763;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;75_90_days;AllVaccines;73488;12796;86284;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;75_90_days;CoviVac;1135;84;1219;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;75_90_days;EpiVacCorona;2206;467;2673;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;75_90_days;SputnikLite;20658;2344;23002;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;75_90_days;SputnikV;49489;9901;59390;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;90_105_days;AllVaccines;66099;14238;80337;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;90_105_days;CoviVac;458;54;512;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;90_105_days;EpiVacCorona;518;107;625;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;90_105_days;SputnikLite;17887;1289;19176;1240936;570412;1811348
2021.11_01-07-2022;Алтайский край;90_105_days;SputnikV;47236;12788;60024;1240936;570412;1811348
2021.11_01-07-2022;Амурская область;105_165_days;AllVaccines;63446;15757;79203;444961;159780;604741
2021.11_01-07-2022;Амурская область;105_165_days;CoviVac;800;210;1010;444961;159780;604741
2021.11_01-07-2022;Амурская область;105_165_days;EpiVacCorona;817;349;1166;444961;159780;604741
2021.11_01-07-2022;Амурская область;105_165_days;SputnikLite;2652;13;2665;444961;159780;604741
2021.11_01-07-2022;Амурская область;105_165_days;SputnikV;59177;15185;74362;444961;159780;604741
2021.11_01-07-2022;Амурская область;165_195_days;AllVaccines;15095;8691;23786;444961;159780;604741
2021.11_01-07-2022;Амурская область;165_195_days;EpiVacCorona;258;132;390;444961;159780;604741
2021.11_01-07-2022;Амурская область;165_195_days;SputnikV;14837;8559;23396;444961;159780;604741
2021.11_01-07-2022;Амурская область;21_45_days;AllVaccines;16404;6979;23383;444961;159780;604741
2021.11_01-07-2022;Амурская область;21_45_days;CoviVac;221;75;296;444961;159780;604741
2021.11_01-07-2022;Амурская область;21_45_days;EpiVacCorona;77;42;119;444961;159780;604741
