data_point,region,vac_interval_group,age_group,vaccine,vac_count
2021.11.B_26-08-2022,Московская область,105_165_days,18+,AllVaccines,1392206
2021.11.B_26-08-2022,Московская область,105_165_days,18+,CoviVac,21974
2021.11.B_26-08-2022,Московская область,105_165_days,18+,EpiVacCorona,35230
2021.11.B_26-08-2022,Московская область,105_165_days,18+,SputnikLite,2616
2021.11.B_26-08-2022,Московская область,105_165_days,18+,SputnikV,1332386
2021.11.B_26-08-2022,Московская область,105_165_days,20-29,AllVaccines,210097
2021.11.B_26-08-2022,Московская область,105_165_days,20-29,CoviVac,2255
2021.11.B_26-08-2022,Московская область,105_165_days,20-29,EpiVacCorona,3168
2021.11.B_26-08-2022,Московская область,105_165_days,20-29,SputnikLite,999
2021.11.B_26-08-2022,Московская область,105_165_days,20-29,SputnikV,203675
2021.11.B_26-08-2022,Московская область,105_165_days,30-39,AllVaccines,382942
2021.11.B_26-08-2022,Московская область,105_165_days,30-39,CoviVac,4866
2021.11.B_26-08-2022,Московская область,105_165_days,30-39,EpiVacCorona,6632
2021.11.B_26-08-2022,Московская область,105_165_days,30-39,SputnikLite,752
2021.11.B_26-08-2022,Московская область,105_165_days,30-39,SputnikV,370692
2021.11.B_26-08-2022,Московская область,105_165_days,40-49,AllVaccines,339039
2021.11.B_26-08-2022,Московская область,105_165_days,40-49,CoviVac,5683
2021.11.B_26-08-2022,Московская область,105_165_days,40-49,EpiVacCorona,7266
2021.11.B_26-08-2022,Московская область,105_165_days,40-49,SputnikLite,392
2021.11.B_26-08-2022,Московская область,105_165_days,40-49,SputnikV,325698
2021.11.B_26-08-2022,Московская область,105_165_days,50-59,AllVaccines,243711
2021.11.B_26-08-2022,Московская область,105_165_days,50-59,CoviVac,4978
2021.11.B_26-08-2022,Московская область,105_165_days,50-59,EpiVacCorona,6491
2021.11.B_26-08-2022,Московская область,105_165_days,50-59,SputnikLite,264
2021.11.B_26-08-2022,Московская область,105_165_days,50-59,SputnikV,231978
2021.11.B_26-08-2022,Московская область,105_165_days,60-69,AllVaccines,153214
2021.11.B_26-08-2022,Московская область,105_165_days,60-69,CoviVac,3031
2021.11.B_26-08-2022,Московская область,105_165_days,60-69,EpiVacCorona,6646
2021.11.B_26-08-2022,Московская область,105_165_days,60-69,SputnikLite,142
2021.11.B_26-08-2022,Московская область,105_165_days,60-69,SputnikV,143395
2021.11.B_26-08-2022,Московская область,105_165_days,70-79,AllVaccines,47104
2021.11.B_26-08-2022,Московская область,105_165_days,70-79,CoviVac,919
2021.11.B_26-08-2022,Московская область,105_165_days,70-79,EpiVacCorona,3453
2021.11.B_26-08-2022,Московская область,105_165_days,70-79,SputnikLite,52
2021.11.B_26-08-2022,Московская область,105_165_days,70-79,SputnikV,42680
2021.11.B_26-08-2022,Московская область,105_165_days,80+,AllVaccines,16099
2021.11.B_26-08-2022,Московская область,105_165_days,80+,CoviVac,242
2021.11.B_26-08-2022,Московская область,105_165_days,80+,EpiVacCorona,1574
2021.11.B_26-08-2022,Московская область,105_165_days,80+,SputnikLite,15
2021.11.B_26-08-2022,Московская область,105_165_days,80+,SputnikV,14268
2021.11.B_26-08-2022,Московская область,165_195_days,18+,AllVaccines,255100
2021.11.B_26-08-2022,Московская область,165_195_days,18+,CoviVac,4738
2021.11.B_26-08-2022,Московская область,165_195_days,18+,EpiVacCorona,5143
2021.11.B_26-08-2022,Московская область,165_195_days,18+,SputnikLite,11
2021.11.B_26-08-2022,Московская область,165_195_days,18+,SputnikV,245208
2021.11.B_26-08-2022,Московская область,165_195_days,20-29,AllVaccines,22409
2021.11.B_26-08-2022,Московская область,165_195_days,20-29,CoviVac,326
2021.11.B_26-08-2022,Московская область,165_195_days,20-29,EpiVacCorona,212
2021.11.B_26-08-2022,Московская область,165_195_days,20-29,SputnikLite,1
2021.11.B_26-08-2022,Московская область,165_195_days,20-29,SputnikV,21870
2021.11.B_26-08-2022,Московская область,165_195_days,30-39,AllVaccines,45906
2021.11.B_26-08-2022,Московская область,165_195_days,30-39,CoviVac,828
2021.11.B_26-08-2022,Московская область,165_195_days,30-39,EpiVacCorona,535
2021.11.B_26-08-2022,Московская область,165_195_days,30-39,SputnikLite,2
2021.11.B_26-08-2022,Московская область,165_195_days,30-39,SputnikV,44541
2021.11.B_26-08-2022,Московская область,165_195_days,40-49,AllVaccines,48369
2021.11.B_26-08-2022,Московская область,165_195_days,40-49,CoviVac,1051
2021.11.B_26-08-2022,Московская область,165_195_days,40-49,EpiVacCorona,745
2021.11.B_26-08-2022,Московская область,165_195_days,40-49,SputnikLite,5
2021.11.B_26-08-2022,Московская область,165_195_days,40-49,SputnikV,46568
2021.11.B_26-08-2022,Московская область,165_195_days,50-59,AllVaccines,44131
2021.11.B_26-08-2022,Московская область,165_195_days,50-59,CoviVac,1097
2021.11.B_26-08-2022,Московская область,165_195_days,50-59,EpiVacCorona,896
2021.11.B_26-08-2022,Московская область,165_195_days,50-59,SputnikLite,1
2021.11.B_26-08-2022,Московская область,165_195_days,50-59,SputnikV,42137
2021.11.B_26-08-2022,Московская область,165_195_days,60-69,AllVaccines,52683
2021.11.B_26-08-2022,Московская область,165_195_days,60-69,CoviVac,921
2021.11.B_26-08-2022,Московская область,165_195_days,60-69,EpiVacCorona,1381
2021.11.B_26-08-2022,Московская область,165_195_days,60-69,SputnikLite,2
2021.11.B_26-08-2022,Московская область,165_195_days,60-69,SputnikV,50379
2021.11.B_26-08-2022,Московская область,165_195_days,70-79,AllVaccines,28635
2021.11.B_26-08-2022,Московская область,165_195_days,70-79,CoviVac,398
2021.11.B_26-08-2022,Московская область,165_195_days,70-79,EpiVacCorona,941
2021.11.B_26-08-2022,Московская область,165_195_days,70-79,SputnikV,27296
2021.11.B_26-08-2022,Московская область,165_195_days,80+,AllVaccines,12967
2021.11.B_26-08-2022,Московская область,165_195_days,80+,CoviVac,117
2021.11.B_26-08-2022,Московская область,165_195_days,80+,EpiVacCorona,433
2021.11.B_26-08-2022,Московская область,165_195_days,80+,SputnikV,12417
2021.11.B_26-08-2022,Московская область,21_45_days,18+,AllVaccines,197437
2021.11.B_26-08-2022,Московская область,21_45_days,18+,CoviVac,2940
2021.11.B_26-08-2022,Московская область,21_45_days,18+,EpiVacCorona,1762
2021.11.B_26-08-2022,Московская область,21_45_days,18+,SputnikLite,89490
2021.11.B_26-08-2022,Московская область,21_45_days,18+,SputnikV,103245
2021.11.B_26-08-2022,Московская область,21_45_days,20-29,AllVaccines,22211
2021.11.B_26-08-2022,Московская область,21_45_days,20-29,CoviVac,302
2021.11.B_26-08-2022,Московская область,21_45_days,20-29,EpiVacCorona,199
2021.11.B_26-08-2022,Московская область,21_45_days,20-29,SputnikLite,5920
2021.11.B_26-08-2022,Московская область,21_45_days,20-29,SputnikV,15790
2021.11.B_26-08-2022,Московская область,21_45_days,30-39,AllVaccines,38010
2021.11.B_26-08-2022,Московская область,21_45_days,30-39,CoviVac,544
2021.11.B_26-08-2022,Московская область,21_45_days,30-39,EpiVacCorona,293
2021.11.B_26-08-2022,Московская область,21_45_days,30-39,SputnikLite,10532
2021.11.B_26-08-2022,Московская область,21_45_days,30-39,SputnikV,26641
2021.11.B_26-08-2022,Московская область,21_45_days,40-49,AllVaccines,35483
2021.11.B_26-08-2022,Московская область,21_45_days,40-49,CoviVac,670
2021.11.B_26-08-2022,Московская область,21_45_days,40-49,EpiVacCorona,275
2021.11.B_26-08-2022,Московская область,21_45_days,40-49,SputnikLite,12708
2021.11.B_26-08-2022,Московская область,21_45_days,40-49,SputnikV,21830
2021.11.B_26-08-2022,Московская область,21_45_days,50-59,AllVaccines,30717
2021.11.B_26-08-2022,Московская область,21_45_days,50-59,CoviVac,613
2021.11.B_26-08-2022,Московская область,21_45_days,50-59,EpiVacCorona,262
2021.11.B_26-08-2022,Московская область,21_45_days,50-59,SputnikLite,14259
2021.11.B_26-08-2022,Московская область,21_45_days,50-59,SputnikV,15583
2021.11.B_26-08-2022,Московская область,21_45_days,60-69,AllVaccines,40349
2021.11.B_26-08-2022,Московская область,21_45_days,60-69,CoviVac,505
2021.11.B_26-08-2022,Московская область,21_45_days,60-69,EpiVacCorona,397
2021.11.B_26-08-2022,Московская область,21_45_days,60-69,SputnikLite,24986
2021.11.B_26-08-2022,Московская область,21_45_days,60-69,SputnikV,14461
2021.11.B_26-08-2022,Московская область,21_45_days,70-79,AllVaccines,22841
2021.11.B_26-08-2022,Московская область,21_45_days,70-79,CoviVac,246
2021.11.B_26-08-2022,Московская область,21_45_days,70-79,EpiVacCorona,226
2021.11.B_26-08-2022,Московская область,21_45_days,70-79,SputnikLite,15808
2021.11.B_26-08-2022,Московская область,21_45_days,70-79,SputnikV,6561
2021.11.B_26-08-2022,Московская область,21_45_days,80+,AllVaccines,7826
2021.11.B_26-08-2022,Московская область,21_45_days,80+,CoviVac,60
2021.11.B_26-08-2022,Московская область,21_45_days,80+,EpiVacCorona,110
2021.11.B_26-08-2022,Московская область,21_45_days,80+,SputnikLite,5277
2021.11.B_26-08-2022,Московская область,21_45_days,80+,SputnikV,2379
2021.11.B_26-08-2022,Московская область,45_75_days,18+,AllVaccines,272144
2021.11.B_26-08-2022,Московская область,45_75_days,18+,CoviVac,4380
2021.11.B_26-08-2022,Московская область,45_75_days,18+,EpiVacCorona,4244
2021.11.B_26-08-2022,Московская область,45_75_days,18+,SputnikLite,53939
2021.11.B_26-08-2022,Московская область,45_75_days,18+,SputnikV,209581
2021.11.B_26-08-2022,Московская область,45_75_days,20-29,AllVaccines,40144
2021.11.B_26-08-2022,Московская область,45_75_days,20-29,CoviVac,439
2021.11.B_26-08-2022,Московская область,45_75_days,20-29,EpiVacCorona,433
2021.11.B_26-08-2022,Московская область,45_75_days,20-29,SputnikLite,4970
2021.11.B_26-08-2022,Московская область,45_75_days,20-29,SputnikV,34302
2021.11.B_26-08-2022,Московская область,45_75_days,30-39,AllVaccines,62652
2021.11.B_26-08-2022,Московская область,45_75_days,30-39,CoviVac,928
2021.11.B_26-08-2022,Московская область,45_75_days,30-39,EpiVacCorona,735
2021.11.B_26-08-2022,Московская область,45_75_days,30-39,SputnikLite,7072
2021.11.B_26-08-2022,Московская область,45_75_days,30-39,SputnikV,53917
2021.11.B_26-08-2022,Московская область,45_75_days,40-49,AllVaccines,54304
2021.11.B_26-08-2022,Московская область,45_75_days,40-49,CoviVac,990
2021.11.B_26-08-2022,Московская область,45_75_days,40-49,EpiVacCorona,690
2021.11.B_26-08-2022,Московская область,45_75_days,40-49,SputnikLite,7619
2021.11.B_26-08-2022,Московская область,45_75_days,40-49,SputnikV,45005
2021.11.B_26-08-2022,Московская область,45_75_days,50-59,AllVaccines,43409
2021.11.B_26-08-2022,Московская область,45_75_days,50-59,CoviVac,1000
2021.11.B_26-08-2022,Московская область,45_75_days,50-59,EpiVacCorona,776
2021.11.B_26-08-2022,Московская область,45_75_days,50-59,SputnikLite,8156
2021.11.B_26-08-2022,Московская область,45_75_days,50-59,SputnikV,33477
2021.11.B_26-08-2022,Московская область,45_75_days,60-69,AllVaccines,43290
2021.11.B_26-08-2022,Московская область,45_75_days,60-69,CoviVac,698
2021.11.B_26-08-2022,Московская область,45_75_days,60-69,EpiVacCorona,940
2021.11.B_26-08-2022,Московская область,45_75_days,60-69,SputnikLite,14042
2021.11.B_26-08-2022,Московская область,45_75_days,60-69,SputnikV,27610
2021.11.B_26-08-2022,Московская область,45_75_days,70-79,AllVaccines,20987
2021.11.B_26-08-2022,Московская область,45_75_days,70-79,CoviVac,260
2021.11.B_26-08-2022,Московская область,45_75_days,70-79,EpiVacCorona,487
2021.11.B_26-08-2022,Московская область,45_75_days,70-79,SputnikLite,9334
2021.11.B_26-08-2022,Московская область,45_75_days,70-79,SputnikV,10906
2021.11.B_26-08-2022,Московская область,45_75_days,80+,AllVaccines,7358
2021.11.B_26-08-2022,Московская область,45_75_days,80+,CoviVac,65
2021.11.B_26-08-2022,Московская область,45_75_days,80+,EpiVacCorona,183
2021.11.B_26-08-2022,Московская область,45_75_days,80+,SputnikLite,2746
2021.11.B_26-08-2022,Московская область,45_75_days,80+,SputnikV,4364
2021.11.B_26-08-2022,Московская область,75_90_days,18+,AllVaccines,268009
2021.11.B_26-08-2022,Московская область,75_90_days,18+,CoviVac,5204
2021.11.B_26-08-2022,Московская область,75_90_days,18+,EpiVacCorona,3676
2021.11.B_26-08-2022,Московская область,75_90_days,18+,SputnikLite,17801
2021.11.B_26-08-2022,Московская область,75_90_days,18+,SputnikV,241328
2021.11.B_26-08-2022,Московская область,75_90_days,20-29,AllVaccines,42993
2021.11.B_26-08-2022,Московская область,75_90_days,20-29,CoviVac,649
2021.11.B_26-08-2022,Московская область,75_90_days,20-29,EpiVacCorona,386
2021.11.B_26-08-2022,Московская область,75_90_days,20-29,SputnikLite,2278
2021.11.B_26-08-2022,Московская область,75_90_days,20-29,SputnikV,39680
2021.11.B_26-08-2022,Московская область,75_90_days,30-39,AllVaccines,68937
2021.11.B_26-08-2022,Московская область,75_90_days,30-39,CoviVac,1183
2021.11.B_26-08-2022,Московская область,75_90_days,30-39,EpiVacCorona,634
2021.11.B_26-08-2022,Московская область,75_90_days,30-39,SputnikLite,2951
