data_point,region,vac_interval_group,age_group,vaccine,vac_count
2021.11_11-11-2022,Алтайский край,21_195_days,18+,AllVaccines,577215
2021.11_11-11-2022,Алтайский край,21_195_days,18+,CoviVac,5426
2021.11_11-11-2022,Алтайский край,21_195_days,18+,EpiVacCorona,14662
2021.11_11-11-2022,Алтайский край,21_195_days,18+,SputnikLite,105328
2021.11_11-11-2022,Алтайский край,21_195_days,18+,SputnikV,451799
2021.11_11-11-2022,Алтайский край,21_195_days,18-59,AllVaccines,399361
2021.11_11-11-2022,Алтайский край,21_195_days,18-59,CoviVac,4430
2021.11_11-11-2022,Алтайский край,21_195_days,18-59,EpiVacCorona,10100
2021.11_11-11-2022,Алтайский край,21_195_days,18-59,SputnikLite,76754
2021.11_11-11-2022,Алтайский край,21_195_days,18-59,SputnikV,308077
2021.11_11-11-2022,Алтайский край,21_195_days,60+,AllVaccines,177854
2021.11_11-11-2022,Алтайский край,21_195_days,60+,CoviVac,996
2021.11_11-11-2022,Алтайский край,21_195_days,60+,EpiVacCorona,4562
2021.11_11-11-2022,Алтайский край,21_195_days,60+,SputnikLite,28574
2021.11_11-11-2022,Алтайский край,21_195_days,60+,SputnikV,143722
2021.11_11-11-2022,Амурская область,21_195_days,18+,AllVaccines,234480
2021.11_11-11-2022,Амурская область,21_195_days,18+,CoviVac,1702
2021.11_11-11-2022,Амурская область,21_195_days,18+,EpiVacCorona,3078
2021.11_11-11-2022,Амурская область,21_195_days,18+,SputnikLite,54628
2021.11_11-11-2022,Амурская область,21_195_days,18+,SputnikV,175072
2021.11_11-11-2022,Амурская область,21_195_days,18-59,AllVaccines,186480
2021.11_11-11-2022,Амурская область,21_195_days,18-59,CoviVac,1325
2021.11_11-11-2022,Амурская область,21_195_days,18-59,EpiVacCorona,2259
2021.11_11-11-2022,Амурская область,21_195_days,18-59,SputnikLite,42507
2021.11_11-11-2022,Амурская область,21_195_days,18-59,SputnikV,140389
2021.11_11-11-2022,Амурская область,21_195_days,60+,AllVaccines,48000
2021.11_11-11-2022,Амурская область,21_195_days,60+,CoviVac,377
2021.11_11-11-2022,Амурская область,21_195_days,60+,EpiVacCorona,819
2021.11_11-11-2022,Амурская область,21_195_days,60+,SputnikLite,12121
2021.11_11-11-2022,Амурская область,21_195_days,60+,SputnikV,34683
2021.11_11-11-2022,Архангельская область,21_195_days,18+,AllVaccines,305229
2021.11_11-11-2022,Архангельская область,21_195_days,18+,CoviVac,2052
2021.11_11-11-2022,Архангельская область,21_195_days,18+,EpiVacCorona,5127
2021.11_11-11-2022,Архангельская область,21_195_days,18+,SputnikLite,67752
2021.11_11-11-2022,Архангельская область,21_195_days,18+,SputnikV,230298
2021.11_11-11-2022,Архангельская область,21_195_days,18-59,AllVaccines,212557
2021.11_11-11-2022,Архангельская область,21_195_days,18-59,CoviVac,1828
2021.11_11-11-2022,Архангельская область,21_195_days,18-59,EpiVacCorona,4022
2021.11_11-11-2022,Архангельская область,21_195_days,18-59,SputnikLite,49465
2021.11_11-11-2022,Архангельская область,21_195_days,18-59,SputnikV,157242
2021.11_11-11-2022,Архангельская область,21_195_days,60+,AllVaccines,92672
2021.11_11-11-2022,Архангельская область,21_195_days,60+,CoviVac,224
2021.11_11-11-2022,Архангельская область,21_195_days,60+,EpiVacCorona,1105
2021.11_11-11-2022,Архангельская область,21_195_days,60+,SputnikLite,18287
2021.11_11-11-2022,Архангельская область,21_195_days,60+,SputnikV,73056
2021.11_11-11-2022,Астраханская область,21_195_days,18+,AllVaccines,291436
2021.11_11-11-2022,Астраханская область,21_195_days,18+,CoviVac,1781
2021.11_11-11-2022,Астраханская область,21_195_days,18+,EpiVacCorona,7254
2021.11_11-11-2022,Астраханская область,21_195_days,18+,SputnikLite,33772
2021.11_11-11-2022,Астраханская область,21_195_days,18+,SputnikV,248629
2021.11_11-11-2022,Астраханская область,21_195_days,18-59,AllVaccines,230630
2021.11_11-11-2022,Астраханская область,21_195_days,18-59,CoviVac,1366
2021.11_11-11-2022,Астраханская область,21_195_days,18-59,EpiVacCorona,5594
2021.11_11-11-2022,Астраханская область,21_195_days,18-59,SputnikLite,24847
2021.11_11-11-2022,Астраханская область,21_195_days,18-59,SputnikV,198823
2021.11_11-11-2022,Астраханская область,21_195_days,60+,AllVaccines,60806
2021.11_11-11-2022,Астраханская область,21_195_days,60+,CoviVac,415
2021.11_11-11-2022,Астраханская область,21_195_days,60+,EpiVacCorona,1660
2021.11_11-11-2022,Астраханская область,21_195_days,60+,SputnikLite,8925
2021.11_11-11-2022,Астраханская область,21_195_days,60+,SputnikV,49806
2021.11_11-11-2022,Белгородская область,21_195_days,18+,AllVaccines,651062
2021.11_11-11-2022,Белгородская область,21_195_days,18+,CoviVac,4462
2021.11_11-11-2022,Белгородская область,21_195_days,18+,EpiVacCorona,26641
2021.11_11-11-2022,Белгородская область,21_195_days,18+,SputnikLite,87951
2021.11_11-11-2022,Белгородская область,21_195_days,18+,SputnikV,532008
2021.11_11-11-2022,Белгородская область,21_195_days,18-59,AllVaccines,488673
2021.11_11-11-2022,Белгородская область,21_195_days,18-59,CoviVac,3551
2021.11_11-11-2022,Белгородская область,21_195_days,18-59,EpiVacCorona,20457
2021.11_11-11-2022,Белгородская область,21_195_days,18-59,SputnikLite,54684
2021.11_11-11-2022,Белгородская область,21_195_days,18-59,SputnikV,409981
2021.11_11-11-2022,Белгородская область,21_195_days,60+,AllVaccines,162389
2021.11_11-11-2022,Белгородская область,21_195_days,60+,CoviVac,911
2021.11_11-11-2022,Белгородская область,21_195_days,60+,EpiVacCorona,6184
2021.11_11-11-2022,Белгородская область,21_195_days,60+,SputnikLite,33267
2021.11_11-11-2022,Белгородская область,21_195_days,60+,SputnikV,122027
2021.11_11-11-2022,Брянская область,21_195_days,18+,AllVaccines,311754
2021.11_11-11-2022,Брянская область,21_195_days,18+,CoviVac,2185
2021.11_11-11-2022,Брянская область,21_195_days,18+,EpiVacCorona,3211
2021.11_11-11-2022,Брянская область,21_195_days,18+,SputnikLite,56105
2021.11_11-11-2022,Брянская область,21_195_days,18+,SputnikV,250253
2021.11_11-11-2022,Брянская область,21_195_days,18-59,AllVaccines,226700
2021.11_11-11-2022,Брянская область,21_195_days,18-59,CoviVac,1686
2021.11_11-11-2022,Брянская область,21_195_days,18-59,EpiVacCorona,2015
2021.11_11-11-2022,Брянская область,21_195_days,18-59,SputnikLite,38125
2021.11_11-11-2022,Брянская область,21_195_days,18-59,SputnikV,184874
2021.11_11-11-2022,Брянская область,21_195_days,60+,AllVaccines,85054
2021.11_11-11-2022,Брянская область,21_195_days,60+,CoviVac,499
2021.11_11-11-2022,Брянская область,21_195_days,60+,EpiVacCorona,1196
2021.11_11-11-2022,Брянская область,21_195_days,60+,SputnikLite,17980
2021.11_11-11-2022,Брянская область,21_195_days,60+,SputnikV,65379
2021.11_11-11-2022,Владимирская область,21_195_days,18+,AllVaccines,282960
2021.11_11-11-2022,Владимирская область,21_195_days,18+,CoviVac,3797
2021.11_11-11-2022,Владимирская область,21_195_days,18+,EpiVacCorona,4507
2021.11_11-11-2022,Владимирская область,21_195_days,18+,SputnikLite,74238
2021.11_11-11-2022,Владимирская область,21_195_days,18+,SputnikV,200418
2021.11_11-11-2022,Владимирская область,21_195_days,18-59,AllVaccines,198103
2021.11_11-11-2022,Владимирская область,21_195_days,18-59,CoviVac,3026
2021.11_11-11-2022,Владимирская область,21_195_days,18-59,EpiVacCorona,3047
2021.11_11-11-2022,Владимирская область,21_195_days,18-59,SputnikLite,51372
2021.11_11-11-2022,Владимирская область,21_195_days,18-59,SputnikV,140658
2021.11_11-11-2022,Владимирская область,21_195_days,60+,AllVaccines,84857
2021.11_11-11-2022,Владимирская область,21_195_days,60+,CoviVac,771
2021.11_11-11-2022,Владимирская область,21_195_days,60+,EpiVacCorona,1460
2021.11_11-11-2022,Владимирская область,21_195_days,60+,SputnikLite,22866
2021.11_11-11-2022,Владимирская область,21_195_days,60+,SputnikV,59760
2021.11_11-11-2022,Волгоградская область,21_195_days,18+,AllVaccines,765551
2021.11_11-11-2022,Волгоградская область,21_195_days,18+,CoviVac,13005
2021.11_11-11-2022,Волгоградская область,21_195_days,18+,EpiVacCorona,20372
2021.11_11-11-2022,Волгоградская область,21_195_days,18+,SputnikLite,133551
2021.11_11-11-2022,Волгоградская область,21_195_days,18+,SputnikV,598623
2021.11_11-11-2022,Волгоградская область,21_195_days,18-59,AllVaccines,572704
2021.11_11-11-2022,Волгоградская область,21_195_days,18-59,CoviVac,11243
2021.11_11-11-2022,Волгоградская область,21_195_days,18-59,EpiVacCorona,14325
2021.11_11-11-2022,Волгоградская область,21_195_days,18-59,SputnikLite,95870
2021.11_11-11-2022,Волгоградская область,21_195_days,18-59,SputnikV,451266
2021.11_11-11-2022,Волгоградская область,21_195_days,60+,AllVaccines,192847
2021.11_11-11-2022,Волгоградская область,21_195_days,60+,CoviVac,1762
2021.11_11-11-2022,Волгоградская область,21_195_days,60+,EpiVacCorona,6047
2021.11_11-11-2022,Волгоградская область,21_195_days,60+,SputnikLite,37681
2021.11_11-11-2022,Волгоградская область,21_195_days,60+,SputnikV,147357
2021.11_11-11-2022,Вологодская область,21_195_days,18+,AllVaccines,290910
2021.11_11-11-2022,Вологодская область,21_195_days,18+,CoviVac,1515
2021.11_11-11-2022,Вологодская область,21_195_days,18+,EpiVacCorona,9792
2021.11_11-11-2022,Вологодская область,21_195_days,18+,SputnikLite,96661
2021.11_11-11-2022,Вологодская область,21_195_days,18+,SputnikV,182942
2021.11_11-11-2022,Вологодская область,21_195_days,18-59,AllVaccines,201612
2021.11_11-11-2022,Вологодская область,21_195_days,18-59,CoviVac,1204
2021.11_11-11-2022,Вологодская область,21_195_days,18-59,EpiVacCorona,4009
2021.11_11-11-2022,Вологодская область,21_195_days,18-59,SputnikLite,77055
2021.11_11-11-2022,Вологодская область,21_195_days,18-59,SputnikV,119344
2021.11_11-11-2022,Вологодская область,21_195_days,60+,AllVaccines,89298
2021.11_11-11-2022,Вологодская область,21_195_days,60+,CoviVac,311
2021.11_11-11-2022,Вологодская область,21_195_days,60+,EpiVacCorona,5783
2021.11_11-11-2022,Вологодская область,21_195_days,60+,SputnikLite,19606
2021.11_11-11-2022,Вологодская область,21_195_days,60+,SputnikV,63598
2021.11_11-11-2022,Воронежская область,21_195_days,18+,AllVaccines,622143
2021.11_11-11-2022,Воронежская область,21_195_days,18+,CoviVac,9442
2021.11_11-11-2022,Воронежская область,21_195_days,18+,EpiVacCorona,20304
2021.11_11-11-2022,Воронежская область,21_195_days,18+,SputnikLite,147435
2021.11_11-11-2022,Воронежская область,21_195_days,18+,SputnikV,444962
2021.11_11-11-2022,Воронежская область,21_195_days,18-59,AllVaccines,448748
2021.11_11-11-2022,Воронежская область,21_195_days,18-59,CoviVac,7329
2021.11_11-11-2022,Воронежская область,21_195_days,18-59,EpiVacCorona,12816
2021.11_11-11-2022,Воронежская область,21_195_days,18-59,SputnikLite,97716
2021.11_11-11-2022,Воронежская область,21_195_days,18-59,SputnikV,330887
2021.11_11-11-2022,Воронежская область,21_195_days,60+,AllVaccines,173395
2021.11_11-11-2022,Воронежская область,21_195_days,60+,CoviVac,2113
2021.11_11-11-2022,Воронежская область,21_195_days,60+,EpiVacCorona,7488
2021.11_11-11-2022,Воронежская область,21_195_days,60+,SputnikLite,49719
2021.11_11-11-2022,Воронежская область,21_195_days,60+,SputnikV,114075
2021.11_11-11-2022,Еврейская автономная область,21_195_days,18+,AllVaccines,32745
2021.11_11-11-2022,Еврейская автономная область,21_195_days,18+,CoviVac,775
2021.11_11-11-2022,Еврейская автономная область,21_195_days,18+,EpiVacCorona,7553
2021.11_11-11-2022,Еврейская автономная область,21_195_days,18+,SputnikLite,3258
2021.11_11-11-2022,Еврейская автономная область,21_195_days,18+,SputnikV,21159
2021.11_11-11-2022,Еврейская автономная область,21_195_days,18-59,AllVaccines,23484
2021.11_11-11-2022,Еврейская автономная область,21_195_days,18-59,CoviVac,682
2021.11_11-11-2022,Еврейская автономная область,21_195_days,18-59,EpiVacCorona,5295
2021.11_11-11-2022,Еврейская автономная область,21_195_days,18-59,SputnikLite,1836
2021.11_11-11-2022,Еврейская автономная область,21_195_days,18-59,SputnikV,15671
2021.11_11-11-2022,Еврейская автономная область,21_195_days,60+,AllVaccines,9261
2021.11_11-11-2022,Еврейская автономная область,21_195_days,60+,CoviVac,93
2021.11_11-11-2022,Еврейская автономная область,21_195_days,60+,EpiVacCorona,2258
2021.11_11-11-2022,Еврейская автономная область,21_195_days,60+,SputnikLite,1422
2021.11_11-11-2022,Еврейская автономная область,21_195_days,60+,SputnikV,5488
2021.11_11-11-2022,Забайкальский край,21_195_days,18+,AllVaccines,276728
2021.11_11-11-2022,Забайкальский край,21_195_days,18+,CoviVac,2830
2021.11_11-11-2022,Забайкальский край,21_195_days,18+,EpiVacCorona,3584
2021.11_11-11-2022,Забайкальский край,21_195_days,18+,SputnikLite,64090
2021.11_11-11-2022,Забайкальский край,21_195_days,18+,SputnikV,206224
2021.11_11-11-2022,Забайкальский край,21_195_days,18-59,AllVaccines,210850
2021.11_11-11-2022,Забайкальский край,21_195_days,18-59,CoviVac,2716
2021.11_11-11-2022,Забайкальский край,21_195_days,18-59,EpiVacCorona,2794
2021.11_11-11-2022,Забайкальский край,21_195_days,18-59,SputnikLite,51496
2021.11_11-11-2022,Забайкальский край,21_195_days,18-59,SputnikV,153844
2021.11_11-11-2022,Забайкальский край,21_195_days,60+,AllVaccines,65878
2021.11_11-11-2022,Забайкальский край,21_195_days,60+,CoviVac,114
2021.11_11-11-2022,Забайкальский край,21_195_days,60+,EpiVacCorona,790
2021.11_11-11-2022,Забайкальский край,21_195_days,60+,SputnikLite,12594
2021.11_11-11-2022,Забайкальский край,21_195_days,60+,SputnikV,52380
2021.11_11-11-2022,Ивановская область,21_195_days,18+,AllVaccines,251358
2021.11_11-11-2022,Ивановская область,21_195_days,18+,CoviVac,3832
2021.11_11-11-2022,Ивановская область,21_195_days,18+,EpiVacCorona,2584
2021.11_11-11-2022,Ивановская область,21_195_days,18+,SputnikLite,39272
2021.11_11-11-2022,Ивановская область,21_195_days,18+,SputnikV,205670
2021.11_11-11-2022,Ивановская область,21_195_days,18-59,AllVaccines,187046
2021.11_11-11-2022,Ивановская область,21_195_days,18-59,CoviVac,3498
2021.11_11-11-2022,Ивановская область,21_195_days,18-59,EpiVacCorona,1392
2021.11_11-11-2022,Ивановская область,21_195_days,18-59,SputnikLite,24795
2021.11_11-11-2022,Ивановская область,21_195_days,18-59,SputnikV,157361
2021.11_11-11-2022,Ивановская область,21_195_days,60+,AllVaccines,64312
2021.11_11-11-2022,Ивановская область,21_195_days,60+,CoviVac,334
2021.11_11-11-2022,Ивановская область,21_195_days,60+,EpiVacCorona,1192
2021.11_11-11-2022,Ивановская область,21_195_days,60+,SputnikLite,14477
2021.11_11-11-2022,Ивановская область,21_195_days,60+,SputnikV,48309
2021.11_11-11-2022,Иркутская область,21_195_days,18+,AllVaccines,545869
2021.11_11-11-2022,Иркутская область,21_195_days,18+,CoviVac,5473
2021.11_11-11-2022,Иркутская область,21_195_days,18+,EpiVacCorona,26570
2021.11_11-11-2022,Иркутская область,21_195_days,18+,SputnikLite,73462
2021.11_11-11-2022,Иркутская область,21_195_days,18+,SputnikV,440364
2021.11_11-11-2022,Иркутская область,21_195_days,18-59,AllVaccines,384986
2021.11_11-11-2022,Иркутская область,21_195_days,18-59,CoviVac,4330
2021.11_11-11-2022,Иркутская область,21_195_days,18-59,EpiVacCorona,17774
2021.11_11-11-2022,Иркутская область,21_195_days,18-59,SputnikLite,43800
2021.11_11-11-2022,Иркутская область,21_195_days,18-59,SputnikV,319082
2021.11_11-11-2022,Иркутская область,21_195_days,60+,AllVaccines,160883
2021.11_11-11-2022,Иркутская область,21_195_days,60+,CoviVac,1143
2021.11_11-11-2022,Иркутская область,21_195_days,60+,EpiVacCorona,8796
2021.11_11-11-2022,Иркутская область,21_195_days,60+,SputnikLite,29662
2021.11_11-11-2022,Иркутская область,21_195_days,60+,SputnikV,121282
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,18+,AllVaccines,160116
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,18+,CoviVac,3375
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,18+,EpiVacCorona,6171
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,18+,SputnikLite,31949
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,18+,SputnikV,118621
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,18-59,AllVaccines,123614
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,18-59,CoviVac,2724
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,18-59,EpiVacCorona,4587
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,18-59,SputnikLite,24909
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,18-59,SputnikV,91394
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,60+,AllVaccines,36502
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,60+,CoviVac,651
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,60+,EpiVacCorona,1584
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,60+,SputnikLite,7040
2021.11_11-11-2022,Кабардино-Балкарская Республика,21_195_days,60+,SputnikV,27227
2021.11_11-11-2022,Калининградская область,21_195_days,18+,AllVaccines,303801
2021.11_11-11-2022,Калининградская область,21_195_days,18+,CoviVac,2046
2021.11_11-11-2022,Калининградская область,21_195_days,18+,EpiVacCorona,11722
2021.11_11-11-2022,Калининградская область,21_195_days,18+,SputnikLite,72259
2021.11_11-11-2022,Калининградская область,21_195_days,18+,SputnikV,217774
2021.11_11-11-2022,Калининградская область,21_195_days,18-59,AllVaccines,220550
2021.11_11-11-2022,Калининградская область,21_195_days,18-59,CoviVac,1646
2021.11_11-11-2022,Калининградская область,21_195_days,18-59,EpiVacCorona,9253
2021.11_11-11-2022,Калининградская область,21_195_days,18-59,SputnikLite,55324
2021.11_11-11-2022,Калининградская область,21_195_days,18-59,SputnikV,154327
2021.11_11-11-2022,Калининградская область,21_195_days,60+,AllVaccines,83251
2021.11_11-11-2022,Калининградская область,21_195_days,60+,CoviVac,400
2021.11_11-11-2022,Калининградская область,21_195_days,60+,EpiVacCorona,2469
2021.11_11-11-2022,Калининградская область,21_195_days,60+,SputnikLite,16935
2021.11_11-11-2022,Калининградская область,21_195_days,60+,SputnikV,63447
2021.11_11-11-2022,Калужская область,21_195_days,18+,AllVaccines,256350
2021.11_11-11-2022,Калужская область,21_195_days,18+,CoviVac,2138
2021.11_11-11-2022,Калужская область,21_195_days,18+,EpiVacCorona,7806
2021.11_11-11-2022,Калужская область,21_195_days,18+,SputnikLite,45908
2021.11_11-11-2022,Калужская область,21_195_days,18+,SputnikV,200498
2021.11_11-11-2022,Калужская область,21_195_days,18-59,AllVaccines,185663
2021.11_11-11-2022,Калужская область,21_195_days,18-59,CoviVac,1743
2021.11_11-11-2022,Калужская область,21_195_days,18-59,EpiVacCorona,5177
2021.11_11-11-2022,Калужская область,21_195_days,18-59,SputnikLite,30070
2021.11_11-11-2022,Калужская область,21_195_days,18-59,SputnikV,148673
2021.11_11-11-2022,Калужская область,21_195_days,60+,AllVaccines,70687
2021.11_11-11-2022,Калужская область,21_195_days,60+,CoviVac,395
2021.11_11-11-2022,Калужская область,21_195_days,60+,EpiVacCorona,2629
2021.11_11-11-2022,Калужская область,21_195_days,60+,SputnikLite,15838
2021.11_11-11-2022,Калужская область,21_195_days,60+,SputnikV,51825
2021.11_11-11-2022,Камчатский край,21_195_days,18+,AllVaccines,74456
2021.11_11-11-2022,Камчатский край,21_195_days,18+,CoviVac,767
2021.11_11-11-2022,Камчатский край,21_195_days,18+,EpiVacCorona,9598
2021.11_11-11-2022,Камчатский край,21_195_days,18+,SputnikLite,12554
2021.11_11-11-2022,Камчатский край,21_195_days,18+,SputnikV,51537
2021.11_11-11-2022,Камчатский край,21_195_days,18-59,AllVaccines,58132
2021.11_11-11-2022,Камчатский край,21_195_days,18-59,CoviVac,666
2021.11_11-11-2022,Камчатский край,21_195_days,18-59,EpiVacCorona,6825
2021.11_11-11-2022,Камчатский край,21_195_days,18-59,SputnikLite,9369
2021.11_11-11-2022,Камчатский край,21_195_days,18-59,SputnikV,41272
2021.11_11-11-2022,Камчатский край,21_195_days,60+,AllVaccines,16324
2021.11_11-11-2022,Камчатский край,21_195_days,60+,CoviVac,101
2021.11_11-11-2022,Камчатский край,21_195_days,60+,EpiVacCorona,2773
2021.11_11-11-2022,Камчатский край,21_195_days,60+,SputnikLite,3185
2021.11_11-11-2022,Камчатский край,21_195_days,60+,SputnikV,10265
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,18+,AllVaccines,105882
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,18+,CoviVac,2962
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,18+,EpiVacCorona,6720
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,18+,SputnikLite,15838
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,18+,SputnikV,80362
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,18-59,AllVaccines,83343
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,18-59,CoviVac,2365
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,18-59,EpiVacCorona,5568
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,18-59,SputnikLite,12044
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,18-59,SputnikV,63366
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,60+,AllVaccines,22539
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,60+,CoviVac,597
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,60+,EpiVacCorona,1152
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,60+,SputnikLite,3794
2021.11_11-11-2022,Карачаево-Черкесская Республика,21_195_days,60+,SputnikV,16996
2021.11_11-11-2022,Кемеровская область,21_195_days,18+,AllVaccines,710612
2021.11_11-11-2022,Кемеровская область,21_195_days,18+,CoviVac,6417
2021.11_11-11-2022,Кемеровская область,21_195_days,18+,EpiVacCorona,9286
2021.11_11-11-2022,Кемеровская область,21_195_days,18+,SputnikLite,41902
2021.11_11-11-2022,Кемеровская область,21_195_days,18+,SputnikV,653007
2021.11_11-11-2022,Кемеровская область,21_195_days,18-59,AllVaccines,539987
