data_point;region;vac_interval_group;vaccine;ve_zab_18_59;ve_hosp_18_59;ve_severe_18_59;ve_death_18_59;ve_zab_60;ve_hosp_60;ve_severe_60;ve_death_60;ve_zab_total;ve_hosp_total;ve_severe_total;ve_death_total
2021.11_01-07-2022;Алтайский край;105_165_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;105_165_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;105_165_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;105_165_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;105_165_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;165_195_days;AllVaccines;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;165_195_days;CoviVac;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;165_195_days;EpiVacCorona;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;165_195_days;SputnikLite;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;165_195_days;SputnikV;;;;;;;;;;;;
2021.11_01-07-2022;Алтайский край;21_45_days;AllVaccines;-13.285203378994506;-8.284283568607767;-6.962367549220857;-4.6741254156324645;-6.602178189633646;-3.671113538848931;-2.06783395128646;-1.285861716933165;-10.47006408199403;-5.664289999363746;-3.5605860855684988;-2.1364609150545073
2021.11_01-07-2022;Алтайский край;21_45_days;CoviVac;-17.655809563592047;-23.832527020072057;-16.00433090291103;1.0;-21.958081705571548;-6.399506484205939;-7.162388820115778;-5.905477395452454;-18.34826799052235;-11.583352257704963;-7.4672261442797705;-3.11249174006935
2021.11_01-07-2022;Алтайский край;21_45_days;EpiVacCorona;-45.74441462430921;-81.61942014356215;-103.89786255411256;-87.51655251141553;-46.69862328883701;-55.75159550561798;-51.101744768641325;-35.827650273224044;-46.29017714312397;-66.39563763684488;-65.08300728880089;-43.45696469779545
2021.11_01-07-2022;Алтайский край;21_45_days;SputnikLite;-2.4621677511658455;-1.6287840279068866;-1.2411044568051173;-1.8726884400865589;-0.11445430832131076;0.44437486151989125;0.6002180953560274;0.7240597612785981;-1.399961046296454;-0.2150814777627501;0.1728001875883013;0.4281900941738186
