data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.11_11-11-2022;Алтайский край;18+;21_195_days;AllVaccines;0.31554;0.29972;0.331;0.60253;0.57975;0.62408;0.728;0.69499;0.75744;0.81294;0.77474;0.84466
2021.11_11-11-2022;Алтайский край;18+;21_195_days;CoviVac;0.06304;-0.11689;0.21399;0.452;0.14041;0.65065;0.64927;0.06481;0.86846;0.83554;-0.16834;0.97685
2021.11_11-11-2022;Алтайский край;18+;21_195_days;EpiVacCorona;-0.25659;-0.37875;-0.14526;-0.60104;-0.88175;-0.36221;-0.49265;-0.99787;-0.11518;0.02621;-0.59402;0.40511
2021.11_11-11-2022;Алтайский край;18+;21_195_days;SputnikLite;0.37175;0.33962;0.40232;0.70878;0.66444;0.74726;0.81029;0.74266;0.86014;0.87292;0.78862;0.9236
2021.11_11-11-2022;Алтайский край;18+;21_195_days;SputnikV;0.32403;0.30674;0.34089;0.61863;0.59381;0.64193;0.74938;0.7138;0.78053;0.82421;0.78219;0.85813
2021.11_11-11-2022;Алтайский край;18-59;21_195_days;AllVaccines;0.27931;0.25899;0.29907;0.53868;0.49384;0.57956;0.61721;0.52477;0.69167;0.7286;0.55028;0.83622
2021.11_11-11-2022;Алтайский край;18-59;21_195_days;CoviVac;0.12348;-0.07819;0.28742;-0.07026;-0.80977;0.36707;0.2885;-1.85226;0.82251;NULL;NULL;NULL
2021.11_11-11-2022;Алтайский край;18-59;21_195_days;EpiVacCorona;-0.19608;-0.34584;-0.06299;-0.91126;-1.48514;-0.46991;-1.34057;-2.9099;-0.40113;-0.89373;-4.94702;0.39697
2021.11_11-11-2022;Алтайский край;18-59;21_195_days;SputnikLite;0.29905;0.25774;0.33805;0.51906;0.41737;0.603;0.60987;0.38351;0.75312;0.50161;-0.12949;0.78008
2021.11_11-11-2022;Алтайский край;18-59;21_195_days;SputnikV;0.29222;0.26998;0.31378;0.59986;0.55334;0.64154;0.68795;0.59331;0.76057;0.83444;0.66203;0.9189
2021.11_11-11-2022;Алтайский край;60+;21_195_days;AllVaccines;0.38028;0.35486;0.40471;0.62321;0.59596;0.64863;0.75035;0.71413;0.78198;0.81651;0.77588;0.84977
2021.11_11-11-2022;Алтайский край;60+;21_195_days;CoviVac;-0.27281;-0.77368;0.08662;0.63513;0.12303;0.84819;0.61735;-0.53105;0.90436;0.68494;-1.23835;0.95565
2021.11_11-11-2022;Алтайский край;60+;21_195_days;EpiVacCorona;-0.37355;-0.59616;-0.18199;-0.48169;-0.81878;-0.20708;-0.29492;-0.84616;0.09173;0.1058;-0.54432;0.48224
2021.11_11-11-2022;Алтайский край;60+;21_195_days;SputnikLite;0.51831;0.46643;0.56515;0.7787;0.72649;0.82094;0.84661;0.76865;0.8983;0.90116;0.8096;0.94869
2021.11_11-11-2022;Алтайский край;60+;21_195_days;SputnikV;0.3813;0.35359;0.40782;0.62729;0.59747;0.6549;0.76531;0.72637;0.79871;0.82315;0.77859;0.85874
2021.11_11-11-2022;Амурская область;18+;21_195_days;AllVaccines;0.46224;0.44269;0.4811;0.69913;0.67206;0.72397;0.77905;0.7368;0.81452;0.86547;0.81566;0.90183
2021.11_11-11-2022;Амурская область;18+;21_195_days;CoviVac;-0.02693;-0.33523;0.21018;0.12525;-0.50813;0.49262;0.78714;-0.51257;0.97004;0.55873;-2.13881;0.93796
2021.11_11-11-2022;Амурская область;18+;21_195_days;EpiVacCorona;-0.06472;-0.29024;0.12139;-0.4139;-0.94675;-0.02689;-0.05933;-1.04179;0.4504;0.268;-1.27745;0.76472
2021.11_11-11-2022;Амурская область;18+;21_195_days;SputnikLite;0.62977;0.59931;0.65792;0.77568;0.72804;0.81497;0.82757;0.74552;0.88317;0.91751;0.8155;0.96312
