data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.11_11-11-2022;Московская область;18+;105_165_days;AllVaccines;0.2922;0.27892;0.30523;0.55951;0.53599;0.58184;0.54108;0.49216;0.58529;0.80962;0.76888;0.84318
2021.11_11-11-2022;Московская область;18+;105_165_days;CoviVac;-0.15732;-0.28629;-0.04128;-0.13506;-0.44837;0.11048;0.10782;-0.53826;0.48254;0.7754;0.1013;0.94387
2021.11_11-11-2022;Московская область;18+;105_165_days;EpiVacCorona;-0.19602;-0.29874;-0.10143;-0.42159;-0.68977;-0.19597;-0.46122;-1.04879;-0.04216;0.36708;-0.2183;0.6712
2021.11_11-11-2022;Московская область;18+;105_165_days;SputnikLite;0.74575;0.51133;0.86771;0.70503;-0.17952;0.92623;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18+;105_165_days;SputnikV;0.31147;0.29816;0.32452;0.5963;0.57342;0.61796;0.57354;0.52553;0.61669;0.8214;0.78097;0.85437
2021.11_11-11-2022;Московская область;18-59;105_165_days;AllVaccines;0.29979;0.28499;0.3143;0.38481;0.34033;0.42628;0.39235;0.29404;0.47697;0.62648;0.4708;0.73636
2021.11_11-11-2022;Московская область;18-59;105_165_days;CoviVac;-0.08062;-0.22188;0.04432;-0.86148;-1.50519;-0.38318;0.03329;-1.328;0.59857;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;105_165_days;EpiVacCorona;-0.12674;-0.25117;-0.01469;-0.43959;-0.93105;-0.0732;-0.0234;-1.15264;0.51346;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;105_165_days;SputnikLite;0.81133;0.58003;0.91524;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;105_165_days;SputnikV;0.31347;0.29861;0.32801;0.42;0.37631;0.46063;0.40527;0.30649;0.48997;0.61215;0.4505;0.72624
2021.11_11-11-2022;Московская область;60+;105_165_days;AllVaccines;0.19844;0.16415;0.23132;0.4524;0.40646;0.49479;0.32182;0.22023;0.41018;0.70182;0.62244;0.76451
2021.11_11-11-2022;Московская область;60+;105_165_days;CoviVac;-0.51999;-0.86965;-0.23572;0.07247;-0.42339;0.39559;-0.29063;-1.58405;0.35539;0.57244;-0.71099;0.89315
2021.11_11-11-2022;Московская область;60+;105_165_days;EpiVacCorona;-0.3223;-0.51107;-0.15711;-0.34835;-0.66965;-0.08888;-0.56441;-1.28658;-0.07032;0.30898;-0.33048;0.6411
2021.11_11-11-2022;Московская область;60+;105_165_days;SputnikLite;-0.01623;-2.15116;0.67227;-0.77179;-6.08565;0.55696;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;60+;105_165_days;SputnikV;0.24404;0.20962;0.27696;0.50829;0.46316;0.54962;0.38557;0.28521;0.47183;0.72711;0.64763;0.78866
2021.11_11-11-2022;Московская область;18+;165_195_days;AllVaccines;0.21381;0.18218;0.24422;0.31276;0.24099;0.37775;0.26108;0.10658;0.38886;0.53222;0.36027;0.65795
2021.11_11-11-2022;Московская область;18+;165_195_days;CoviVac;-0.59897;-0.95331;-0.30891;-1.59648;-2.76198;-0.79207;-1.18081;-3.85764;0.02094;-0.89832;-4.89095;0.38828
2021.11_11-11-2022;Московская область;18+;165_195_days;EpiVacCorona;-0.549;-0.88281;-0.27437;-1.22004;-2.2618;-0.511;-2.0121;-4.79398;-0.56589;-0.1653;-3.66268;0.70877
2021.11_11-11-2022;Московская область;18+;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18+;165_195_days;SputnikV;0.24533;0.21374;0.27565;0.38143;0.31187;0.44396;0.33623;0.18612;0.45865;0.57426;0.40529;0.69522
2021.11_11-11-2022;Московская область;18-59;165_195_days;AllVaccines;0.19956;0.15854;0.23859;0.28021;0.14811;0.39182;0.2154;-0.1092;0.445;0.64061;0.03607;0.86601
2021.11_11-11-2022;Московская область;18-59;165_195_days;CoviVac;-0.46483;-0.89089;-0.13477;-2.56192;-5.01852;-1.10804;-1.3363;-8.35318;0.41643;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;165_195_days;EpiVacCorona;-0.53609;-1.0576;-0.14676;-1.44864;-4.13885;-0.16676;-0.60608;-10.41175;0.77396;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;165_195_days;SputnikV;0.22482;0.18372;0.26385;0.36665;0.23984;0.4723;0.26069;-0.06247;0.48556;0.6275;0.00088;0.86112
2021.11_11-11-2022;Московская область;60+;165_195_days;AllVaccines;0.26345;0.21453;0.30931;0.46786;0.39822;0.52945;0.43785;0.29455;0.55204;0.63714;0.49518;0.73917
2021.11_11-11-2022;Московская область;60+;165_195_days;CoviVac;-0.84441;-1.54632;-0.336;-0.8667;-2.15326;-0.10507;-0.9171;-4.1123;0.28109;-0.98512;-5.16128;0.36041
2021.11_11-11-2022;Московская область;60+;165_195_days;EpiVacCorona;-0.45558;-0.89202;-0.11981;-0.32096;-1.07202;0.15786;-0.99925;-3.00249;0.00138;0.30994;-1.76136;0.82756
