data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.11_11-11-2022;Московская область;18+;21_165_days;AllVaccines;0.4506;0.44235;0.45873;0.67127;0.65808;0.68395;0.64462;0.61646;0.67071;0.84458;0.82276;0.86372
2021.11_11-11-2022;Московская область;18+;21_165_days;CoviVac;0.02526;-0.05136;0.09629;0.1216;-0.04635;0.2626;0.09022;-0.28243;0.35459;0.62469;0.27746;0.80505
2021.11_11-11-2022;Московская область;18+;21_165_days;EpiVacCorona;0.02408;-0.04585;0.08934;-0.10934;-0.27954;0.03822;-0.17453;-0.54955;0.10972;0.37295;0.00239;0.60587
2021.11_11-11-2022;Московская область;18+;21_165_days;SputnikLite;0.6925;0.67103;0.71258;0.8286;0.79109;0.85938;0.80678;0.71961;0.86685;0.92693;0.8465;0.96522
2021.11_11-11-2022;Московская область;18+;21_165_days;SputnikV;0.45011;0.44159;0.45851;0.68502;0.67167;0.69782;0.65888;0.63036;0.68519;0.8519;0.82966;0.87124
2021.11_11-11-2022;Московская область;18-59;21_165_days;AllVaccines;0.46695;0.45761;0.47613;0.54755;0.52104;0.5726;0.49844;0.43443;0.5552;0.69045;0.59964;0.76066
2021.11_11-11-2022;Московская область;18-59;21_165_days;CoviVac;0.1047;0.0217;0.18066;-0.27585;-0.60872;-0.01186;0.25251;-0.44244;0.61265;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;21_165_days;EpiVacCorona;0.10175;0.01777;0.17854;-0.19411;-0.52071;0.06234;0.06836;-0.68982;0.48637;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;21_165_days;SputnikLite;0.68154;0.65144;0.70903;0.81937;0.738;0.87547;0.81607;0.58923;0.91764;0.89893;0.27932;0.98583
2021.11_11-11-2022;Московская область;18-59;21_165_days;SputnikV;0.46909;0.45956;0.47844;0.56004;0.53338;0.58518;0.49548;0.42969;0.55367;0.67238;0.57576;0.74699
2021.11_11-11-2022;Московская область;60+;21_165_days;AllVaccines;0.38601;0.36723;0.40423;0.60862;0.58582;0.63016;0.53877;0.48935;0.5834;0.77834;0.74091;0.81036
2021.11_11-11-2022;Московская область;60+;21_165_days;CoviVac;-0.27177;-0.47058;-0.09983;0.07868;-0.20417;0.29509;-0.51376;-1.26409;-0.01209;0.28698;-0.37301;0.62972
2021.11_11-11-2022;Московская область;60+;21_165_days;EpiVacCorona;-0.12068;-0.25024;-0.00455;-0.05748;-0.26205;0.11393;-0.25097;-0.71094;0.08534;0.29291;-0.12535;0.55571
2021.11_11-11-2022;Московская область;60+;21_165_days;SputnikLite;0.70448;0.67282;0.73307;0.86334;0.82735;0.89183;0.84346;0.76169;0.89717;0.94637;0.88045;0.97595
2021.11_11-11-2022;Московская область;60+;21_165_days;SputnikV;0.3636;0.34277;0.38377;0.60108;0.57584;0.62482;0.53768;0.4835;0.58617;0.77796;0.73645;0.81294
2021.11_11-11-2022;РФ;18+;21_165_days;AllVaccines;0.34275;0.34038;0.34512;0.59588;0.59248;0.59926;0.71942;0.71395;0.72479;0.80703;0.8016;0.8123
2021.11_11-11-2022;РФ;18+;21_165_days;CoviVac;-0.10268;-0.12585;-0.07999;0.2792;0.24263;0.31401;0.49975;0.43759;0.55505;0.76591;0.71181;0.80986
2021.11_11-11-2022;РФ;18+;21_165_days;EpiVacCorona;-0.15655;-0.17127;-0.14201;-0.36179;-0.39278;-0.33148;-0.24205;-0.30109;-0.18568;0.02962;-0.03421;0.08951
2021.11_11-11-2022;РФ;18+;21_165_days;SputnikLite;0.43234;0.42758;0.43706;0.67215;0.66521;0.67895;0.80419;0.79351;0.81433;0.87145;0.86081;0.88127
2021.11_11-11-2022;РФ;18+;21_165_days;SputnikV;0.35327;0.35069;0.35583;0.62726;0.62367;0.63083;0.74753;0.74178;0.75315;0.82832;0.82262;0.83384
2021.11_11-11-2022;РФ;18-59;21_165_days;AllVaccines;0.32926;0.32635;0.33215;0.53065;0.5245;0.53672;0.58142;0.56663;0.59571;0.71038;0.69059;0.72891
2021.11_11-11-2022;РФ;18-59;21_165_days;CoviVac;-0.13602;-0.16236;-0.11028;-0.03085;-0.09831;0.03246;0.15986;-0.00468;0.29746;0.6844;0.49198;0.80394
2021.11_11-11-2022;РФ;18-59;21_165_days;EpiVacCorona;-0.10066;-0.11882;-0.0828;-0.44071;-0.49623;-0.38724;-0.43621;-0.58181;-0.30401;0.0014;-0.20587;0.17304
2021.11_11-11-2022;РФ;18-59;21_165_days;SputnikLite;0.38956;0.38354;0.39552;0.56254;0.54908;0.5756;0.64368;0.61195;0.67282;0.6929;0.64323;0.73565
2021.11_11-11-2022;РФ;18-59;21_165_days;SputnikV;0.34265;0.33953;0.34576;0.57275;0.56636;0.57904;0.6165;0.601;0.63139;0.74206;0.72143;0.76116
2021.11_11-11-2022;РФ;60+;21_165_days;AllVaccines;0.34328;0.33894;0.34758;0.56102;0.55615;0.56584;0.70298;0.69594;0.70985;0.77583;0.76887;0.78259
2021.11_11-11-2022;РФ;60+;21_165_days;CoviVac;-0.19047;-0.25108;-0.1328;0.05743;-0.02048;0.12939;0.20545;0.0721;0.31964;0.52646;0.40331;0.6242
2021.11_11-11-2022;РФ;60+;21_165_days;EpiVacCorona;-0.23941;-0.26438;-0.21494;-0.27461;-0.31082;-0.23941;-0.14382;-0.20605;-0.0848;0.07592;0.01121;0.1364
2021.11_11-11-2022;РФ;60+;21_165_days;SputnikLite;0.50943;0.50155;0.51717;0.70569;0.69702;0.71412;0.82974;0.81773;0.84096;0.88187;0.87023;0.89247
2021.11_11-11-2022;РФ;60+;21_165_days;SputnikV;0.34342;0.33858;0.34822;0.58137;0.57603;0.58663;0.72829;0.72069;0.73568;0.79483;0.78728;0.80212
2021.11_11-11-2022;г. Санкт-Петербург;18+;21_165_days;AllVaccines;0.44496;0.43509;0.45465;0.69476;0.67935;0.70942;0.80034;0.77632;0.82178;0.85644;0.83141;0.87775
2021.11_11-11-2022;г. Санкт-Петербург;18+;21_165_days;CoviVac;-0.1543;-0.23675;-0.07734;0.34649;0.20192;0.46487;0.65514;0.41703;0.79599;0.8179;0.56205;0.92428
2021.11_11-11-2022;г. Санкт-Петербург;18+;21_165_days;EpiVacCorona;-0.37987;-0.48347;-0.28351;-1.35259;-1.65728;-1.08284;-0.72032;-1.25692;-0.3113;-0.58369;-1.23355;-0.12291
2021.11_11-11-2022;г. Санкт-Петербург;18+;21_165_days;SputnikLite;0.53687;0.52106;0.55216;0.76321;0.73804;0.78597;0.84866;0.80756;0.88098;0.91116;0.87014;0.93922
2021.11_11-11-2022;г. Санкт-Петербург;18+;21_165_days;SputnikV;0.45245;0.44102;0.46364;0.73598;0.71904;0.75189;0.82787;0.80101;0.85111;0.87538;0.84694;0.89853
2021.11_11-11-2022;г. Санкт-Петербург;18-59;21_165_days;AllVaccines;0.49109;0.48051;0.50146;0.68037;0.65591;0.7031;0.72241;0.65865;0.77425;0.75858;0.64587;0.83542
