data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2022.08.B_16-09-2022;Московская область;20-29;105_165_days;AllVaccines;0.07421;-0.06366;0.19421;0.54608;-0.21625;0.83059;-0.03925;-6.56902;0.85731;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;20-29;105_165_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;20-29;105_165_days;EpiVacCorona;0.55241;-0.38807;0.85567;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;20-29;105_165_days;SputnikLite;-0.0429;-0.3071;0.16789;0.65686;-1.44283;0.9518;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;20-29;105_165_days;SputnikV;0.09843;-0.07567;0.24435;0.45893;-0.68574;0.82634;-0.65168;-11.02947;0.77322;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;30-39;105_165_days;AllVaccines;0.0298;-0.08322;0.13103;0.79605;0.18204;0.94915;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;30-39;105_165_days;CoviVac;0.35271;-1.5884;0.83813;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;30-39;105_165_days;EpiVacCorona;0.402;-0.33128;0.73139;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;30-39;105_165_days;SputnikLite;0.02419;-0.17514;0.1897;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;30-39;105_165_days;SputnikV;0.00986;-0.13718;0.13789;0.66882;-0.32823;0.91743;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;40-49;105_165_days;AllVaccines;0.0173;-0.10869;0.12897;0.73406;-0.0679;0.93377;NULL;NULL;NULL;-2.07731;-22.40161;0.59533
2022.08.B_16-09-2022;Московская область;40-49;105_165_days;CoviVac;0.15033;-1.63483;0.726;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;40-49;105_165_days;EpiVacCorona;0.73398;-0.06377;0.93347;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;40-49;105_165_days;SputnikLite;-0.26724;-0.50248;-0.06884;0.30899;-1.77477;0.82792;NULL;NULL;NULL;-6.99593;-59.80557;-0.05146
2022.08.B_16-09-2022;Московская область;40-49;105_165_days;SputnikV;0.17069;0.01486;0.30187;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;50-59;105_165_days;AllVaccines;-0.03382;-0.17174;0.08788;0.20038;-0.68919;0.62148;-0.66778;-3.53073;0.38608;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;50-59;105_165_days;CoviVac;-0.15139;-2.06836;0.56795;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;50-59;105_165_days;EpiVacCorona;0.44727;-0.47299;0.79259;-2.83241;-26.27966;0.4616;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;50-59;105_165_days;SputnikLite;-0.1315;-0.35665;0.05629;0.73406;-0.89302;0.96264;0.02931;-5.95859;0.86459;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;50-59;105_165_days;SputnikV;0.02185;-0.16683;0.18002;-0.08513;-1.6227;0.55103;-1.37643;-6.49346;0.24635;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;60-69;105_165_days;AllVaccines;0.13584;0.02155;0.23678;0.50572;0.07744;0.73518;-0.11443;-1.71386;0.54236;0.16547;-5.05987;0.88507
2022.08.B_16-09-2022;Московская область;60-69;105_165_days;CoviVac;0.21108;-2.15481;0.80272;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;60-69;105_165_days;EpiVacCorona;0.5872;0.00803;0.82821;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;60-69;105_165_days;SputnikLite;-0.01508;-0.19718;0.13932;0.48233;-0.24747;0.78518;0.53313;-2.33453;0.93463;NULL;NULL;NULL
2022.08.B_16-09-2022;Московская область;60-69;105_165_days;SputnikV;0.24764;0.08819;0.37921;0.47745;-0.25922;0.78316;-0.88506;-4.08363;0.301;-0.7645;-11.81282;0.757
2022.08.B_16-09-2022;Московская область;70-79;105_165_days;AllVaccines;0.15774;0.01769;0.27781;0.67739;0.3984;0.827;0.74469;-0.02689;0.93653;0.63884;-1.59465;0.94973
