data_point;region;age_group;vac_interval_group;vaccine;ve_death;cil_death;cih_death
2021.11.B_26-08-2022;Московская область;18+;105_165_days;AllVaccines;0.80985;0.76916;0.84337
2021.11.B_26-08-2022;Московская область;18+;105_165_days;CoviVac;0.72624;-0.09537;0.93158
2021.11.B_26-08-2022;Московская область;18+;105_165_days;EpiVacCorona;0.23061;-0.48088;0.60027
2021.11.B_26-08-2022;Московская область;18+;105_165_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;18+;105_165_days;SputnikV;0.82029;0.77962;0.85346
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;AllVaccines;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;SputnikV;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;AllVaccines;0.67445;-0.07821;0.90171
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;SputnikV;0.65973;-0.12698;0.89726
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;AllVaccines;0.78992;0.51685;0.90865
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;SputnikV;0.7779;0.48921;0.90343
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;AllVaccines;0.46186;0.19521;0.64016
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;EpiVacCorona;0.18464;-4.81947;0.88576
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;SputnikV;0.44958;0.17183;0.63418
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;AllVaccines;0.63909;0.48341;0.74786
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;CoviVac;0.36335;-3.52889;0.9105
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;EpiVacCorona;-0.45827;-2.51968;0.39581
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;SputnikV;0.6869;0.53514;0.78912
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;AllVaccines;0.5123;0.29117;0.66444
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;CoviVac;0.09061;-5.46729;0.87213
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;EpiVacCorona;0.51773;-0.93316;0.87969
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;SputnikV;0.51506;0.28104;0.6729
2021.11.B_26-08-2022;Московская область;80+;105_165_days;AllVaccines;0.7474;0.52835;0.86472
2021.11.B_26-08-2022;Московская область;80+;105_165_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;105_165_days;EpiVacCorona;0.73137;-0.90978;0.96221
2021.11.B_26-08-2022;Московская область;80+;105_165_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;105_165_days;SputnikV;0.74214;0.50222;0.86642
2021.11.B_26-08-2022;Московская область;18+;165_195_days;AllVaccines;0.53789;0.36803;0.6621
2021.11.B_26-08-2022;Московская область;18+;165_195_days;CoviVac;-0.9109;-4.9299;0.38421
2021.11.B_26-08-2022;Московская область;18+;165_195_days;EpiVacCorona;-0.17295;-3.69322;0.70685
2021.11.B_26-08-2022;Московская область;18+;165_195_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;18+;165_195_days;SputnikV;0.5797;0.41289;0.69911
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;AllVaccines;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;SputnikV;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;AllVaccines;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;SputnikV;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;AllVaccines;0.37684;-1.53719;0.84695
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;SputnikV;0.35172;-1.63946;0.84078
2021.11.B_26-08-2022;Московская область;50-59;165_195_days;AllVaccines;0.65044;-0.09407;0.88831
2021.11.B_26-08-2022;Московская область;50-59;165_195_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;165_195_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;165_195_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;165_195_days;SputnikV;0.63311;-0.14831;0.88278
2021.11.B_26-08-2022;Московская область;60-69;165_195_days;AllVaccines;0.64675;0.33916;0.81118
2021.11.B_26-08-2022;Московская область;60-69;165_195_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;165_195_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;165_195_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;165_195_days;SputnikV;0.62963;0.30711;0.80202
2021.11.B_26-08-2022;Московская область;70-79;165_195_days;AllVaccines;0.66415;0.40491;0.81046
2021.11.B_26-08-2022;Московская область;70-79;165_195_days;CoviVac;-3.21203;-15.88375;-0.05079
2021.11.B_26-08-2022;Московская область;70-79;165_195_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;70-79;165_195_days;SputnikV;0.70657;0.45154;0.84302
2021.11.B_26-08-2022;Московская область;80+;165_195_days;AllVaccines;0.5857;0.28269;0.76071
2021.11.B_26-08-2022;Московская область;80+;165_195_days;CoviVac;-2.6324;-24.82406;0.48907
2021.11.B_26-08-2022;Московская область;80+;165_195_days;EpiVacCorona;-0.96376;-6.86819;0.50988
2021.11.B_26-08-2022;Московская область;80+;165_195_days;SputnikV;0.66803;0.38014;0.82221
2021.11.B_26-08-2022;Московская область;18+;21_45_days;AllVaccines;0.83659;0.70444;0.90965
2021.11.B_26-08-2022;Московская область;18+;21_45_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;18+;21_45_days;EpiVacCorona;-0.71193;-11.15884;0.75897
2021.11.B_26-08-2022;Московская область;18+;21_45_days;SputnikLite;0.86694;0.64512;0.95011
2021.11.B_26-08-2022;Московская область;18+;21_45_days;SputnikV;0.82723;0.61496;0.92247
2021.11.B_26-08-2022;Московская область;20-29;21_45_days;AllVaccines;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;21_45_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;21_45_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;21_45_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;21_45_days;SputnikV;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;21_45_days;AllVaccines;-0.34839;-8.92282;0.81677
2021.11.B_26-08-2022;Московская область;30-39;21_45_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;21_45_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;21_45_days;SputnikLite;-3.96296;-35.52257;0.3256
2021.11.B_26-08-2022;Московская область;30-39;21_45_days;SputnikV;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;21_45_days;AllVaccines;0.57607;-2.04795;0.94104
2021.11.B_26-08-2022;Московская область;40-49;21_45_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;21_45_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;21_45_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;21_45_days;SputnikV;0.30281;-4.01261;0.90303
2021.11.B_26-08-2022;Московская область;50-59;21_45_days;AllVaccines;0.66222;-0.36096;0.91616
2021.11.B_26-08-2022;Московская область;50-59;21_45_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;21_45_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;21_45_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;21_45_days;SputnikV;0.32343;-1.72594;0.83208
2021.11.B_26-08-2022;Московская область;60-69;21_45_days;AllVaccines;0.95411;0.67353;0.99355
2021.11.B_26-08-2022;Московская область;60-69;21_45_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;21_45_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;21_45_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;21_45_days;SputnikV;0.86821;0.06249;0.98147
2021.11.B_26-08-2022;Московская область;70-79;21_45_days;AllVaccines;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;70-79;21_45_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;70-79;21_45_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;70-79;21_45_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;70-79;21_45_days;SputnikV;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;21_45_days;AllVaccines;0.68059;0.28647;0.85702
2021.11.B_26-08-2022;Московская область;80+;21_45_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;21_45_days;EpiVacCorona;-2.86365;-26.46808;0.45654
2021.11.B_26-08-2022;Московская область;80+;21_45_days;SputnikLite;0.76205;0.26034;0.92345
2021.11.B_26-08-2022;Московская область;80+;21_45_days;SputnikV;0.64502;-0.42231;0.9114
2021.11.B_26-08-2022;Московская область;18+;45_75_days;AllVaccines;0.6559;0.51205;0.75734
2021.11.B_26-08-2022;Московская область;18+;45_75_days;CoviVac;-1.75767;-6.35478;-0.03399
2021.11.B_26-08-2022;Московская область;18+;45_75_days;EpiVacCorona;-1.13351;-5.62068;0.31248
2021.11.B_26-08-2022;Московская область;18+;45_75_days;SputnikLite;0.88907;0.55614;0.97228
2021.11.B_26-08-2022;Московская область;18+;45_75_days;SputnikV;0.67683;0.51253;0.78576
2021.11.B_26-08-2022;Московская область;20-29;45_75_days;AllVaccines;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;45_75_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;45_75_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;45_75_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;45_75_days;SputnikV;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;45_75_days;AllVaccines;-0.66876;-6.0308;0.60392
2021.11.B_26-08-2022;Московская область;30-39;45_75_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;45_75_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;45_75_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;45_75_days;SputnikV;-0.95158;-7.22235;0.53679
2021.11.B_26-08-2022;Московская область;40-49;45_75_days;AllVaccines;0.16069;-1.66131;0.7353
2021.11.B_26-08-2022;Московская область;40-49;45_75_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;45_75_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;45_75_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;45_75_days;SputnikV;-0.02099;-2.2374;0.67801
2021.11.B_26-08-2022;Московская область;50-59;45_75_days;AllVaccines;0.27664;-0.63192;0.67936
2021.11.B_26-08-2022;Московская область;50-59;45_75_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;45_75_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;45_75_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;45_75_days;SputnikV;0.05197;-1.13876;0.57978
2021.11.B_26-08-2022;Московская область;60-69;45_75_days;AllVaccines;0.47636;0.07129;0.70475
2021.11.B_26-08-2022;Московская область;60-69;45_75_days;CoviVac;-7.34962;-24.9807;-1.68338
2021.11.B_26-08-2022;Московская область;60-69;45_75_days;EpiVacCorona;-1.05751;-13.63631;0.71076
2021.11.B_26-08-2022;Московская область;60-69;45_75_days;SputnikLite;0.72786;-0.09129;0.93213
2021.11.B_26-08-2022;Московская область;60-69;45_75_days;SputnikV;0.5875;0.07717;0.81561
2021.11.B_26-08-2022;Московская область;70-79;45_75_days;AllVaccines;0.80818;0.5373;0.92048
2021.11.B_26-08-2022;Московская область;70-79;45_75_days;CoviVac;-2.21894;-21.89209;0.54737
2021.11.B_26-08-2022;Московская область;70-79;45_75_days;EpiVacCorona;-0.71768;-11.21564;0.75847
2021.11.B_26-08-2022;Московская область;70-79;45_75_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;70-79;45_75_days;SputnikV;0.77428;0.29796;0.92742
2021.11.B_26-08-2022;Московская область;80+;45_75_days;AllVaccines;0.77381;0.39558;0.91536
2021.11.B_26-08-2022;Московская область;80+;45_75_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;45_75_days;EpiVacCorona;-1.32182;-15.50665;0.67341
2021.11.B_26-08-2022;Московская область;80+;45_75_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;45_75_days;SputnikV;0.71133;0.10269;0.90713
2021.11.B_26-08-2022;Московская область;18+;75_90_days;AllVaccines;0.74983;0.62264;0.83415
2021.11.B_26-08-2022;Московская область;18+;75_90_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;18+;75_90_days;EpiVacCorona;-0.64144;-5.56777;0.58976
2021.11.B_26-08-2022;Московская область;18+;75_90_days;SputnikLite;0.831;-0.20031;0.97621
2021.11.B_26-08-2022;Московская область;18+;75_90_days;SputnikV;0.75765;0.62353;0.84399
2021.11.B_26-08-2022;Московская область;20-29;75_90_days;AllVaccines;-7.37093;-91.31629;0.24095
2021.11.B_26-08-2022;Московская область;20-29;75_90_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;75_90_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;75_90_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;75_90_days;SputnikV;-8.11159;-99.48444;0.17379
2021.11.B_26-08-2022;Московская область;30-39;75_90_days;AllVaccines;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;75_90_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;75_90_days;EpiVacCorona;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;75_90_days;SputnikLite;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;75_90_days;SputnikV;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;75_90_days;AllVaccines;0.49676;-1.04895;0.8764
2021.11.B_26-08-2022;Московская область;40-49;75_90_days;CoviVac;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;75_90_days;EpiVacCorona;NULL;NULL;NULL
