data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe
2021.11.B_26-08-2022;Московская область;18+;105_165_days;AllVaccines;0.28312;0.26964;0.29634;0.55788;0.5343;0.58028;0.54237;0.49359;0.58645
2021.11.B_26-08-2022;Московская область;18+;105_165_days;CoviVac;-0.24989;-0.38911;-0.12462;-0.29893;-0.65736;-0.01802;-0.01168;-0.74405;0.41315
2021.11.B_26-08-2022;Московская область;18+;105_165_days;EpiVacCorona;-0.29436;-0.40514;-0.19232;-0.62451;-0.93079;-0.36682;-0.65661;-1.32226;-0.18177
2021.11.B_26-08-2022;Московская область;18+;105_165_days;SputnikLite;0.72724;0.47576;0.85809;0.66474;-0.34063;0.91616;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;18+;105_165_days;SputnikV;0.30395;0.29049;0.31716;0.59586;0.57299;0.6175;0.57553;0.52779;0.61844
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;AllVaccines;0.32751;0.28866;0.36424;0.5399;0.37065;0.66363;0.67118;0.16685;0.87022
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;CoviVac;-0.39792;-0.9892;0.0176;-0.095;-6.79783;0.84624;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;EpiVacCorona;-0.09047;-0.5273;0.22142;-0.56205;-5.27399;0.61109;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;SputnikV;0.3353;0.29625;0.37219;0.55625;0.38759;0.67846;0.65687;0.13059;0.86457
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;AllVaccines;0.3044;0.27858;0.3293;0.37471;0.26758;0.46618;0.48051;0.21587;0.65584
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;CoviVac;-0.0177;-0.30591;0.2069;-1.91486;-4.43416;-0.56352;-0.74368;-11.45124;0.75581
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;EpiVacCorona;-0.36315;-0.64011;-0.13296;0.36366;-0.97636;0.79511;-0.27777;-8.12428;0.82106
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;SputnikLite;0.78767;0.15096;0.9469;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;SputnikV;0.3169;0.29105;0.3418;0.40089;0.2951;0.49079;0.50427;0.24183;0.67587
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;AllVaccines;0.2946;0.26677;0.32137;0.40717;0.32896;0.47626;0.50394;0.34722;0.62303
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;CoviVac;-0.23164;-0.51876;0.0012;-1.08146;-2.40583;-0.27207;0.43498;-3.02173;0.92062
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;EpiVacCorona;-0.1602;-0.40444;0.04156;-0.31851;-1.27571;0.23607;-0.33119;-3.14649;0.57263
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;SputnikLite;0.59472;-0.62065;0.89865;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;SputnikV;0.31025;0.28242;0.33701;0.44434;0.36798;0.51147;0.51619;0.35846;0.63514
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;AllVaccines;0.19553;0.16;0.22955;0.27248;0.19188;0.34504;0.1863;0.00257;0.33618
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;CoviVac;-0.25392;-0.56439;-0.00506;-0.50508;-1.42553;0.06607;-0.41979;-2.79648;0.46903
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;EpiVacCorona;-0.29113;-0.56317;-0.06644;-0.90774;-1.76956;-0.31409;0.18614;-1.53128;0.73832
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;SputnikLite;0.40226;-1.39019;0.85052;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;SputnikV;0.21776;0.18223;0.25174;0.32127;0.24265;0.39173;0.19589;0.00974;0.34704
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;AllVaccines;0.24819;0.20886;0.28557;0.44727;0.38509;0.50316;0.32248;0.17895;0.44092
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;CoviVac;-0.44995;-0.86085;-0.12978;0.196;-0.49549;0.56776;0.08053;-1.85574;0.70396
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;EpiVacCorona;-0.28057;-0.53272;-0.06989;-0.43541;-0.9678;-0.04706;-0.68603;-1.97905;0.04577
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;SputnikLite;0.0031;-2.98645;0.75071;-0.71743;-11.19529;0.75814;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;SputnikV;0.28624;0.24696;0.32347;0.48913;0.42762;0.54403;0.37082;0.22849;0.48689
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;AllVaccines;0.19434;0.12118;0.26142;0.32265;0.21787;0.41339;0.04397;-0.21328;0.24668
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;CoviVac;-0.51978;-1.35725;0.02015;-0.79789;-2.34516;0.0337;-1.63376;-6.03548;0.01404
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;EpiVacCorona;-0.43915;-0.81832;-0.13904;-0.58343;-1.2318;-0.12342;-1.11354;-2.73836;-0.19492
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;SputnikLite;-0.34163;-8.52488;0.81103;-2.17317;-21.53443;0.55317;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;SputnikV;0.26152;0.18837;0.32808;0.42049;0.31892;0.50691;0.18012;-0.06932;0.37137
2021.11.B_26-08-2022;Московская область;80+;105_165_days;AllVaccines;0.25114;0.11995;0.36278;0.48644;0.33459;0.60365;0.38899;0.06502;0.60071
2021.11.B_26-08-2022;Московская область;80+;105_165_days;CoviVac;-0.31288;-2.49996;0.50752;0.40483;-3.22715;0.9162;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;105_165_days;EpiVacCorona;-0.21222;-0.81098;0.18858;-0.09905;-0.93859;0.37691;0.12933;-1.70694;0.71995
2021.11.B_26-08-2022;Московская область;80+;105_165_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;105_165_days;SputnikV;0.30959;0.17529;0.42202;0.5482;0.39476;0.66274;0.40352;0.0583;0.62218
2021.11.B_26-08-2022;Московская область;18+;165_195_days;AllVaccines;0.21222;0.18053;0.24267;0.31983;0.24879;0.38415;0.27112;0.11872;0.39716
2021.11.B_26-08-2022;Московская область;18+;165_195_days;CoviVac;-0.64119;-1.00078;-0.34623;-1.59547;-2.76048;-0.79139;-1.16743;-3.82772;0.02692
2021.11.B_26-08-2022;Московская область;18+;165_195_days;EpiVacCorona;-0.55819;-0.89398;-0.28194;-1.21982;-2.26145;-0.51086;-1.99748;-4.76572;-0.55833
2021.11.B_26-08-2022;Московская область;18+;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;18+;165_195_days;SputnikV;0.24497;0.21337;0.2753;0.3891;0.3204;0.45086;0.34687;0.19918;0.46732
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;AllVaccines;0.34497;0.22838;0.44394;0.12189;-0.772;0.56486;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;CoviVac;0.06535;-1.8986;0.69862;-6.59352;-53.07582;-0.06631;NULL;NULL;NULL
