data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.12_26-12-2022;Алтайский край;18+;21_195_days;AllVaccines;0.29684;0.27481;0.3182;0.61261;0.58542;0.63802;0.74331;0.70498;0.77667;0.87105;0.83317;0.90032
2021.12_26-12-2022;Алтайский край;18+;21_195_days;CoviVac;-0.01579;-0.24828;0.1734;0.38871;0.02893;0.6152;0.39602;-0.34637;0.72906;0.81566;-0.30999;0.97406
2021.12_26-12-2022;Алтайский край;18+;21_195_days;EpiVacCorona;-0.16804;-0.30829;-0.04282;-0.14181;-0.39461;0.06517;-0.10513;-0.56808;0.22114;0.62054;0.15308;0.82999
2021.12_26-12-2022;Алтайский край;18+;21_195_days;SputnikLite;0.38841;0.35293;0.42195;0.69907;0.6548;0.73766;0.83249;0.77076;0.87759;0.90797;0.83733;0.94794
2021.12_26-12-2022;Алтайский край;18+;21_195_days;SputnikV;0.28805;0.26237;0.31284;0.61829;0.58641;0.64771;0.75447;0.70946;0.79251;0.86936;0.82258;0.90381
2021.12_26-12-2022;Алтайский край;18-59;21_195_days;AllVaccines;0.22317;0.19335;0.2519;0.51204;0.45585;0.56242;0.64606;0.53694;0.72947;0.79395;0.61508;0.8897
2021.12_26-12-2022;Алтайский край;18-59;21_195_days;CoviVac;-0.17793;-0.47417;0.05878;0.00094;-0.80798;0.44793;-0.70461;-3.57002;0.36419;-0.44342;-9.35509;0.7988
2021.12_26-12-2022;Алтайский край;18-59;21_195_days;EpiVacCorona;-0.23987;-0.42691;-0.07735;-0.25769;-0.76695;0.10479;-0.38851;-1.80084;0.31165;NULL;NULL;NULL
2021.12_26-12-2022;Алтайский край;18-59;21_195_days;SputnikLite;0.30052;0.25166;0.3462;0.55887;0.45933;0.64009;0.77002;0.58046;0.87393;0.78756;0.32927;0.93271
2021.12_26-12-2022;Алтайский край;18-59;21_195_days;SputnikV;0.22245;0.1882;0.25525;0.53921;0.47539;0.59527;0.67169;0.54543;0.76288;0.81014;0.5907;0.91193
2021.12_26-12-2022;Алтайский край;60+;21_195_days;AllVaccines;0.40573;0.37249;0.4372;0.62785;0.59397;0.65891;0.74289;0.69728;0.78162;0.8666;0.82293;0.8995
2021.12_26-12-2022;Алтайский край;60+;21_195_days;CoviVac;0.30426;-0.17548;0.5882;0.39062;-0.27923;0.70972;0.55671;-0.77436;0.88925;NULL;NULL;NULL
2021.12_26-12-2022;Алтайский край;60+;21_195_days;EpiVacCorona;-0.0662;-0.29201;0.12014;-0.12767;-0.44412;0.11944;-0.07668;-0.61224;0.28098;0.55638;0.00956;0.8013
2021.12_26-12-2022;Алтайский край;60+;21_195_days;SputnikLite;0.52347;0.47169;0.57017;0.75282;0.70209;0.79492;0.83991;0.76869;0.8892;0.91812;0.84204;0.95755
