data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.12_26-12-2022;Московская область;18+;105_165_days;AllVaccines;0.33542;0.32266;0.34794;0.65399;0.63434;0.67259;0.54988;0.49944;0.59524;0.82851;0.79243;0.85832
2021.12_26-12-2022;Московская область;18+;105_165_days;CoviVac;-0.14054;-0.28248;-0.01431;0.25403;-0.03026;0.45988;0.34944;-0.36645;0.69027;0.87142;0.08653;0.9819
2021.12_26-12-2022;Московская область;18+;105_165_days;EpiVacCorona;-0.29629;-0.44648;-0.1617;-0.17981;-0.52405;0.08667;-1.02794;-2.08723;-0.33211;0.10725;-0.87613;0.57519
2021.12_26-12-2022;Московская область;18+;105_165_days;SputnikLite;0.47184;0.38432;0.54692;0.66407;0.48451;0.78108;0.70504;0.2133;0.88941;0.79595;0.18331;0.94902
2021.12_26-12-2022;Московская область;18+;105_165_days;SputnikV;0.34686;0.33405;0.35944;0.66893;0.64941;0.68736;0.56929;0.51924;0.61413;0.83734;0.80147;0.86672
2021.12_26-12-2022;Московская область;18-59;105_165_days;AllVaccines;0.35499;0.34095;0.36873;0.53745;0.50185;0.57052;0.26431;0.1405;0.37029;0.54603;0.34591;0.68492
2021.12_26-12-2022;Московская область;18-59;105_165_days;CoviVac;-0.08916;-0.24255;0.04529;-0.17616;-0.7302;0.20047;0.44115;-1.24067;0.86062;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18-59;105_165_days;EpiVacCorona;-0.26238;-0.43453;-0.11089;-0.13468;-0.71008;0.24711;-1.13313;-3.49751;-0.01172;-0.17908;-7.43359;0.83516
2021.12_26-12-2022;Московская область;18-59;105_165_days;SputnikLite;0.49054;0.38563;0.57753;0.52814;0.14707;0.73895;0.20509;-1.473;0.74449;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18-59;105_165_days;SputnikV;0.36517;0.3511;0.37894;0.55319;0.51782;0.58596;0.27802;0.15408;0.3838;0.54288;0.33879;0.68398
2021.12_26-12-2022;Московская область;60+;105_165_days;AllVaccines;0.18116;0.14486;0.21592;0.48092;0.4341;0.52386;0.3235;0.21061;0.42025;0.67759;0.59417;0.74386
2021.12_26-12-2022;Московская область;60+;105_165_days;CoviVac;-0.44184;-0.86595;-0.11413;0.27751;-0.30534;0.60011;-0.33101;-2.2027;0.44685;0.70013;-1.13049;0.95779
2021.12_26-12-2022;Московская область;60+;105_165_days;EpiVacCorona;-0.42024;-0.7577;-0.14756;-0.58925;-1.20548;-0.1452;-1.68383;-3.46369;-0.61367;-0.20932;-1.69694;0.45773
