data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;AllVaccines;0.30647;0.2664;0.34435;0.5255;0.35096;0.65311;0.66089;0.14079;0.86616;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;CoviVac;-0.10657;-0.57491;0.22249;0.18822;-4.78426;0.88607;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;EpiVacCorona;0.10952;-0.24744;0.36433;-0.19122;-3.78815;0.70364;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;SputnikV;0.31401;0.27366;0.35212;0.54179;0.36747;0.66807;0.64968;0.11239;0.86174;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;AllVaccines;0.35361;0.32961;0.37674;0.41894;0.31939;0.50394;0.51726;0.27134;0.68018;0.69748;-0.00194;0.90866
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;CoviVac;0.3419;0.15544;0.48719;-0.83412;-2.42166;0.01685;-0.06665;-6.62495;0.85079;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;EpiVacCorona;0.06187;-0.1289;0.2204;0.56964;-0.33711;0.86149;0.16573;-4.96375;0.88329;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;SputnikLite;0.69223;-0.23071;0.92304;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;SputnikV;0.35991;0.33566;0.38328;0.43675;0.33715;0.52138;0.53471;0.28806;0.69591;0.68509;-0.04299;0.90492
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;AllVaccines;0.16644;0.13357;0.19808;0.29946;0.20705;0.38111;0.41381;0.22863;0.55454;0.75175;0.42908;0.89206
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;CoviVac;-0.09321;-0.34828;0.11361;-0.77587;-1.9074;-0.08473;0.52954;-2.35024;0.93393;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;EpiVacCorona;-0.00988;-0.22269;0.1659;-0.10657;-0.91083;0.35918;-0.08241;-2.37442;0.6528;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;SputnikLite;0.53151;-0.8734;0.88284;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;SputnikV;0.17653;0.14324;0.20853;0.3331;0.24127;0.41382;0.42455;0.23672;0.56615;0.7392;0.4002;0.8866
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;AllVaccines;-0.36447;-0.42473;-0.30677;-0.23396;-0.37066;-0.11089;-0.38013;-0.69175;-0.12591;0.08726;-0.36501;0.38968
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;CoviVac;-1.08528;-1.6021;-0.67112;-1.44892;-2.94828;-0.51894;-1.36489;-5.32951;0.11641;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;EpiVacCorona;-0.27606;-0.54524;-0.05376;-0.83954;-1.672;-0.26643;0.1911;-1.51792;0.74013;0.2485;-4.36872;0.89481
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;SputnikLite;-0.12685;-3.50626;0.71822;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;SputnikV;-0.35357;-0.41517;-0.29465;-0.18143;-0.31861;-0.05853;-0.38716;-0.70885;-0.12602;0.05959;-0.41523;0.3751
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;AllVaccines;-0.30871;-0.37718;-0.24365;0.03784;-0.0704;0.13513;-0.17939;-0.42924;0.02678;0.37175;0.10074;0.56109
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;CoviVac;-1.45074;-2.14552;-0.90942;-0.3151;-1.44639;0.29304;-0.53688;-3.77429;0.50527;-0.00629;-6.15935;0.85856
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;EpiVacCorona;-0.26242;-0.51118;-0.05461;-0.36503;-0.87162;0.00444;-0.63613;-1.89207;0.07439;-0.33909;-2.23294;0.44534
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;SputnikLite;-0.39716;-4.58704;0.65061;-1.32419;-15.50431;0.6727;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;60-69;105_165_days;SputnikV;-0.28776;-0.3587;-0.22052;0.07969;-0.03119;0.17865;-0.13618;-0.39345;0.07359;0.43664;0.16344;0.62062
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;AllVaccines;-0.53402;-0.67333;-0.40631;-0.28973;-0.48923;-0.11695;-0.82034;-1.31017;-0.43437;0.07138;-0.34966;0.36108
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;CoviVac;-2.6775;-4.70429;-1.37085;-3.28995;-6.98254;-1.30549;-5.45855;-16.25708;-1.41714;-1.13021;-14.15084;0.70049
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;EpiVacCorona;-1.00721;-1.5363;-0.58848;-1.17659;-2.06824;-0.54406;-1.97897;-4.27126;-0.68352;0.34497;-1.62602;0.83661
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;SputnikLite;-1.96652;-20.06195;0.58217;-5.92111;-48.15202;0.02544;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;70-79;105_165_days;SputnikV;-0.44396;-0.58708;-0.31375;-0.13509;-0.33412;0.03426;-0.61577;-1.10784;-0.23857;0.06061;-0.39278;0.3664
2021.11.B_26-08-2022;Московская область;80+;105_165_days;AllVaccines;-0.47735;-0.73616;-0.25711;-0.01314;-0.31273;0.21807;-0.2054;-0.84454;0.21228;0.50168;0.06952;0.73312
2021.11.B_26-08-2022;Московская область;80+;105_165_days;CoviVac;-1.63771;-6.03192;0.01059;-0.18039;-7.3838;0.83381;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;105_165_days;EpiVacCorona;-23.33657;-35.35921;-15.28936;-20.78148;-37.4214;-11.34814;-16.37461;-53.02282;-4.58796;-4.26742;-36.44875;0.2591
2021.11.B_26-08-2022;Московская область;80+;105_165_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;80+;105_165_days;SputnikV;-0.23853;-0.47949;-0.03681;0.19062;-0.08429;0.39583;-0.06668;-0.68409;0.32438;0.54046;0.11288;0.76195
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;AllVaccines;0.53051;0.44695;0.60145;0.37063;-0.27005;0.68812;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;CoviVac;0.55603;-0.37688;0.85684;-2.6206;-24.78555;0.49162;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;165_195_days;SputnikV;0.52238;0.43642;0.59522;0.428;-0.21014;0.72963;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;AllVaccines;0.46227;0.40922;0.51056;0.46713;0.20748;0.64171;0.48845;-0.37925;0.81027;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;CoviVac;0.51389;0.09638;0.73849;0.14253;-5.09328;0.87933;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;EpiVacCorona;0.40484;-0.10633;0.67983;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;165_195_days;SputnikV;0.46214;0.40781;0.51149;0.46424;0.19679;0.64263;0.46424;-0.44452;0.80129;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;AllVaccines;0.40125;0.34667;0.45126;0.51572;0.35074;0.63877;0.39711;-0.04849;0.65334;0.56309;-0.77887;0.89269
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;CoviVac;-0.44072;-1.18874;0.05165;-1.40887;-5.4262;0.09703;-1.65279;-17.88392;0.62734;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;EpiVacCorona;-0.0045;-0.5121;0.3327;-0.20487;-2.73981;0.61182;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;165_195_days;SputnikV;0.42774;0.37315;0.47757;0.57063;0.41006;0.6875;0.41804;-0.03442;0.67259;0.54311;-0.86023;0.88778
2021.11.B_26-08-2022;Московская область;50-59;165_195_days;AllVaccines;0.37636;0.3172;0.43039;0.54843;0.42097;0.64784;0.51796;0.21874;0.70258;0.74811;0.21163;0.91952
2021.11.B_26-08-2022;Московская область;50-59;165_195_days;CoviVac;-1.30334;-2.41019;-0.55574;-3.06111;-7.13109;-1.02834;-1.04008;-13.50929;0.71315;NULL;NULL;NULL
