region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;NULL;-0.06530;-0.18962;0.04779;NULL;0.00014;-0.12052;0.10905;NULL;-0.08738;-0.17705;-0.00371;NULL;0.27884;0.02439;0.47698;NULL;0.35054;0.20917;0.47019;NULL;0.23623;0.09858;0.35607;NULL;0.12094;-0.63142;0.56004;NULL;0.41211;0.15606;0.60055;NULL;0.24437;-0.03514;0.45856;NULL;NULL;NULL;NULL;NULL;0.44477;0.05600;0.69172;NULL;0.29385;-0.13750;0.58134
Амурская область;NULL;0.20515;0.06702;0.32533;NULL;0.26405;0.07240;0.42120;NULL;0.22762;0.11849;0.32501;NULL;0.51941;0.19129;0.73125;NULL;0.39122;0.11815;0.59078;NULL;0.45004;0.25410;0.60197;NULL;NULL;NULL;NULL;NULL;0.49778;0.03796;0.76231;NULL;0.56003;0.20678;0.77560;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.47899;-0.29545;0.82727
Архангельская область;NULL;-0.00288;-0.15635;0.13326;NULL;0.23805;0.10949;0.35042;NULL;0.06510;-0.03883;0.16013;NULL;0.24910;-0.06814;0.48613;NULL;0.43099;0.28726;0.55011;NULL;0.26936;0.11566;0.40064;NULL;NULL;NULL;NULL;NULL;0.64807;0.38701;0.81376;NULL;0.58332;0.31503;0.76316;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.68687;0.28030;0.89179
Астраханская область;NULL;-0.22013;-0.42238;-0.04350;NULL;0.11880;-0.06548;0.27608;NULL;-0.05412;-0.18761;0.06640;NULL;0.19561;-0.22749;0.49085;NULL;0.20011;-0.10162;0.43113;NULL;0.22313;-0.00480;0.40710;NULL;NULL;NULL;NULL;NULL;0.44512;-0.16905;0.77349;NULL;0.57108;0.10969;0.82337;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Белгородская область;NULL;0.00399;-0.17857;0.16081;NULL;0.25102;0.11621;0.36781;NULL;0.13709;0.02891;0.23458;NULL;0.35553;0.00914;0.59435;NULL;0.25737;0.00895;0.45043;NULL;0.28384;0.08865;0.44231;NULL;NULL;NULL;NULL;NULL;0.54168;0.18605;0.76059;NULL;0.53949;0.23715;0.73752;NULL;NULL;NULL;NULL;NULL;0.43131;-0.25954;0.77445;NULL;0.49434;-0.05068;0.78400
Брянская область;NULL;-0.17464;-0.50691;0.09363;NULL;0.02879;-0.20129;0.21954;NULL;-0.15673;-0.36050;0.02029;NULL;NULL;NULL;NULL;NULL;0.21518;-0.14172;0.47318;NULL;0.08675;-0.29595;0.37076;NULL;NULL;NULL;NULL;NULL;0.26003;-0.51420;0.67157;NULL;0.13592;-0.74683;0.61365;NULL;NULL;NULL;NULL;NULL;0.21650;-0.88587;0.71733;NULL;0.13592;-1.02878;0.68405
Владимирская область;NULL;-0.04395;-0.29751;0.16720;NULL;-0.01961;-0.23861;0.16581;NULL;-0.06620;-0.23332;0.08156;NULL;0.43912;-0.01842;0.71987;NULL;0.08148;-0.25753;0.34088;NULL;0.12649;-0.15441;0.34919;NULL;NULL;NULL;NULL;NULL;0.45215;-0.22241;0.79396;NULL;0.55077;0.02215;0.82868;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Волгоградская область;NULL;-0.15326;-0.24808;-0.06480;NULL;0.04982;-0.04198;0.13434;NULL;-0.09582;-0.16366;-0.03149;NULL;0.15594;-0.07118;0.34139;NULL;0.25672;0.12989;0.36737;NULL;0.13522;0.01337;0.24404;NULL;0.45803;0.00053;0.73203;NULL;0.50171;0.32094;0.64146;NULL;0.41463;0.22665;0.56402;NULL;NULL;NULL;NULL;NULL;0.60584;0.32026;0.78746;NULL;0.50894;0.19226;0.71872
Вологодская область;NULL;0.09447;-0.02783;0.20440;NULL;0.18105;0.04612;0.29939;NULL;0.11231;0.02121;0.19618;NULL;0.35104;-0.00304;0.59768;NULL;0.35012;0.14053;0.51577;NULL;0.28727;0.09678;0.44373;NULL;NULL;NULL;NULL;NULL;0.38513;-0.01533;0.64621;NULL;0.36575;-0.00243;0.61675;NULL;NULL;NULL;NULL;NULL;0.35438;-0.30519;0.71133;NULL;0.29528;-0.36588;0.66892
Воронежская область;NULL;-0.02643;-0.12024;0.06047;NULL;0.07919;-0.02624;0.17523;NULL;0.01717;-0.05217;0.08252;NULL;0.26556;-0.05611;0.50164;NULL;0.26001;0.08028;0.40968;NULL;0.26188;0.10957;0.39199;NULL;0.44140;-0.37031;0.81350;NULL;0.14571;-0.34300;0.47483;NULL;0.21762;-0.17554;0.49447;NULL;NULL;NULL;NULL;NULL;0.09643;-0.60364;0.51717;NULL;0.09315;-0.55664;0.49575
г. Москва;NULL;0.07481;0.00736;0.13863;NULL;-0.06595;-0.14561;0.00906;NULL;-0.02760;-0.08055;0.02326;NULL;0.29528;0.02505;0.50456;NULL;0.28555;0.13402;0.41545;NULL;0.19678;0.05137;0.32427;NULL;0.48788;0.14182;0.71837;NULL;0.57127;0.44841;0.67253;NULL;0.48673;0.35492;0.59745;NULL;0.29421;-0.40302;0.69038;NULL;0.40025;0.19285;0.56404;NULL;0.28038;0.05246;0.46371
г. Санкт-Петербург;NULL;0.41069;0.36538;0.45332;NULL;0.13928;0.07071;0.20352;NULL;0.31662;0.27920;0.35241;NULL;0.64716;0.56980;0.71337;NULL;0.36598;0.28226;0.44163;NULL;0.50427;0.44922;0.55485;NULL;0.63784;0.42395;0.78459;NULL;0.55769;0.43198;0.66074;NULL;0.60978;0.51275;0.69116;NULL;0.62496;0.20985;0.84691;NULL;0.61820;0.47124;0.73182;NULL;0.65338;0.53153;0.74944
г. Севастополь;NULL;-0.02968;-0.33809;0.21405;NULL;0.36401;0.18630;0.50814;NULL;0.18906;0.02950;0.32563;NULL;0.38452;-0.08563;0.67314;NULL;0.48801;0.24944;0.66121;NULL;0.43685;0.22424;0.59958;NULL;NULL;NULL;NULL;NULL;0.70526;0.35495;0.88794;NULL;0.73230;0.42084;0.89755;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Еврейская автономная область;NULL;-0.06520;-0.60169;0.30286;NULL;0.07633;-0.41620;0.41381;NULL;0.04723;-0.28070;0.29867;NULL;0.21920;-0.49242;0.61656;NULL;0.40819;-0.05561;0.69176;NULL;0.37305;0.03214;0.60793;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Забайкальский край;NULL;0.03815;-0.15991;0.20556;NULL;0.28077;0.08934;0.43597;NULL;0.11517;-0.02507;0.23816;NULL;0.44220;0.20479;0.61828;NULL;0.48252;0.28864;0.63024;NULL;0.42986;0.27624;0.55552;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.65356;0.27011;0.85858;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Ивановская область;NULL;0.08843;-0.07302;0.23063;NULL;-0.10814;-0.28437;0.04732;NULL;-0.08459;-0.20921;0.02956;NULL;0.21358;-0.41806;0.60545;NULL;0.31758;0.06461;0.51339;NULL;0.12554;-0.15766;0.35171;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Иркутская область;NULL;0.22588;0.12240;0.31872;NULL;0.09392;-0.03928;0.21201;NULL;0.17735;0.09738;0.25114;NULL;0.51626;0.36715;0.63586;NULL;0.17713;0.01100;0.31875;NULL;0.32806;0.21793;0.42492;NULL;0.59993;0.18895;0.82657;NULL;0.55572;0.31009;0.72673;NULL;0.57897;0.38516;0.72125;NULL;NULL;NULL;NULL;NULL;0.54784;0.11271;0.79411;NULL;0.58340;0.25167;0.78700
Кабардино-Балкарская Республика;NULL;-0.51822;-0.84327;-0.24172;NULL;-0.40607;-0.79130;-0.09174;NULL;-0.49473;-0.74042;-0.27825;NULL;0.02852;-0.95783;0.57734;NULL;-0.15315;-1.05081;0.39820;NULL;-0.11151;-0.74628;0.32543;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Калининградская область;NULL;-0.11610;-0.38179;0.10415;NULL;0.09086;-0.17763;0.30345;NULL;-0.06732;-0.25899;0.09832;NULL;0.43990;-0.00729;0.71386;NULL;0.22828;-0.11872;0.47787;NULL;0.19251;-0.10511;0.41983;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.44245;-0.36774;0.81385;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Калужская область;NULL;0.24047;0.08626;0.37185;NULL;0.31581;0.15409;0.45136;NULL;0.29639;0.19092;0.39009;NULL;0.41278;0.03809;0.65799;NULL;0.38865;0.14720;0.57180;NULL;0.44358;0.26510;0.58522;NULL;NULL;NULL;NULL;NULL;0.50402;-0.00770;0.78527;NULL;0.53245;0.13393;0.76949;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.63568;0.13472;0.87628
Камчатский край;NULL;-0.02476;-0.39002;0.25644;NULL;0.25706;-0.08579;0.50722;NULL;0.10070;-0.14212;0.29941;NULL;-0.33992;-1.85839;0.41989;NULL;0.43639;-0.03041;0.71976;NULL;0.23686;-0.22110;0.54537;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Карачаево-Черкесская Республика;NULL;-1.40667;NULL;NULL;NULL;-1.27234;NULL;NULL;NULL;-1.37202;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-2.70426;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Кемеровская область;NULL;-0.08386;-0.20907;0.03011;NULL;0.20925;0.08682;0.31779;NULL;0.02976;-0.05865;0.11186;NULL;0.41746;0.24296;0.55879;NULL;0.43452;0.29541;0.55099;NULL;0.41059;0.30163;0.50572;NULL;0.71672;0.35503;0.90160;NULL;0.67883;0.40948;0.84397;NULL;0.68207;0.47528;0.82145;NULL;0.60341;0.07637;0.86391;NULL;0.55388;0.22354;0.76379;NULL;0.55137;0.28063;0.73643
Кировская область;NULL;0.07889;-0.06094;0.20232;NULL;0.18327;0.05967;0.29210;NULL;0.09649;0.00152;0.18338;NULL;0.47036;0.17716;0.67289;NULL;0.36690;0.22277;0.48744;NULL;0.30679;0.16480;0.42775;NULL;NULL;NULL;NULL;NULL;0.54390;0.27967;0.72291;NULL;0.49938;0.22073;0.69126;NULL;NULL;NULL;NULL;NULL;0.47068;0.08730;0.70893;NULL;0.43073;0.02662;0.68516
Костромская область;NULL;0.10820;-0.18071;0.33571;NULL;0.22436;0.00404;0.40242;NULL;0.14366;-0.03323;0.29455;NULL;0.37596;-0.41766;0.76765;NULL;0.40326;0.04443;0.64470;NULL;0.35304;0.02171;0.58770;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.41751;-0.42058;0.80493
Краснодарский край;NULL;0.05287;-0.07119;0.16449;NULL;0.27401;0.18146;0.35734;NULL;0.10570;0.02530;0.18033;NULL;0.28666;0.04212;0.47771;NULL;0.33769;0.19870;0.45550;NULL;0.21152;0.07433;0.33117;NULL;0.61793;0.16384;0.85473;NULL;0.57855;0.36271;0.73141;NULL;0.50553;0.28464;0.66869;NULL;NULL;NULL;NULL;NULL;0.52816;0.15276;0.75533;NULL;0.46915;0.09308;0.70890
Красноярский край;NULL;0.21741;0.11292;0.31140;NULL;0.27009;0.16468;0.36401;NULL;0.21987;0.14464;0.28946;NULL;0.51006;0.33929;0.64409;NULL;0.43059;0.31108;0.53261;NULL;0.41919;0.31747;0.50831;NULL;0.65804;0.25304;0.86985;NULL;0.58154;0.36722;0.73424;NULL;0.56788;0.37445;0.71127;NULL;NULL;NULL;NULL;NULL;0.53232;0.21453;0.73812;NULL;0.57182;0.30841;0.74974
Курганская область;NULL;0.06385;-0.06569;0.17886;NULL;0.15467;0.00376;0.28450;NULL;0.09666;-0.00026;0.18494;NULL;0.29937;-0.19964;0.60694;NULL;0.38788;0.19350;0.54045;NULL;0.34737;0.16494;0.49429;NULL;NULL;NULL;NULL;NULL;0.48629;0.09682;0.72375;NULL;0.45989;0.06695;0.70338;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.54329;-0.15450;0.84988
Курская область;NULL;0.04292;-0.12720;0.19051;NULL;0.02455;-0.16654;0.18773;NULL;0.02445;-0.10110;0.13743;NULL;0.38896;0.06770;0.61453;NULL;0.09241;-0.16932;0.30197;NULL;0.16027;-0.04398;0.32969;NULL;NULL;NULL;NULL;NULL;0.33479;-0.10360;0.61850;NULL;0.38667;0.02720;0.63033;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.63948;0.15418;0.87678
Ленинградская область;NULL;0.03142;-0.11672;0.16299;NULL;0.16569;0.03192;0.28362;NULL;0.05834;-0.04398;0.15219;NULL;-0.03747;-0.53776;0.31926;NULL;0.36107;0.17235;0.51347;NULL;0.18452;-0.01358;0.34992;NULL;-0.00096;-1.23009;0.60432;NULL;0.37101;-0.09937;0.66391;NULL;0.19782;-0.27530;0.51732;NULL;NULL;NULL;NULL;NULL;0.47259;-0.00098;0.74892;NULL;0.47216;0.06042;0.72850
Липецкая область;NULL;0.19837;0.06956;0.31125;NULL;0.10380;-0.05753;0.24346;NULL;0.18327;0.08737;0.27027;NULL;0.60683;0.35986;0.77150;NULL;0.40701;0.19119;0.57360;NULL;0.51903;0.37368;0.63593;NULL;NULL;NULL;NULL;NULL;0.15631;-0.47322;0.54003;NULL;0.41727;0.01712;0.67202;NULL;NULL;NULL;NULL;NULL;0.27935;-0.47466;0.68014;NULL;0.36172;-0.26577;0.70437
Магаданская область;NULL;-0.05691;-1.08510;0.49123;NULL;NULL;NULL;NULL;NULL;0.07542;-0.66519;0.51077;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Московская область;NULL;0.26337;0.20352;0.31962;NULL;0.28682;0.21710;0.35138;NULL;0.24839;0.20196;0.29263;NULL;0.57848;0.42403;0.69983;NULL;0.47809;0.36582;0.57413;NULL;0.44680;0.34699;0.53443;NULL;0.26434;-0.50170;0.68240;NULL;0.48209;0.21685;0.67108;NULL;0.34712;0.06218;0.55917;NULL;NULL;NULL;NULL;NULL;0.76195;0.57807;0.87921;NULL;0.69292;0.48730;0.83070
Мурманская область;NULL;0.10255;-0.17855;0.32438;NULL;0.00833;-0.34863;0.27924;NULL;0.04455;-0.17244;0.22592;NULL;0.27568;-0.28455;0.61674;NULL;0.18598;-0.21168;0.46638;NULL;0.17979;-0.14000;0.42030;NULL;NULL;NULL;NULL;NULL;-0.85416;NULL;NULL;NULL;-0.41530;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.73828;NULL;NULL;NULL;-0.41530;NULL;NULL
Ненецкий автономный округ;NULL;-0.74292;NULL;NULL;NULL;-1.34937;NULL;NULL;NULL;-0.94971;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-2.50338;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Нижегородская область;NULL;0.08535;-0.02665;0.18710;NULL;0.18127;0.09545;0.26009;NULL;0.07449;0.00183;0.14268;NULL;0.42048;0.23145;0.57132;NULL;0.26351;0.14528;0.36777;NULL;0.20346;0.09136;0.30398;NULL;0.48191;-0.22635;0.82375;NULL;0.35201;0.01184;0.58965;NULL;0.28168;-0.05261;0.52453;NULL;NULL;NULL;NULL;NULL;0.61858;0.32276;0.80348;NULL;0.55866;0.24970;0.75969
Новгородская область;NULL;0.12197;-0.10701;0.31150;NULL;0.11098;-0.11599;0.29765;NULL;0.07074;-0.09335;0.21409;NULL;0.22466;-0.42982;0.61665;NULL;0.12062;-0.25068;0.39427;NULL;0.01366;-0.34047;0.28666;NULL;NULL;NULL;NULL;NULL;0.28227;-0.81433;0.76408;NULL;0.25403;-0.82994;0.75094;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Новосибирская область;NULL;0.18610;0.07932;0.28212;NULL;0.27492;0.16667;0.37088;NULL;0.20880;0.13211;0.27961;NULL;0.42455;0.23052;0.57688;NULL;0.30364;0.14852;0.43400;NULL;0.30949;0.18495;0.41768;NULL;0.61954;0.15590;0.85646;NULL;0.46901;0.16923;0.67375;NULL;0.47653;0.22379;0.65836;NULL;NULL;NULL;NULL;NULL;0.59984;0.23924;0.80970;NULL;0.52642;0.16117;0.75218
Омская область;NULL;0.18356;0.05749;0.29500;NULL;0.31107;0.21202;0.39952;NULL;0.24764;0.16987;0.31918;NULL;0.42480;0.24871;0.56593;NULL;0.44503;0.33455;0.54020;NULL;0.42974;0.33682;0.51184;NULL;0.59594;0.24085;0.80640;NULL;0.56120;0.36653;0.70550;NULL;0.56209;0.39635;0.68994;NULL;0.60342;0.05469;0.86558;NULL;0.64613;0.41614;0.79938;NULL;0.62960;0.42445;0.77339
Оренбургская область;NULL;0.10839;-0.05098;0.24637;NULL;0.23224;0.08626;0.35767;NULL;0.15339;0.04554;0.25054;NULL;0.41691;0.06160;0.65408;NULL;0.34994;0.14291;0.51326;NULL;0.33667;0.15631;0.48372;NULL;NULL;NULL;NULL;NULL;0.71693;0.41332;0.88333;NULL;0.69406;0.41464;0.85848;NULL;NULL;NULL;NULL;NULL;0.45995;-0.08791;0.75801;NULL;0.44289;-0.07979;0.73826
Орловская область;NULL;0.34493;0.19794;0.46911;NULL;0.29425;0.15941;0.41072;NULL;0.31905;0.22224;0.40572;NULL;0.43771;0.15606;0.63847;NULL;0.42180;0.26610;0.54981;NULL;0.42956;0.29833;0.54033;NULL;0.59484;0.18635;0.82336;NULL;0.40970;0.15833;0.59678;NULL;0.45858;0.25512;0.61508;NULL;NULL;NULL;NULL;NULL;0.64505;0.29439;0.84429;NULL;0.64452;0.33920;0.82852
Пензенская область;NULL;0.08256;-0.07821;0.22094;NULL;0.08468;-0.04394;0.19689;NULL;-0.10941;-0.22664;-0.00331;NULL;0.30589;-0.01845;0.53551;NULL;0.15944;-0.00872;0.29895;NULL;-0.14067;-0.34183;0.03037;NULL;0.32465;-0.70893;0.76274;NULL;0.13917;-0.32194;0.43628;NULL;-0.17464;-0.72449;0.19952;NULL;NULL;NULL;NULL;NULL;0.09772;-0.66649;0.50450;NULL;-0.25269;-1.22029;0.29005
Пермский край;NULL;0.16890;0.02172;0.29738;NULL;0.18335;0.05205;0.29884;NULL;0.12645;0.02461;0.21923;NULL;0.51742;0.23366;0.71263;NULL;0.31102;0.12898;0.46031;NULL;0.28287;0.11574;0.42336;NULL;NULL;NULL;NULL;NULL;0.36709;-0.19877;0.69239;NULL;0.48195;0.04844;0.74320;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Приморский край;NULL;-0.01205;-0.22072;0.16321;NULL;0.22196;0.02992;0.38074;NULL;0.13630;0.00431;0.25250;NULL;0.46523;0.21163;0.64684;NULL;0.32180;0.09190;0.50114;NULL;0.43472;0.28503;0.55738;NULL;NULL;NULL;NULL;NULL;0.42908;0.04674;0.67639;NULL;0.64388;0.42319;0.79227;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.73105;0.36901;0.90807
Псковская область;NULL;0.04678;-0.19123;0.24442;NULL;0.30746;0.12777;0.45593;NULL;0.15433;0.00640;0.28383;NULL;0.00577;-0.59043;0.40444;NULL;0.39180;0.14735;0.57691;NULL;0.22501;-0.02179;0.42146;NULL;NULL;NULL;NULL;NULL;0.43512;-0.27799;0.78919;NULL;0.43814;-0.25000;0.78834;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Республика Адыгея;NULL;0.02004;-0.49518;0.38179;NULL;0.10130;-0.38221;0.43642;NULL;0.02048;-0.32823;0.29096;NULL;0.23955;-0.82735;0.74334;NULL;NULL;NULL;NULL;NULL;0.45911;-0.03490;0.74980;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
